id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239168,Luigi Rubino,Before Love,A Theme for the Moon,Male/Male,2009,Other/New Age/New Acoustic,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/50s
456239167,Luigi Rubino,Last Dance,A Theme for the Moon,Male/Male,2009,Other/New Age/New Acoustic,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/50s
456239099,Various Artists,Is It Too Late Featuring Lena Belgart [Classic Piano Mix],Airport Lounge Vol. 2,"",2014,Electronica/Downtempo Lounge a Ambient/Ambient Electronica,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/50s
456239045,Henry Mancini,Moon River,Breakfast At Tiffany's (Music From The Motion Picture Score),Male/Male,1961,Pop/Easy Listening/Other Easy Listening,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
419631257,Kila,Dusty Wine Bottle,The Best Of Kila,"",2009,Traditional/Other Traditions/General World,Romantic/Dramatic / Romantic,Medium Tempo/Medium/70s
395987519,Isaac Shepard,Sprinkle to Rain,Swept Away,"",2005,Alternative a Punk/Alternative/Alternative Rock,Romantic/Dramatic / Romantic,Medium Tempo/Medium/70s
393177486,Stanislav Artemyev,Gust (Orchestral),Manifestation,"",2014,Other/Data a Other/Data a Other,Romantic/Dramatic / Romantic,Medium Tempo/Medium/60s
393063154,Apocalyptica,Faraway,Reflections,Male/Male Group,2003,Rock/Metal/Progressive Metal,Romantic/Dramatic / Romantic,Medium Tempo/Medium/70s
337604523,Hans Zimmer,Main Theme [Rain Man],The Wings Of A Film: The Music Of Hans Zimmer,Male/Male,2001,Soundtrack/Original Film/TV Music/General Film Music,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/50s
326923295,Dead Can Dance,In The Kingdom Of The Blind,The Serpent's Egg,Mixed/Mixed Duo,1988,Alternative a Punk/Indie Rock/Dream Pop,Romantic/Dramatic / Romantic,Medium Tempo/Medium/80s
326595725,The Cinematic Orchestra,Arrival Of The Birds,The Crimson Wing: Mystery Of The Flamingos,Mixed/Mixed Group,2009,Electronica/Downtempo Lounge a Ambient/General Downtempo,Romantic/Dramatic / Romantic,Medium Tempo/Medium/60s
321864006,Ennio Morricone,L'estasi dell'oro (Ecstasy of Gold),Ennio Morricone's The Good The Bad a The Ugly (Complete Score),Male/Male,2014,Soundtrack/Original Film/TV Music/General Film Music,Romantic/Dramatic / Romantic,Slow Tempo/Slow/40s
318714910,Various Artists,Romanoir,Heavenly Voices III,"",1995,Alternative a Punk/Alternative/Alternative Rock,Romantic/Dramatic / Romantic,Medium Tempo/Medium/60s
308902933,Ludovico Einaudi,Experience,In A Time Lapse,Male/Male,2013,Classical/Classical Crossover/Classical Crossover Instrumental,Romantic/Dramatic / Romantic,Slow Tempo/Slow/40s
308600252,Epica,Delirium,Requiem For The Indifferent [Bonus Track],Mixed/Mixed Group,2012,Rock/Metal/Progressive Metal,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/60s
290865683,David Garrett,Who Wants To Live Forever?,Encore,Male/Male,2008,Classical/Classical Crossover/Classical Crossover Instrumental,Romantic/Dramatic / Romantic,Medium Tempo/Medium/70s
250338780,The Cinematic Orchestra,Arrival Of The Birds,The Crimson Wing: Mystery Of The Flamingos,Mixed/Mixed Group,2009,Electronica/Downtempo Lounge a Ambient/General Downtempo,Romantic/Dramatic / Romantic,Medium Tempo/Medium/60s
192040297,Ludovico Einaudi,Divenire,The Royal Albert Hall Concert,Male/Male,2010,Classical/Classical Crossover/Classical Crossover Instrumental,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
192034858,Ludovico Einaudi,Primavera,The Royal Albert Hall Concert,Male/Male,2010,Classical/Classical Crossover/Classical Crossover Instrumental,Romantic/Dramatic / Romantic,Medium Tempo/Medium/60s
191995682,Ludovico Einaudi,Life,In A Time Lapse,Male/Male,2013,Classical/Classical Crossover/Classical Crossover Instrumental,Romantic/Dramatic / Romantic,Slow Tempo/Slow/40s
184539644,Blackmore's Night,Wish You Were Here,Shadow of The Moon,Mixed/Mixed Group,1997,Rock/70's Rock/Neo-Prog Rock,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/60s
164103932,Within Temptation,Fire And Ice,The Unforgiving,Mixed/Mixed Group,2011,Rock/Metal/Progressive Metal,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
163574992,Emma Hewitt,Colours,Burn The Sky Down,Female/Female,2012,Electronica/Trance/Trance,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
161850313,岩崎琢,Si deus me relinquit,黒執事 Sound Complete Black Box [Disc 2],Male/Male,2009,Soundtrack/Original Film/TV Music/Anime Film/TV Music,Romantic/Dramatic / Romantic,Medium Tempo/Medium/80s
132374232,The Moody Blues,Dawn: Dawn Is A Feeling,Days Of Future Passed,Male/Male Group,1967,Rock/70's Rock/Classic Prog,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
76011584,Joe Hisaishi,Spirited Away - The Sixth Station,Hisaishi Meets Miyazaki Films,Male/Male,2006,"",Romantic/Dramatic / Romantic,Slow Tempo/Slow/40s
