id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
388467990,Max Frost,White Lies,White Lies,Male/Male,2013,Pop/Western Pop/Urban Crossover: Pop,Rowdy/Driving Dark Groove,Medium Tempo/Medium/80s
335732979,Superchick,Hey Hey,Rock What You Got,Mixed/Mixed Group,2008,Other/Religious/Christian Alt-Rock,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/120s
331543654,KT Tunstall,Black Horse And The Cherry Tree,Eye To The Telescope,Female/Female,2004,Pop/Western Pop/Adult Alternative Pop,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/100s
305416401,Slash,Bad Rain,Apocalyptic Love,Male/Male,2012,Rock/Hard Rock/General Hard Rock,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/100s
302602020,Kongos,I'm Only Joking,Lunatic,Male/Male Group,2014,Alternative a Punk/Alternative/Alternative Rock,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/120s
273990570,Arctic Monkeys,Why'd You Only Call Me When You're High?,AM,Male/Male Group,2013,Alternative a Punk/Indie Rock/Post-Punk Revival,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/90s
228924865,The Wombats,Let's Dance To Joy Division,A Guide To Love Loss a Desperation,Male/Male Group,2007,Alternative a Punk/Indie Rock/Indie Pop,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/120s
198585048,Finger Eleven,Paralyzer,Them vs. You vs. Me,Male/Male Group,2007,Alternative a Punk/Alternative/Alternative Rock,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/100s
184690853,Story Of The Year,Until The Day I Die,Page Avenue,Male/Male Group,2003,Alternative a Punk/Emo a Hardcore/Hardcore,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/90s
167007409,Brainstorm,Kitten Who Did Not Want To Give Up,Online,Male/Male Group,2001,Pop/European Pop/Eastern European Pop,Rowdy/Driving Dark Groove,Medium Tempo/Medium/70s
146278611,Rob Thomas,Lonely No More,...Something To Be,Male/Male,2005,Pop/Western Pop/Adult Alternative Pop,Rowdy/Driving Dark Groove,Medium Tempo/Medium/80s
132594269,Gossip,Heavy Cross,Music For Men,Mixed/Mixed Group,2009,Alternative a Punk/Indie Rock/Indie Pop,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/120s
87065012,The Offspring,Come Out And Play,Smash,Male/Male Group,1994,Alternative a Punk/Punk/General Punk,Rowdy/Driving Dark Groove,Medium Tempo/Medium/80s
72315647,Franz Ferdinand,Ulysses,Tonight: Franz Ferdinand,Male/Male Group,2009,Alternative a Punk/Indie Rock/Post-Punk Revival,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/90s
