id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239173,Ringo Starr,You're Sixteen,Ringo a His New All-Starr Band,Male/Male,2002,Pop/Western Pop/Singer-Songwriter,Rowdy/Ramshackle / Rollicking,Medium Tempo/Medium/60s
456239041,April March,Chick Habit,Paris in April,Female/Female,2012,Alternative a Punk/Indie Rock/Indie Pop,Rowdy/Wild / Rowdy,Fast Tempo/Fast/140s
428693587,Tarja Turunen,Never Enough,Colours In The Dark,Female/Female,2013,Rock/Metal/Progressive Metal,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/120s
419625466,2CELLOS,The Trooper (Overture),Celloverse,Male/Male Duo,2015,Classical/Classical Crossover/Classical Crossover Instrumental,Rowdy/Ramshackle / Rollicking,Medium Tempo/Medium Fast/90s
399958221,Tim Minchin,The Good Book,Ready For This ?,Male/Male,2009,Other/Comedy/Comedy,Rowdy/Ramshackle / Rollicking,Medium Tempo/Medium Fast/120s
388467990,Max Frost,White Lies,White Lies,Male/Male,2013,Pop/Western Pop/Urban Crossover: Pop,Rowdy/Driving Dark Groove,Medium Tempo/Medium/80s
372003755,Journey,Separate Ways (Worlds Apart),Frontiers,Male/Male Group,1983,Rock/70's Rock/Classic Rock,Rowdy/Confident / Tough,Fast Tempo/Fast/130s
344868698,Stereophonics,In A Moment,Graffiti On The Train,Male/Male Group,2013,Alternative a Punk/Brit Rock/Brit Rock,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/90s
340988548,Black Label Society,Mass Murder Machine,1919 Eternal,Male/Male Group,2002,Rock/Metal/Thrash Metal,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/110s
335732979,Superchick,Hey Hey,Rock What You Got,Mixed/Mixed Group,2008,Other/Religious/Christian Alt-Rock,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/120s
331543654,KT Tunstall,Black Horse And The Cherry Tree,Eye To The Telescope,Female/Female,2004,Pop/Western Pop/Adult Alternative Pop,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/100s
318776106,Alice Cooper,Poison,Trash,Male/Male,1989,Rock/70's Rock/Classic Hard Rock,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/120s
306168709,Eels,I Like Birds,Daisies Of The Galaxy,Male/Male Group,2000,Alternative a Punk/Indie Rock/General Indie Rock,Rowdy/Ramshackle / Rollicking,Medium Tempo/Medium/60s
305416401,Slash,Bad Rain,Apocalyptic Love,Male/Male,2012,Rock/Hard Rock/General Hard Rock,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/100s
302602020,Kongos,I'm Only Joking,Lunatic,Male/Male Group,2014,Alternative a Punk/Alternative/Alternative Rock,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/120s
276261822,The FederalRachael Kime,You Don't Want Me Around (Featuring Rachael Kime),You Don't Want Me Around (Featuring Rachael Kime),"",2013,Alternative a Punk/Alternative/Alternative Rock,Rowdy/Confident / Tough,Medium Tempo/Medium Slow/60s
276109128,Hooverphonic,Devil Kind of Girl,Reflection,Mixed/Mixed Group,2013,Electronica/Downtempo Lounge a Ambient/General Downtempo,Rowdy/Ramshackle / Rollicking,Medium Tempo/Medium/70s
273990570,Arctic Monkeys,Why'd You Only Call Me When You're High?,AM,Male/Male Group,2013,Alternative a Punk/Indie Rock/Post-Punk Revival,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/90s
228924865,The Wombats,Let's Dance To Joy Division,A Guide To Love Loss a Desperation,Male/Male Group,2007,Alternative a Punk/Indie Rock/Indie Pop,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/120s
211381910,Tim McMorris,It's a Beautiful Day,Alive,Male/Male,2014,Pop/Western Pop/Adult Alternative Pop,Rowdy/Ramshackle / Rollicking,Medium Tempo/Medium/80s
206392264,Puggy,Teaser,Something You Might Like,Male/Male Group,2009,Pop/Western Pop/Adult Alternative Pop,Rowdy/Ramshackle / Rollicking,Medium Tempo/Medium/70s
198585048,Finger Eleven,Paralyzer,Them vs. You vs. Me,Male/Male Group,2007,Alternative a Punk/Alternative/Alternative Rock,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/100s
184690853,Story Of The Year,Until The Day I Die,Page Avenue,Male/Male Group,2003,Alternative a Punk/Emo a Hardcore/Hardcore,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/90s
184540155,Gin Wigmore,Kill Of The Night,Gravel a Wine,Female/Female,2011,Urban/Classic RaB/Soul/RaB/Soul,Rowdy/Confident / Tough,Medium Tempo/Medium Slow/60s
176247646,Portugal. The Man,So American,In The Mountain In The Cloud,Male/Male Group,2011,Alternative a Punk/Indie Rock/General Indie Rock,Rowdy/Confident / Tough,Fast Tempo/Fast/140s
167007409,Brainstorm,Kitten Who Did Not Want To Give Up,Online,Male/Male Group,2001,Pop/European Pop/Eastern European Pop,Rowdy/Driving Dark Groove,Medium Tempo/Medium/70s
146278611,Rob Thomas,Lonely No More,...Something To Be,Male/Male,2005,Pop/Western Pop/Adult Alternative Pop,Rowdy/Driving Dark Groove,Medium Tempo/Medium/80s
132594269,Gossip,Heavy Cross,Music For Men,Mixed/Mixed Group,2009,Alternative a Punk/Indie Rock/Indie Pop,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/120s
87065012,The Offspring,Come Out And Play,Smash,Male/Male Group,1994,Alternative a Punk/Punk/General Punk,Rowdy/Driving Dark Groove,Medium Tempo/Medium/80s
83871536,AC/DC,Let Me Put My Love Into You,Back In Black,Male/Male Group,1980,Rock/70's Rock/Classic Hard Rock,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/100s
72315647,Franz Ferdinand,Ulysses,Tonight: Franz Ferdinand,Male/Male Group,2009,Alternative a Punk/Indie Rock/Post-Punk Revival,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/90s
68392222,The Used,The Bird And The Worm,Lies For The Liars,Male/Male Group,2007,Alternative a Punk/Emo a Hardcore/Hardcore,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/90s
