id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
387566042,Revolver,Get Around Town,Music For A While,Male/Male Group,2009,Alternative a Punk/Indie Rock/Indie Pop,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/90s
386970688,Robbie Williams,The Road To Mondalay,The Best Of,Male/Male,0,Pop/Western Pop/Adult Contemporary,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/90s
367198897,The Daydream Club,Soundwaves Of Gold,Found,"",2013,Alternative a Punk/Alternative/Alternative Rock,Gritty/Strumming Yearning,Medium Tempo/Medium/70s
327893791,Vivienne Mort,Лети,Лети,"",2014,Pop/Western Pop/Pop Vocal,Gritty/Strumming Yearning,Medium Tempo/Medium/70s
311282958,Harley Poe,That Time Of The Month,Satan Sex and No Regrets,"",2012,Alternative a Punk/Alternative/Alternative Rock,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/90s
295832670,Morrissey,Let Me Kiss You,You Are The Quarry,Male/Male,2004,Alternative a Punk/Indie Rock/Jangle Pop,Gritty/Strumming Yearning,Medium Tempo/Medium/80s
281161866,Miguel Bosé,Decirnos Adiós,Papitwo [Disc 1],Mixed/Mixed Duo,2012,Other/Latin Pop/General Latin Pop,Gritty/Strumming Yearning,Medium Tempo/Medium Slow/60s
238097939,Johnny Cash,One,American III: Solitary Man,Male/Male,2000,Traditional/Classic Country/Outlaw Country,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/90s
235896576,Dr. John a The Lower 9-11,Change of Heart,Tribal,Male/Male Group,2010,Urban/Classic RaB/Soul/New Orleans RaB,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/100s
235562650,R.E.M.,Losing My Religion,Out Of Time,Male/Male Group,1991,Rock/Adult Alternative Rock/Adult Alternative Rock,Gritty/Strumming Yearning,Medium Tempo/Medium Slow/60s
176994688,Stereophonics,Maybe Tomorrow,You Gotta Go There To Come Back,Male/Male Group,2003,Alternative a Punk/Brit Rock/Brit Rock,Gritty/Strumming Yearning,Medium Tempo/Medium/80s
128038651,Скрябін,Дочка Україна,Дочка Україна,Male/Male Group,2015,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/90s
109051689,a-ha,Forever Not Yours,Lifelines,Male/Male Group,2002,Alternative a Punk/New Wave Pop/New Wave Pop,Gritty/Strumming Yearning,Medium Tempo/Medium/80s
76262971,Kings Of Convenience,I'd Rather Dance With You,Riot On An Empty Street,Male/Male Duo,2004,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Gritty/Strumming Yearning,Medium Tempo/Medium/70s
68746902,Reamonn,Tonight,Wish,Male/Male Group,2006,Rock/Adult Alternative Rock/Adult Alternative Rock,Gritty/Strumming Yearning,Medium Tempo/Medium/70s
42829425,Robbie Williams,Feel,Escapology,Male/Male,2002,Pop/Western Pop/Adult Contemporary,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/90s
