id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239026,She a Him,Why Do You Let Me Stay Here?,Volume One,Mixed/Mixed Duo,2008,Alternative a Punk/Indie Rock/Indie Pop,Upbeat/Soulful / Easygoing,Medium Tempo/Medium Fast/110s
423646791,The Mamas a The Papas,Words Of Love,16 Greatest Hits,Mixed/Mixed Group,1970,Pop/Western Pop/Folk Pop,Upbeat/Soulful / Easygoing,Medium Tempo/Medium Fast/110s
407082834,She a Him,Why Do You Let Me Stay Here?,Volume One,Mixed/Mixed Duo,2008,Alternative a Punk/Indie Rock/Indie Pop,Upbeat/Soulful / Easygoing,Medium Tempo/Medium Fast/110s
366275400,Spector,Bad Boyfriend,Moth Boys,"",2015,Alternative a Punk/Alternative/Alternative Rock,Upbeat/Happy / Soulful,Medium Tempo/Medium/80s
325526911,Coldplay,Shiver,Parachutes,Male/Male Group,2000,Alternative a Punk/Brit Rock/Brit Rock,Upbeat/Happy / Soulful,Medium Tempo/Medium/70s
261151272,Julie London,Fly Me To The Moon,Julie London Best,Female/Female,2002,Pop/Classic Pop Vocals/Classic Female Vocal Pop,Upbeat/Happy / Soulful,Medium Tempo/Medium/80s
242650171,Dierks Bentley,Trying To Stop Your Leaving,Long Trip Alone,Male/Male,2006,Traditional/Country/Contemporary Country,Upbeat/Happy / Soulful,Medium Tempo/Medium Fast/110s
242143614,Nickelback,Never Gonna Be Alone,Dark Horse,Male/Male Group,2008,Alternative a Punk/Alternative/Alternative Rock,Upbeat/Happy / Soulful,Medium Tempo/Medium Fast/120s
209312950,The Who,Baba O'Riley,Who's Next,Male/Male Group,1971,Rock/70's Rock/Classic Hard Rock,Upbeat/Happy / Soulful,Medium Tempo/Medium Fast/110s
191603951,Joe Dassin,Les Champs-Elysées,Éternel,Male/Male,2005,Pop/European Pop/French Pop,Upbeat/Carefree Pop,Medium Tempo/Medium Fast/110s
135016710,Mina Tindle,To Carry Many Small Things,Taranta,Female/Female,2012,"",Upbeat/Carefree Pop,Fast Tempo/Fast/130s
