id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239169,New Young Pony Club,Architect of Love,The Optimist,Mixed/Mixed Group,2010,Alternative a Punk/Indie Rock/Indie Pop,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/120s
456239118,Jamie-Lee Kriewitz,Ghost,Ghost,Female/Female,2016,Pop/Western Pop/Pop Vocal,Urgent/Dark Pop Intensity,Fast Tempo/Fast/160s
456239068,8mm,Angel,Songs To Love And Die By...,Mixed/Mixed Group,2006,Electronica/Downtempo Lounge a Ambient/Neo-Lounge,Urgent/Dark Pop Intensity,Fast Tempo/Fast/160s
456239059,Alizée,Moi... Lolita,Gourmandises,Female/Female,2000,Pop/European Pop/French Pop,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/100s
438963366,Various Artists,Гарри Поттер,XXXL 16: Танцевальный,"",2006,Electronica/Dance a Club/Club Dance,Urgent/Dark Pop Intensity,Fast Tempo/Fast/130s
432650002,Parov Stelar,Booty Swing,The Princess: The Vinyl Collection 2010 - 2012,Male/Male,2012,Electronica/Electronica Fusion/Ethno-Lounge Electronica,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/110s
402910097,Meg Myers,A Bolt From The Blue,Sorry,Female/Female,2015,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Urgent/Dark Pop Intensity,Fast Tempo/Fast/130s
390404112,ATB,Made Of Glass,Trilogy,Male/Male,2007,Electronica/Trance/Trance,Urgent/Dark Pop Intensity,Fast Tempo/Fast/130s
375842206,Florence + The Machine,Delilah,How Big How Blue How Beautiful,Mixed/Mixed Group,2015,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Urgent/Dark Pop Intensity,Fast Tempo/Fast/160s
373293053,Two Door Cinema Club,Sun,Beacon,Male/Male Group,2012,Alternative a Punk/Synth Pop/Synth Pop,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/90s
372576222,Yeah Yeah Yeahs,Dull Life,It's Blitz,Mixed/Mixed Group,2009,Alternative a Punk/Indie Rock/Post-Punk Revival,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/100s
335979011,MØ,Don't Wanna Dance,No Mythologies to Follow,Female/Female,2014,Alternative a Punk/Synth Pop/Synth Pop,Urgent/Dark Pop Intensity,Fast Tempo/Fast/130s
315671287,Ночные Снайперы,Катастрофически,Цунами,Mixed/Mixed Group,2002,Pop/European Pop/Eastern European Pop,Urgent/Dark Pop Intensity,Fast Tempo/Fast/140s
314777536,Portugal. The Man,My Mind,Church Mouth,Male/Male Group,2007,Alternative a Punk/Indie Rock/General Indie Rock,Urgent/Dark Pop Intensity,Fast Tempo/Fast/170s
312674564,Cathedrals,In the Dark,Cathedrals,Male/Male Group,2015,Alternative a Punk/Indie Rock/Post-Punk Revival,Urgent/Dark Pop Intensity,Fast Tempo/Fast/130s
