id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239169,New Young Pony Club,Architect of Love,The Optimist,Mixed/Mixed Group,2010,Alternative a Punk/Indie Rock/Indie Pop,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/120s
456239143,The Kinks,Sunny Afternoon [Stereo],Face To Face [Disc 2],Male/Male Group,1966,Rock/60's Rock/British Invasion,Urgent/Dark Urgent,Medium Tempo/Medium Fast/120s
456239136,Esthetic Education,Crucify,Werewolf,"",2007,Rock/Mainstream Rock/General Mainstream Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/90s
456239118,Jamie-Lee Kriewitz,Ghost,Ghost,Female/Female,2016,Pop/Western Pop/Pop Vocal,Urgent/Dark Pop Intensity,Fast Tempo/Fast/160s
456239117,Rich Aucoin,Brian Wilson Is A.L.i.V.E. (All Living Instantly Vanquish Everything),We're All Dying To Live (Public Publication EP/Over The Top LP),Male/Male,2011,Alternative a Punk/Indie Rock/Indie Pop,Urgent/Dark Pop,Medium Tempo/Medium Fast/120s
456239068,8mm,Angel,Songs To Love And Die By...,Mixed/Mixed Group,2006,Electronica/Downtempo Lounge a Ambient/Neo-Lounge,Urgent/Dark Pop Intensity,Fast Tempo/Fast/160s
456239059,Alizée,Moi... Lolita,Gourmandises,Female/Female,2000,Pop/European Pop/French Pop,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/100s
456239058,Puggy,When You Know,Something You Might Like,Male/Male Group,2009,Pop/Western Pop/Adult Alternative Pop,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
456239050,The Lively Ones,Surf Rider,Hang Five!!! The Best Of The Lively Ones,Male/Male Group,1995,Rock/60's Rock/Surf Rock,Urgent/Dark Urgent,Fast Tempo/Fast/140s
456239029,The Hoosiers,Cops And Robbers,The Trick To Life,Male/Male Group,2007,Alternative a Punk/Indie Rock/Indie Pop,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/90s
456239028,The Hoosiers,The Trick To Life,The Trick To Life,Male/Male Group,2007,Alternative a Punk/Indie Rock/Indie Pop,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
443997250,Bombay Bicycle Club,Lamplight,I Had The Blues But I Shook Loose,Male/Male Group,2009,Alternative a Punk/Indie Rock/General Indie Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
443750086,The Maccabees,Mary,Colour It In,Male/Male Group,2007,Alternative a Punk/Indie Rock/General Indie Rock,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
438963366,Various Artists,Гарри Поттер,XXXL 16: Танцевальный,"",2006,Electronica/Dance a Club/Club Dance,Urgent/Dark Pop Intensity,Fast Tempo/Fast/130s
435569630,Monarchy,Living Without You,Abnocto,Male/Male Duo,2015,Electronica/House/General House,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
432650002,Parov Stelar,Booty Swing,The Princess: The Vinyl Collection 2010 - 2012,Male/Male,2012,Electronica/Electronica Fusion/Ethno-Lounge Electronica,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/110s
431789542,KBDM,Ангелы и демоны,Ангелы и демоны,"",2014,Pop/Western Pop/Pop Vocal,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
430306806,Dirty Youth,The One,Gold Dust,"",2015,Rock/Mainstream Rock/General Mainstream Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
428750491,Flagrant Fowl,"Feist's ""Gatekeeper"" (Pocketknife's Faded Beach Towel Remix)",Tambourine Dream,"",2007,Electronica/Trance/Trance,Urgent/Dark Pop,Medium Tempo/Medium Fast/120s
420190821,Parov Stelar,Hurt,Coco Pt. 1,Male/Male,2009,Electronica/Electronica Fusion/Ethno-Lounge Electronica,Urgent/Dark Pop,Medium Tempo/Medium Fast/100s
417705900,Pentatonix,Dance Of The Sugar Plum Fairy,That's Christmas To Me,Mixed/Mixed Group,2014,Pop/Western Pop/Other Pop,Urgent/Energetic Anxious,Fast Tempo/Fast/150s
416259986,Demi Lovato,Cool For The Summer,Confident [Deluxe Edition],Female/Female,2015,Pop/Western Pop/Dance Pop,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/110s
402910097,Meg Myers,A Bolt From The Blue,Sorry,Female/Female,2015,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Urgent/Dark Pop Intensity,Fast Tempo/Fast/130s
402620759,Meg Myers,Lemon Eyes,Sorry,Female/Female,2015,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
399990386,Tim Minchin,Dark Side,Ready For This ?,Male/Male,2009,Other/Comedy/Comedy,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
391828382,Portishead,Elysium,Portishead,Mixed/Mixed Group,1997,Electronica/Downtempo Lounge a Ambient/Trip Hop,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
390404112,ATB,Made Of Glass,Trilogy,Male/Male,2007,Electronica/Trance/Trance,Urgent/Dark Pop Intensity,Fast Tempo/Fast/130s
380287413,VAST,Turquoise,Nude,Male/Male Group,2006,Rock/70's Rock/Neo-Prog Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/110s
379720027,Hybrid,Formula Of Fear,Disappear Here,Mixed/Mixed Group,2010,Electronica/Techno/Classic Techno,Urgent/Dark Pop,Fast Tempo/Fast/130s
375842206,Florence + The Machine,Delilah,How Big How Blue How Beautiful,Mixed/Mixed Group,2015,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Urgent/Dark Pop Intensity,Fast Tempo/Fast/160s
375137308,The Pretty Reckless,Make Me Wanna Die,Light Me Up,Mixed/Mixed Group,2010,Alternative a Punk/Alternative/Alternative Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/90s
373293053,Two Door Cinema Club,Sun,Beacon,Male/Male Group,2012,Alternative a Punk/Synth Pop/Synth Pop,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/90s
372576222,Yeah Yeah Yeahs,Dull Life,It's Blitz,Mixed/Mixed Group,2009,Alternative a Punk/Indie Rock/Post-Punk Revival,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/100s
366976332,Imagine Dragons,I'm So Sorry,Smoke + Mirrors,Male/Male Group,2015,Rock/Adult Alternative Rock/Adult Alternative Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
366429233,Kaiser Chiefs,I Predict A Riot,Employment,Male/Male Group,2005,Alternative a Punk/Indie Rock/General Indie Rock,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
366275979,Brandon Flowers,Can't Deny My Love,The Desired Effect,Male/Male,2015,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/110s
362602332,Yeah Yeah Yeahs,Gold Lion,Show Your Bones,Mixed/Mixed Group,2006,Alternative a Punk/Indie Rock/Post-Punk Revival,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
357696528,The Exies,Ugly,Head For The Door,Male/Male Group,2004,Alternative a Punk/Alternative/Alternative Rock,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
357450323,The Exies,This Is The Sound,A Modern Way Of Living With The Truth,Male/Male Group,2007,Alternative a Punk/Alternative/Alternative Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/150s
353245637,Ramona Falls,Fingerhold,Prophet,Mixed/Mixed Group,2012,Alternative a Punk/Indie Rock/General Indie Rock,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
346761208,Ingrid Michaelson,Time Machine,Lights Out,Female/Female,2014,Pop/Western Pop/Adult Alternative Pop,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/90s
340110553,Ellie Goulding,Stay Awake,Halcyon Days,Female/Female,2013,Electronica/Electronica Mainstream/Pop Electronica,Urgent/Dark Pop,Medium Tempo/Medium/80s
339194891,No Doubt,It's My Life,The Singles 1992-2003,Mixed/Mixed Group,1992,Alternative a Punk/Alternative/Alternative Pop,Urgent/Dark Pop,Medium Tempo/Medium Fast/120s
335979011,MØ,Don't Wanna Dance,No Mythologies to Follow,Female/Female,2014,Alternative a Punk/Synth Pop/Synth Pop,Urgent/Dark Pop Intensity,Fast Tempo/Fast/130s
330547818,Reamonn,Sometimes,Wish,Male/Male Group,2006,Rock/Adult Alternative Rock/Adult Alternative Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/90s
329383182,The Hardkiss,In Love,Stones and Honey,Mixed/Mixed Group,2014,Electronica/Electronica Mainstream/Pop Electronica,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
319734532,New Politics,Give Me Hope,A Bad Girl In Harlem,Male/Male Group,2013,Alternative a Punk/Alternative/Alternative Pop,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/90s
318491447,Gasmac Gilmore,I Am God,Dead Donkey,"",2012,Rock/Mainstream Rock/General Mainstream Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
315671287,Ночные Снайперы,Катастрофически,Цунами,Mixed/Mixed Group,2002,Pop/European Pop/Eastern European Pop,Urgent/Dark Pop Intensity,Fast Tempo/Fast/140s
315208844,Slash,Anastasia,Apocalyptic Love,Male/Male,2012,Rock/Hard Rock/General Hard Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/100s
314777536,Portugal. The Man,My Mind,Church Mouth,Male/Male Group,2007,Alternative a Punk/Indie Rock/General Indie Rock,Urgent/Dark Pop Intensity,Fast Tempo/Fast/170s
314770735,Fall Out Boy,Centuries,American Beauty / American Psycho,Male/Male Group,2015,Alternative a Punk/Emo a Hardcore/Emo,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
314706146,Slash,Beautiful Dangerous,Slash,Mixed/Mixed Duo,2010,Rock/Hard Rock/General Hard Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/90s
313579388,Shinedown,Her Name Is Alice,Somewhere In The Stratosphere [Live] [Disc 1],Male/Male Group,2011,Alternative a Punk/Alternative/Alternative Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/90s
312729421,Reamonn,Sometimes,Wish,Male/Male Group,2006,Rock/Adult Alternative Rock/Adult Alternative Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/90s
312674564,Cathedrals,In the Dark,Cathedrals,Male/Male Group,2015,Alternative a Punk/Indie Rock/Post-Punk Revival,Urgent/Dark Pop Intensity,Fast Tempo/Fast/130s
312421674,Epica,Blank Infinity,Consign To Oblivion,Mixed/Mixed Group,2005,Rock/Metal/Progressive Metal,Urgent/Dark Pop,Medium Tempo/Medium Slow/60s
310117815,Shinedown,For My Sake,Amaryllis,Male/Male Group,2012,Alternative a Punk/Alternative/Alternative Rock,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
310026654,ONE OK ROCK,Deeper Deeper,人生 x 僕=,Male/Male Group,2013,Rock/Japanese Rock/Japanese Rock,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
309959637,The Prodigy,Invaders Must Die,Invaders Must Die,Male/Male Group,2009,Electronica/Electronica Mainstream/Big Beat,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
307271736,Darren Korb,Paper Boats,Transistor Original Soundtrack,Mixed/Mixed Duo,2014,Soundtrack/Game Music/Game Music,Urgent/Energetic Anxious,Medium Tempo/Medium/70s
307256059,Akira Yamaoka,When You're Gone,Silent Hill: Shattered Memories,Male/Male,2012,Soundtrack/Game Music/Game Music,Urgent/Dark Pop,Medium Tempo/Medium Fast/120s
305385764,Sunrise Avenue,Fairytale Gone Bad,On The Way To Wonderland,Male/Male Group,2006,Alternative a Punk/Alternative/Alternative Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
305374368,Don Broco,Hold On,Priorities,Male/Male Group,2012,Alternative a Punk/Alternative/Alternative Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
302600317,Kongos,Hey I Don't Know,Lunatic,Male/Male Group,2014,Alternative a Punk/Alternative/Alternative Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/100s
302595720,System Of A Down,Radio/Video,Mezmerize,Male/Male Group,2005,Rock/Metal/Nu-Metal,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
