id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239164,Daniel O'Donnell,The Moon Of Love Medley: Dream Lover Single Girl I'm A Believer Bobby's Girl When Don't Go Breaking My Heart Shoop Shoop Song Da Doo Ron Ron Then I Kissed Her Under The Moon Of Love,The Rock 'n' Roll Show [Disc 2],Male/Male,2006,Pop/Western Pop/Pop Vocal,Lively/Showy / Rousing,Fast Tempo/Fast/130s
456239121,Mychael Danna,Delhi.com,Monsoon Wedding,Male/Male,2002,Soundtrack/Original Film/TV Music/General Film Music,Energizing/Abstract Beat,Fast Tempo/Fast/150s
456239118,Jamie-Lee Kriewitz,Ghost,Ghost,Female/Female,2016,Pop/Western Pop/Pop Vocal,Urgent/Dark Pop Intensity,Fast Tempo/Fast/160s
456239113,Theatre Of Tragedy,City Of Light,Musique,Mixed/Mixed Group,2000,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Fast Tempo/Fast/140s
456239105,Lynyrd Skynyrd,Free Bird,(Pronounced 'Lĕh-'nérd 'Skin-'nérd),Male/Male Group,1973,Rock/70's Rock/Southern Rock,Excited/Loud Celebratory,Fast Tempo/Fast/150s
456239068,8mm,Angel,Songs To Love And Die By...,Mixed/Mixed Group,2006,Electronica/Downtempo Lounge a Ambient/Neo-Lounge,Urgent/Dark Pop Intensity,Fast Tempo/Fast/160s
456239053,Household Name Records,Life Jacket Water Wings,Household-Name-Records,"",2004,Alternative a Punk/Alternative/Alternative Rock,Defiant/Hard Positive Excitement,Fast Tempo/Fast/170s
456239050,The Lively Ones,Surf Rider,Hang Five!!! The Best Of The Lively Ones,Male/Male Group,1995,Rock/60's Rock/Surf Rock,Urgent/Dark Urgent,Fast Tempo/Fast/140s
456239041,April March,Chick Habit,Paris in April,Female/Female,2012,Alternative a Punk/Indie Rock/Indie Pop,Rowdy/Wild / Rowdy,Fast Tempo/Fast/140s
456239032,Caravan Palace,Aftermath,<I°_°I>,Mixed/Mixed Group,2015,Electronica/Electronica Fusion/Ethno-Lounge Electronica,Energizing/Abstract Beat,Fast Tempo/Fast/140s
456239028,The Hoosiers,The Trick To Life,The Trick To Life,Male/Male Group,2007,Alternative a Punk/Indie Rock/Indie Pop,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
456239018,Carpenter Brut,Turbo Killer,EP III,Male/Male,2015,Alternative a Punk/Synth Pop/Synth Pop,Aggressive/Chaotic / Intense,Fast Tempo/Fast/140s
443997250,Bombay Bicycle Club,Lamplight,I Had The Blues But I Shook Loose,Male/Male Group,2009,Alternative a Punk/Indie Rock/General Indie Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
440844110,Tim Minchin,Some People Have It Worse Than Me,So Rock,Male/Male,2006,Other/Comedy/Comedy,Lively/Playful / Swingin',Fast Tempo/Fast/150s
438963366,Various Artists,Гарри Поттер,XXXL 16: Танцевальный,"",2006,Electronica/Dance a Club/Club Dance,Urgent/Dark Pop Intensity,Fast Tempo/Fast/130s
431789542,KBDM,Ангелы и демоны,Ангелы и демоны,"",2014,Pop/Western Pop/Pop Vocal,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
428751982,Various Artists,Once Bitten Twice Shy (Cover),100 Hits Driving Rock,"",2011,Rock/Metal/Pop Metal,Excited/Loud Celebratory,Fast Tempo/Fast/130s
424472575,COOLaCREATE,レザマリでもつらくないっ!,drizzly train,Mixed/Mixed Duo,2006,Soundtrack/Game Music/Game Music,Defiant/Hard Positive Excitement,Fast Tempo/Fast/150s
417705900,Pentatonix,Dance Of The Sugar Plum Fairy,That's Christmas To Me,Mixed/Mixed Group,2014,Pop/Western Pop/Other Pop,Urgent/Energetic Anxious,Fast Tempo/Fast/150s
414567787,Helloween,Stay Crazy,My God-Given Right,Male/Male Group,2015,Rock/Metal/Power Metal,Defiant/Heavy Brooding,Fast Tempo/Fast/150s
411808980,Powerwolf,St. Satans Day,Bible of the Beast,Male/Male Group,2013,Rock/Metal/Power Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/150s
402910097,Meg Myers,A Bolt From The Blue,Sorry,Female/Female,2015,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Urgent/Dark Pop Intensity,Fast Tempo/Fast/130s
402620759,Meg Myers,Lemon Eyes,Sorry,Female/Female,2015,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
399955568,Tim Minchin,Prejudice,Ready For This ?,Male/Male,2009,Other/Comedy/Comedy,Fiery/Energetic Abstract Groove,Fast Tempo/Fast/150s
390404112,ATB,Made Of Glass,Trilogy,Male/Male,2007,Electronica/Trance/Trance,Urgent/Dark Pop Intensity,Fast Tempo/Fast/130s
386547845,The Chemical Brothers,Escape Velocity,Further,Male/Male Duo,2010,Electronica/Electronica Mainstream/Big Beat,Excited/Euphoric Energy,Fast Tempo/Fast/140s
379720027,Hybrid,Formula Of Fear,Disappear Here,Mixed/Mixed Group,2010,Electronica/Techno/Classic Techno,Urgent/Dark Pop,Fast Tempo/Fast/130s
375842206,Florence + The Machine,Delilah,How Big How Blue How Beautiful,Mixed/Mixed Group,2015,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Urgent/Dark Pop Intensity,Fast Tempo/Fast/160s
374037326,David Hasselhoff,"True Survivor (From ""Kung Fury"")",True Survivor,Male/Male,2015,Pop/Western Pop/Pop Vocal,Fiery/Fiery Groove,Fast Tempo/Fast/150s
372597895,Muse,Survival,The 2nd Law,Male/Male Group,2012,Alternative a Punk/Alternative/Alternative Rock,Aggressive/Heavy Triumphant,Fast Tempo/Fast/160s
372362285,The Fratellis,Chelsea Dagger,Costello Music,Male/Male Group,2006,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Defiant/Hard Positive Excitement,Fast Tempo/Fast/150s
372003755,Journey,Separate Ways (Worlds Apart),Frontiers,Male/Male Group,1983,Rock/70's Rock/Classic Rock,Rowdy/Confident / Tough,Fast Tempo/Fast/130s
366976332,Imagine Dragons,I'm So Sorry,Smoke + Mirrors,Male/Male Group,2015,Rock/Adult Alternative Rock/Adult Alternative Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
366177758,The Exies,Stray,A Modern Way Of Living With The Truth,Male/Male Group,2007,Alternative a Punk/Alternative/Alternative Rock,Defiant/Hard Positive Excitement,Fast Tempo/Fast/150s
366162298,Die Happy,Survivor,Red Box,Mixed/Mixed Group,2011,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Fast Tempo/Fast/150s
357450323,The Exies,This Is The Sound,A Modern Way Of Living With The Truth,Male/Male Group,2007,Alternative a Punk/Alternative/Alternative Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/150s
347349407,Various Artists,In And Out Of Love,Hitzone 47 [Disc 2],"",2008,Traditional/Other Traditions/General World,Excited/Euphoric Energy,Fast Tempo/Fast/130s
335979011,MØ,Don't Wanna Dance,No Mythologies to Follow,Female/Female,2014,Alternative a Punk/Synth Pop/Synth Pop,Urgent/Dark Pop Intensity,Fast Tempo/Fast/130s
334950883,Blind,Time Is Running Out,The Fire Remains,"",2010,Pop/Western Pop/Pop Vocal,Brooding/Energetic Melancholy,Fast Tempo/Fast/130s
332820022,Morrissey,You Have Killed Me,Ringleader Of The Tormentors,Male/Male,2006,Alternative a Punk/Indie Rock/Jangle Pop,Brooding/Energetic Melancholy,Fast Tempo/Fast/130s
331654624,Various Artists,Eyes That Never Lie (Belarus),Eurovision Song Contest: Moscow 2009 [Disc 1],"",2009,Pop/Western Pop/Pop Vocal,Defiant/Heavy Brooding,Fast Tempo/Fast/130s
331636578,Edguy,Wasted Time,Rocket Ride (New Version),Male/Male Group,2006,Rock/Metal/Power Metal,Defiant/Heavy Brooding,Fast Tempo/Fast/130s
331632924,Revolution Renaissance,Heroes,New Era,"",2008,Rock/Metal/Heavy Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/140s
329383182,The Hardkiss,In Love,Stones and Honey,Mixed/Mixed Group,2014,Electronica/Electronica Mainstream/Pop Electronica,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
325526887,Metric,Sick Muse,Fantasies,Mixed/Mixed Group,2009,Alternative a Punk/Indie Rock/Post-Punk Revival,Brooding/Energetic Melancholy,Fast Tempo/Fast/150s
325277033,Reamonn,Faith,Reamonn,Male/Male Group,2008,Rock/Adult Alternative Rock/Adult Alternative Rock,Brooding/Energetic Melancholy,Fast Tempo/Fast/140s
324808021,Stone Temple Pilots,Interstate Love Song,Purple,Male/Male Group,1994,Alternative a Punk/Alternative/Alternative Rock,Excited/Happy Excitement,Fast Tempo/Fast/170s
319740841,Snow Patrol,Take Back The City,A Hundred Million Suns,Male/Male Group,2008,Alternative a Punk/Brit Rock/Brit Rock,Excited/Happy Excitement,Fast Tempo/Fast/130s
318468342,Sabaton,40 1,The Art Of War,Male/Male Group,2008,Rock/Metal/Power Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/130s
