id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239187,The Rosebuds,Boxcar,Birds Make Good Neighbours,Mixed/Mixed Duo,2005,Alternative a Punk/Indie Rock/Indie Pop,Yearning/Energetic Yearning,Medium Tempo/Medium/60s
456239185,The Rasmus,Immortal,Hide From The Sun,Male/Male Group,2005,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
456239183,The Rasmus,Lucifer's Angel,Hide From The Sun,Male/Male Group,2005,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
456239181,Apocalyptica Feat. Adam Gontier,I Don't Care,I Don't Care,Male/Male Group,2007,Rock/Metal/Progressive Metal,Brooding/Energetic Melancholy,Medium Tempo/Medium/80s
456239177,Florence + The Machine,Girl With One Eye,Lungs,Mixed/Mixed Group,2009,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Sophisticated/Smoky / Romantic,Medium Tempo/Medium/60s
456239175,Florence + The Machine,Hardest Of Hearts,Lungs: The B-Sides,Mixed/Mixed Group,2009,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Sensual/Dreamy Pulse,Medium Tempo/Medium/60s
456239173,Ringo Starr,You're Sixteen,Ringo a His New All-Starr Band,Male/Male,2002,Pop/Western Pop/Singer-Songwriter,Rowdy/Ramshackle / Rollicking,Medium Tempo/Medium/60s
456239170,Blonde Redhead,Elephant Woman,Misery Is A Butterfly,Mixed/Mixed Group,2004,Alternative a Punk/Indie Rock/Noise Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium/80s
456239165,Paper Route,Real Emotion,Real Emotion,Male/Male Group,2016,Alternative a Punk/Synth Pop/Synth Pop,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
456239152,Abel Korzeniowski,Dance For Me Wallis,W.E. - Music From The Motion Picture,Male/Male,2012,Soundtrack/Original Film/TV Music/General Film Music,Serious/Melodramatic,Medium Tempo/Medium/80s
456239144,Fool's Garden,Reason,25 Miles To Kissimmee,Male/Male Group,2004,Pop/Western Pop/Adult Alternative Pop,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
456239141,Manowar,Die For Metal,Gods Of War,Male/Male Group,2007,Rock/Metal/Power Metal,Aggressive/Aggressive Power,Medium Tempo/Medium/70s
456239139,Katie Melua,All Over The World,Secret Symphony,Female/Female,2012,Pop/Western Pop/Adult Contemporary,Sensual/Soft Soulful,Medium Tempo/Medium/60s
456239138,Egor Grushin,Essential,Once,"",2016,Classical/Other Classical/General Classical,Brooding/Dreamy Brooding,Medium Tempo/Medium/60s
456239134,Egor Grushin,Beginning,Dominicano,"",2015,Alternative a Punk/Alternative/Alternative Rock,Melancholy/Light Melancholy,Medium Tempo/Medium/60s
456239132,Визбор V.S. Хутас,Мюнхгаузен,Земляника,"",2015,Pop/Western Pop/Pop Vocal,Cool/Dark Groovy,Medium Tempo/Medium/80s
456239130,Zee Avi,Honey Bee,Zee Avi,Female/Female,2009,Alternative a Punk/Indie Rock/Indie Pop,Sentimental/Tender / Sincere,Medium Tempo/Medium/80s
456239128,Stateless,Bloodstream,Stateless,Male/Male Group,2007,Alternative a Punk/Indie Rock/Post-Modern Art Music,Sensual/Intimate,Medium Tempo/Medium/70s
456239114,Low Roar,I'Ll Keep Coming,0,Male/Male Group,2014,Alternative a Punk/Indie Rock/Post-Modern Art Music,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
456239110,Material,Life Vest,Everything I Want To Say,Male/Male Group,2013,Alternative a Punk/Indie Rock/No Wave,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
456239098,Francesca Michielin,Nessun Grado Di Separazione,Di20are,Female/Female,2016,Pop/European Pop/Mediterranean Pop,Yearning/Energetic Yearning,Medium Tempo/Medium/70s
456239091,Coldplay,Square One,XaY,Male/Male Group,2005,Alternative a Punk/Brit Rock/Brit Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium/80s
456239082,Stanislav Artemyev,Time,Creatio,"",2015,Alternative a Punk/Alternative/Alternative Rock,Tender/Romantic / Lyrical,Medium Tempo/Medium/70s
456239074,Rihanna,Towards The Sun,"Towards The Sun (From The ""Home"" Soundtrack)",Female/Female,2015,Urban/Contemporary RaB/Soul/Urban Crossover,Brooding/Dreamy Brooding,Medium Tempo/Medium/80s
456239071,Sneaker Pimps,Low Place Like Home,Becoming X,Mixed/Mixed Group,1997,Electronica/Downtempo Lounge a Ambient/Trip Hop,Energizing/Edgy / Sexy,Medium Tempo/Medium/80s
456239065,Ramona Falls,Spore,Prophet,Mixed/Mixed Group,2012,Alternative a Punk/Indie Rock/General Indie Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
456239061,Mutemath,You Are Mine,Mutemath,Male/Male Group,2006,Alternative a Punk/Alternative/Alternative Rock,Melancholy/Light Melancholy,Medium Tempo/Medium/70s
456239054,DOROTHY,Raise Hell,Rockisdead,Female/Female Duo,2016,Alternative a Punk/Alternative/Alternative Dance,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
456239051,Erlend Øye,Estate,Estate,Male/Male,2015,Alternative a Punk/Indie Rock/Indie Pop,Gritty/Depressed / Lonely,Medium Tempo/Medium/60s
456239049,Heidevolk,Deemstering,Uit Oude Grond,Male/Male Group,2012,Rock/Metal/Black Metal,Somber/Enigmatic / Mysterious,Medium Tempo/Medium/60s
456239039,Hooverphonic,Amalfi,Reflection,Mixed/Mixed Group,2013,Electronica/Downtempo Lounge a Ambient/General Downtempo,Empowering/Dramatic Emotion,Medium Tempo/Medium/60s
456239033,Caro Emerald,The Wonderful In You,The Shocking Miss Emerald,Female/Female,2013,Jazz/Jazz Vocals/Jazz Vocals,Easygoing/Friendly,Medium Tempo/Medium/70s
456239030,The Hoosiers,Worried About Ray,The Trick To Life,Male/Male Group,2007,Alternative a Punk/Indie Rock/Indie Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium/80s
456239025,Die Antwoord,Gucci Coochie,Mount Ninji And Da Nice Time Kid,Mixed/Mixed Group,2016,Urban/Western Hip-Hop/Rap/Conscious Hip-Hop/Rap,Defiant/Attitude / Defiant,Medium Tempo/Medium/60s
443991926,Explosions In The Sky,Magic Hours,How Strange Innocence,Male/Male Group,2000,Alternative a Punk/Indie Rock/Post-Rock,Melancholy/Light Melancholy,Medium Tempo/Medium/60s
443985873,Metric,Soft Rock Star,Grow Up and Blow Away,Mixed/Mixed Group,2007,Alternative a Punk/Indie Rock/Post-Punk Revival,Excited/Upbeat Pop Groove,Medium Tempo/Medium/80s
443750086,The Maccabees,Mary,Colour It In,Male/Male Group,2007,Alternative a Punk/Indie Rock/General Indie Rock,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
443450694,Hedged,Every Time I Call,Serving Time,"",2008,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
435603463,KONAMI,Shot Down in Flames,SILENT HILL ZERO ORIGINAL SOUNDTRACK,Unknown/Other,2008,Soundtrack/Game Music/Game Music,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
433697977,Laura Marling,My Manic And I,Alas I Cannot Swim,Female/Female,2008,Alternative a Punk/Alternative Folk/Alternative Folk,Sophisticated/Smoky / Romantic,Medium Tempo/Medium/80s
432067240,Young The Giant,Cough Syrup,Young The Giant,Male/Male Group,2010,Alternative a Punk/Alternative/Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/60s
431140244,Yann Tiersen,Rue Des Cascades,C'Etait Ici [Disc 1],Male/Male,2002,Soundtrack/Original Film/TV Music/General Film Music,Melancholy/Wistful / Forlorn,Medium Tempo/Medium/60s
430376085,Die Form,Cantique,Best Of XXX [Disc 2],Mixed/Mixed Duo,2008,Alternative a Punk/Goth/Goth,Brooding/Dreamy Brooding,Medium Tempo/Medium/60s
429447048,Rushnychok (Рушничок),Moon and the Stars - Місяць і зіроньки,Rushnychok Vol. 5,"",2012,Traditional/Other Traditions/General World,Romantic/Heartfelt Passion,Medium Tempo/Medium/70s
428691497,Tarja Turunen,I Walk Alone (Live At Teatro El Círculo Rosario Argentina/2012),Act 1 (Live At Teatro El Círculo Rosario Argentina/2012) [Disc 1],Female/Female,2012,Rock/Metal/Progressive Metal,Brooding/Evocative / Intriguing,Medium Tempo/Medium/70s
427975967,Chaos Chaos,Do You Feel It?,Committed to the Crime,Female/Female Duo,2014,Rock/Adult Alternative Rock/Adult Alternative Rock,Cool/Cool Confidence,Medium Tempo/Medium/60s
425702571,The Radio Dept.,Strange Things Will Happen,Lesser Matters,Male/Male Group,2004,Alternative a Punk/Indie Rock/Dream Pop,Romantic/Heartfelt Passion,Medium Tempo/Medium/60s
425073146,Nik Page,Voices from Outer Space,Rocketqueen,"",2009,Pop/Western Pop/Pop Vocal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
424458901,Kaleida,Think,Think,Female/Female Duo,2015,Electronica/Electronica Mainstream/Pop Electronica,Sensual/Dreamy Pulse,Medium Tempo/Medium/60s
424444859,Archive,Bullets,Controlling Crowds,Mixed/Mixed Group,2009,Electronica/Downtempo Lounge a Ambient/Trip Hop,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
420170885,Elizaveta,Meant,Beatrix Runs,Female/Female,2012,Alternative a Punk/Indie Rock/Indie Pop,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
419631257,Kila,Dusty Wine Bottle,The Best Of Kila,"",2009,Traditional/Other Traditions/General World,Romantic/Dramatic / Romantic,Medium Tempo/Medium/70s
419608365,Karpatt,Des Idées,Dans D'Beaux Draps,Male/Male Group,2005,Pop/European Pop/Chanson,Cool/Dark Groovy,Medium Tempo/Medium/80s
417977485,Manowar,Warriors Of The World United,Warriors Of The World,Male/Male Group,2002,Rock/Metal/Power Metal,Aggressive/Aggressive Power,Medium Tempo/Medium/80s
414963202,The Neighbourhood,Afraid,I Love You.,Male/Male Group,2013,Alternative a Punk/Indie Rock/Indie Pop,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
414946310,UNKLE,When Things Explode (Featuring Ian Astbury),War Stories,Male/Male Group,2007,Electronica/Downtempo Lounge a Ambient/Trip Hop,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
414548485,Poe,Haunted,Haunted,Female/Female,2000,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Yearning/Energetic Yearning,Medium Tempo/Medium/80s
410625158,She Makes War,In This Boat,Little Battles,Female/Female,2012,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Brooding/Dreamy Brooding,Medium Tempo/Medium/80s
410107241,Genitorturers,Kabangin' All Night,Blackheart Revolution,Mixed/Mixed Group,2009,Rock/Metal/Industrial Metal,Aggressive/Dark Hard Beat,Medium Tempo/Medium/80s
408688668,Powerwolf,Sanctified with Dynamite,Blood of the Saints,Male/Male Group,2011,Rock/Metal/Power Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
408415423,Tim Minchin,Confessions,Ready For This ?,Male/Male,2009,Other/Comedy/Comedy,Gritty/Sober / Determined,Medium Tempo/Medium/60s
402588376,Muse,New Born,Origin Of Symmetry,Male/Male Group,2001,Alternative a Punk/Alternative/Alternative Rock,Brooding/Alienated / Brooding,Medium Tempo/Medium/70s
