id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239105,Lynyrd Skynyrd,Free Bird,(Pronounced 'Lĕh-'nérd 'Skin-'nérd),Male/Male Group,1973,Rock/70's Rock/Southern Rock,Excited/Loud Celebratory,Fast Tempo/Fast/150s
419622454,Eric Clapton,And It's 'Layla' Not 'Leyla'..,2006-07-07(2)Lucca FM,Male/Male,2006,Rock/70's Rock/Blues Rock,,
380287413,VAST,Turquoise,Nude,Male/Male Group,2006,Rock/70's Rock/Neo-Prog Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/110s
372003755,Journey,Separate Ways (Worlds Apart),Frontiers,Male/Male Group,1983,Rock/70's Rock/Classic Rock,Rowdy/Confident / Tough,Fast Tempo/Fast/130s
342128570,Roxette,Real Sugar,Room Service,Mixed/Mixed Duo,2001,Rock/70's Rock/Classic Pop-Rock,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/120s
318776106,Alice Cooper,Poison,Trash,Male/Male,1989,Rock/70's Rock/Classic Hard Rock,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/120s
271525597,Electric Light Orchestra,Mr. Blue Sky,Out Of The Blue,Male/Male Group,2007,Rock/70's Rock/Classic Rock,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
250310093,Neil Young a Crazy Horse,Love To Burn,Ragged Glory,Male/Male Group,1990,Rock/70's Rock/Classic Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/110s
209312950,The Who,Baba O'Riley,Who's Next,Male/Male Group,1971,Rock/70's Rock/Classic Hard Rock,Upbeat/Happy / Soulful,Medium Tempo/Medium Fast/110s
184539644,Blackmore's Night,Wish You Were Here,Shadow of The Moon,Mixed/Mixed Group,1997,Rock/70's Rock/Neo-Prog Rock,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/60s
175162829,The Carpenters,Top Of The World,The Singles 1969-1973,Mixed/Mixed Duo,1973,Rock/70's Rock/Classic Soft Rock,Easygoing/Friendly,Slow Tempo/Slow/40s
170233701,Mushmellow,Hellen,Hollow Memories,,2009,Rock/70's Rock/Classic Prog,,
165367496,DeeExpus,King of Number 33 (II - Accession),King of Number 33,,2012,Rock/70's Rock/Classic Prog,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
88813044,Kansas,Carry On My Wayward Son,Letoverture,Male/Male Group,0,Rock/70's Rock/Classic Rock,,
