id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239172,Misty Miller,Evergreen Love,Misty Miller,Female/Female,2011,Pop/Western Pop/Adult Alternative Pop,Easygoing/Friendly,Slow Tempo/Slow/40s
456239151,Christina Perri,The Lonely,Lovestrong.,Female/Female,2011,Pop/Western Pop/Adult Alternative Pop,Melancholy/Wistful / Forlorn,Slow Tempo/Slow/40s
456239147,Ingrid Michaelson,Die Alone,Girls And Boys,Female/Female,2006,Pop/Western Pop/Adult Alternative Pop,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/110s
456239144,Fool's Garden,Reason,25 Miles To Kissimmee,Male/Male Group,2004,Pop/Western Pop/Adult Alternative Pop,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
456239125,Neele Ternes,Dad (#heimkommen),Dad,Female/Female,2015,Pop/Western Pop/Adult Alternative Pop,Empowering/Dramatic Emotion,Slow Tempo/Very Slow/30s
456239109,Nerina Pallot,Someday Soon,Dear Frustrated Superstar,Female/Female,2001,Pop/Western Pop/Adult Alternative Pop,Empowering/Dramatic Emotion,Slow Tempo/Very Slow/30s
456239100,Hailee Steinfeld,Rock Bottom,Haiz,Mixed/Mixed Group,2016,Pop/Western Pop/Adult Alternative Pop,,
456239093,Diana Vickers,The Boy Who Murdered Love,Songs From The Tainted Cherry Tree,Female/Female,2010,Pop/Western Pop/Adult Alternative Pop,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/60s
456239062,Jason Mraz,Plane,Mr. A-Z,Male/Male,2005,Pop/Western Pop/Adult Alternative Pop,Sophisticated/Smoky / Romantic,Medium Tempo/Medium Slow/60s
456239058,Puggy,When You Know,Something You Might Like,Male/Male Group,2009,Pop/Western Pop/Adult Alternative Pop,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
361116288,Hurts,Miracle,Exile,Male/Male Duo,2013,Pop/Western Pop/Adult Alternative Pop,Yearning/Energetic Yearning,Medium Tempo/Medium/80s
346761208,Ingrid Michaelson,Time Machine,Lights Out,Female/Female,2014,Pop/Western Pop/Adult Alternative Pop,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/90s
338921982,Various Artists,Electricity,Nu Disco,Male/Male Duo,2013,Pop/Western Pop/Adult Alternative Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/110s
335478978,Maroon 5,Animals,V,Male/Male Group,2014,Pop/Western Pop/Adult Alternative Pop,Cool/Wary / Defiant,Medium Tempo/Medium Slow/60s
331543654,KT Tunstall,Black Horse And The Cherry Tree,Eye To The Telescope,Female/Female,2004,Pop/Western Pop/Adult Alternative Pop,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/100s
331542170,KT Tunstall,Saving My Face,Drastic Fantastic,Female/Female,2007,Pop/Western Pop/Adult Alternative Pop,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/60s
315060006,Meghan Trainor,All About That Bass,Title [Bonus Tracks],Female/Female,2014,Pop/Western Pop/Adult Alternative Pop,Cool/Wary / Defiant,Medium Tempo/Medium/60s
302748835,Jason Mraz,Geek In The Pink,Mr. A-Z,Male/Male,2005,Pop/Western Pop/Adult Alternative Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/90s
302447256,Tyler Ward,Falling,Honestly,Male/Male,2013,Pop/Western Pop/Adult Alternative Pop,Empowering/Dramatic Emotion,Medium Tempo/Medium/70s
297515724,James Blunt,1973,All The Lost Souls,Male/Male,2007,Pop/Western Pop/Adult Alternative Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Slow/60s
273742393,Mat Kearney,Ships In The Night,Young Love,Male/Male,2011,Pop/Western Pop/Adult Alternative Pop,Yearning/Sensitive / Exploring,Medium Tempo/Medium/80s
239476800,Tim McMorris,Give Our Dreams Their Wings to Fly,Alive,Male/Male,2014,Pop/Western Pop/Adult Alternative Pop,Excited/Euphoric Energy,Fast Tempo/Very Fast/180s
234979773,Daniel Powter,Bad Day,Daniel Powter,Male/Male,2005,Pop/Western Pop/Adult Alternative Pop,Empowering/Strong / Stable,Medium Tempo/Medium/70s
211381910,Tim McMorris,It's a Beautiful Day,Alive,Male/Male,2014,Pop/Western Pop/Adult Alternative Pop,Rowdy/Ramshackle / Rollicking,Medium Tempo/Medium/80s
206392264,Puggy,Teaser,Something You Might Like,Male/Male Group,2009,Pop/Western Pop/Adult Alternative Pop,Rowdy/Ramshackle / Rollicking,Medium Tempo/Medium/70s
205704996,Tim McMorris,Life Is Beautiful,Alive,Male/Male,2014,Pop/Western Pop/Adult Alternative Pop,Excited/Euphoric Energy,Fast Tempo/Very Fast/180s
196700319,OneRepublic,Good Life,Waking Up,Male/Male Group,2009,Pop/Western Pop/Adult Alternative Pop,Cool/Wary / Defiant,Medium Tempo/Medium Slow/60s
192472873,Lisa Miskovsky,Still Alive (Benny Benassi mix),Still Alive (The Theme From Mirror's Edge): The Remixes,Female/Female,2008,Pop/Western Pop/Adult Alternative Pop,Yearning/Energetic Yearning,Medium Tempo/Medium/60s
192471624,Lisa Miskovsky,Still Alive (The Theme From Mirror's Edge),Still Alive (The Theme From Mirror's Edge): The Remixes,Female/Female,2008,Pop/Western Pop/Adult Alternative Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/100s
190765066,KT Tunstall,Suddenly I See,Eye To The Telescope,Female/Female,2005,Pop/Western Pop/Adult Alternative Pop,Empowering/Dramatic Emotion,Slow Tempo/Slow/40s
180181439,Gavin DeGraw,I Don't Want To Be,Chariot,Male/Male,2003,Pop/Western Pop/Adult Alternative Pop,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
177387107,Jack Johnson,Sitting Waiting Wishing,In Between Dreams,Male/Male,2005,Pop/Western Pop/Adult Alternative Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/100s
171877314,James Blunt,No Tears,Some Kind Of Trouble,Male/Male,2010,Pop/Western Pop/Adult Alternative Pop,Empowering/Dramatic Emotion,Medium Tempo/Medium/60s
171537876,Christina Perri,Jar Of Hearts,Lovestrong.,Female/Female,2011,Pop/Western Pop/Adult Alternative Pop,Empowering/Dramatic Emotion,Slow Tempo/Very Slow/30s
166733949,Taylor Swift,The Moment I Knew,Red [Deluxe Edition] [Disc 2],Female/Female,2012,Pop/Western Pop/Adult Alternative Pop,Empowering/Dramatic Emotion,Medium Tempo/Medium Slow/60s
164103378,Michael Tolcher,Bad Habits,I Am,Male/Male,2007,Pop/Western Pop/Adult Alternative Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium/80s
147799046,Julian Perretta,Wonder Why,Stitch Me Up,Male/Male,2010,Pop/Western Pop/Adult Alternative Pop,Yearning/Energetic Yearning,Medium Tempo/Medium/80s
146278611,Rob Thomas,Lonely No More,...Something To Be,Male/Male,2005,Pop/Western Pop/Adult Alternative Pop,Rowdy/Driving Dark Groove,Medium Tempo/Medium/80s
130399296,Sixpence None The Richer,Don't Dream It's Over,Divine Discontent,Mixed/Mixed Group,2002,Pop/Western Pop/Adult Alternative Pop,Yearning/Energetic Yearning,Medium Tempo/Medium/80s
130398540,Sixpence None The Richer,Breathe Your Name,Divine Discontent,Mixed/Mixed Group,2002,Pop/Western Pop/Adult Alternative Pop,Empowering/Dramatic Emotion,Slow Tempo/Slow/40s
109276099,The Pierces,Secret,Thirteen Tales Of Love a Revenge,Female/Female Duo,2008,Pop/Western Pop/Adult Alternative Pop,Sensual/Dreamy Pulse,Medium Tempo/Medium/60s
109273990,The Pierces,Sticks And Stones,Thirteen Tales Of Love a Revenge,Female/Female Duo,2008,Pop/Western Pop/Adult Alternative Pop,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/110s
104684463,Holly Brook,It's Raining Again (Smile),O'Dark:Thirty,Female/Female,2010,Pop/Western Pop/Adult Alternative Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/90s
99980131,OneRepublic,Everybody Loves Me,Waking Up,Male/Male Group,2013,Pop/Western Pop/Adult Alternative Pop,Defiant/Attitude / Defiant,Medium Tempo/Medium/80s
72753565,Jason Mraz,Make It Mine,We Sing. We Dance. We Steal Things.,Male/Male,2008,Pop/Western Pop/Adult Alternative Pop,Yearning/Sensitive / Exploring,Medium Tempo/Medium/70s
71962005,Dido,White Flag,Life For Rent,Female/Female,2003,Pop/Western Pop/Adult Alternative Pop,Empowering/Dramatic Emotion,Slow Tempo/Slow/40s
71957639,Dido,White Flag,Life For Rent,Female/Female,2003,Pop/Western Pop/Adult Alternative Pop,Empowering/Dramatic Emotion,Slow Tempo/Slow/40s
68189092,Jem,They,Finally Woken,Female/Female,2004,Pop/Western Pop/Adult Alternative Pop,Sensual/Intimate,Medium Tempo/Medium/60s
68188298,Jem,Falling For You,Finally Woken,Female/Female,2004,Pop/Western Pop/Adult Alternative Pop,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
68187297,Jem,It's Amazing,Down To Earth,Female/Female,2008,Pop/Western Pop/Adult Alternative Pop,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/90s
68004765,Dido,Hunter,No Angel,Female/Female,1999,Pop/Western Pop/Adult Alternative Pop,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/90s
