album_title,count
GLORIA,21
Міра,17
Out Of Style,17
On The Way To Wonderland,17
ВігВам,17
Popgasm,15
Эго,14
The Trick To Life,14
Dolce Vita,11
Там де нас нема,11
Земля,11
Воскресни,10
Модель,10
Ki・mi・ni・mu・chu,10
Один в каное,10
The Illusion Of Safety,9
Вместе весело шагать,9
Collective mon amour,9
Let England Shake,8
Blood Vine,8
Music For The Movie Black Ice,8
Happiness,8
Янанебібув,7
Брюссель,7
My Darkest Days,7
Fallen,7
EXILE TRIBE REVOLUTION,7
Краще,6
Gloria,6
The Sound Of Madness,6
Into The Wild,6
Zee Avi,6
Братья Грим,6
Love Is A Lie We Both Believed,6
Loud Like Love,6
Ніченькою,5
Суперсиметрiя,5
Devils,5
Angels,5
Saving Abel,5
The Black Cat Neighbourhood,5
A Fever You Can't Sweat Out,5
Те Що Треба,5
It Won't Be Soon Before Long,5
Простые Вещи,5
Family Бiзнес,5
Внутри,5
Vices a Virtues,5
The Best Of,5
Information,5
Californication,5
Progress,4
Culture Of Night,4
Чудные Дни,4
Я люблю тільки тебе,4
II -THE SECOND-,4
Some Nights,4
Beachcomber's Windowsill,4
Love Save The Empty,4
Будувуду,4
Sit! Stay! Wait! Down! / Love Story,4
Гайдамаки,4
Blood of the Saints,4
Let Love In,4
Kawai,4
Лети,4
Flamingo,4
Ґудзики,4
Lenka,4
Край неба,4
Амазонка,4
Над полюсами,4
A Rush Of Blood To The Head,4
Cult,4
Dogma,4
Вночі,4
A BALLADS,4
Duran Duran (The Wedding Album),4
Lifelines,3
From Under The Cork Tree,3
Your Whole Life Is Leading Up To This,3
Greatest Hits,3
Hands All Over,3
Origin Of Symmetry,3
Stones and Honey,3
12 21,3
Не Ангелы,3
Back In Blood,3
Paris Kills,3
X,3
Crazy World,3
Three Days Grace,3
Антитіла,3
Mandy Moore,3
Soulmate Sublime,3
Промені Сліз,3
Вендетта,3
Cult To Follow,3
Stadium Arcadium: Jupiter [Disc 1],3
Moonlight Waltz,3
The Gates Of Oblivion [Bonus Track],3
Tarot,3
Театр Темних Пелюсток,3
Лучшее,3
Kywitt ! Kywitt !,3
Sick And Twisted Affair,3
Війни в прямому ефірі,3
Гамлєт Та Інші П'єси,3
Natura (Натура),3
Гой Роде Гой!,3
Ведьма,3
Love At First Sting,3
Океан Ельзи,3
Мусоргский: Борис Годунов,3
One Night Only [Live],3
Tree Of Life,3
I'm With You,3
Я Вернувся Домів,3
Українські Марші. Грають Духові Оркестри. Золота Колекція.,3
Nevermind,3
Battle For The Sun,3
In2ition,3
American Tragedy [Explicit Version],3
Relaxation,3
Minor Earth Major Sky,3
Dr. Horrible's Sing-Along Blog,3
The Imitation Game: Original Motion Picture Soundtrack,3
III,3
Спасибо Вендетта,3
Century Child,3
MTV Unplugged In New York,3
Shkidlyva Zvychka (Шкідлива Звичка),3
American Idiot,3
+,3
Inside In/Inside Out,3
I Love You.,3
Essential Music (Album),2
Помаранчеві Пісні,2
Він,2
Rated R,2
Michael,2
HIStory: Past Present And Future Book 1 [Disc 2],2
Miracle,2
Recoil,2
Development,2
Come What(Ever) May,2
Microcosmos,2
Grishkovets a Bigudi,2
Атомная зима,2
Viva La Vida Or Death And All His Friends,2
Mylo Xyloto,2
Stranger In Us All,2
Ritchie Blackmore's Rainbow,2
Live At Leeds,2
Горький шоколад,2
Toyz,2
Вибране,2
Tu Vas Pas Mourir De Rire,2
Меломанiя,2
Hypnotize,2
Збірка ліричних пісень Найкраще в Україні,2
Waking Up,2
Memories Of A Time To Come [Disc 2],2
Rebel Yell,2
How To Destroy Angels,2
Blessed Be,2
Unholy Ground,2
Deep Shadows And Brilliant Highlights,2
The Doors,2
Ще не вмерла...наша пісня,2
Вiдрада,2
Tonight: Franz Ferdinand,2
Franz Ferdinand,2
Amaryllis,2
My Darkest Days [Best Buy],2
Штиль,2
Dragon Tears [Disc 1],2
Machine Says Yes,2
Планета С.К.А.Й.,2
Found Songs,2
Carpe Diem,2
PTX Vols. 1 a 2,2
Thirteen Tales Of Love a Revenge,2
Beautiful World,2
Ghostbird,2
Hook Me Up,2
Modjo,2
Найкраще,2
Красота,2
Океан,2
Miss America,2
9,2
The Secret Life Of The Veronicas,2
Ghost Of A Chance,2
Breakaway,2
Золотой миллениум,2
Тайные Желания,2
Мініатюри,2
Call Me Up,2
Demon Days,2
Unia,2
Ozzfest Summer Sampler 2004 [Live],2
2007 Blazin' Hip Hop RaB Vol.64,2
Не Мовчи!,2
Пелагея,2
Misery Is A Butterfly,2
23,2
Raise Your Hands,2
Схожа На Осінь,2
Satanic Pop Metal,2
Иномарки,2
Crushing Digits,2
Старые Песни О Главном,2
Welcome to Vladyland,2
Надія Є,2
Беспечный Русский Бродяга,2
Без Зайвих Слів,2
200 Km/H In The Wrong Lane [Bonus Tracks],2
1776,2
Distant Earth,2
Here And Now,2
All The Right Reasons,2
Anima Noir,2
Purchased,2
The Metal Opera Pt. II,2
The Scarecrow,2
The Metal Opera Pt. I,2
The Hall Of The Olden Dreams [Bonus Track],2
Dead Silence,2
Mindfreak,2
Тринити,2
Світло і тінь,2
The 8th Sin,2
Epica,2
RHCP/Crows,2
Somewhere In The Stratosphere [Live] [Disc 1],2
Either/Or,2
Біла Вежа,2
Carnival Of Rust,2
Bible of the Beast,2
Wretched And Divine: The Story Of The Wild Ones [Explicit Version],2
Наш Івасюк,2
Лагідна українізація,2
Дикі Танці,2
Сгинуть [Disappear],2
Слава Яриле,2
Українські застольні пісні Ч. 2,2
Агарта,2
Козаки (Їхали козаки),2
Rocket Ride (New Version),2
Kiske / Somerville,2
Ordo Bellictum Satanas,2
Gutterflower,2
Return Of The Mother Head's Family Reunion [Bonus Track],2
Get Up [Bonus Track],2
The Singles,2
Монополія,2
Full Moon Fever,2
Unreal [International Edition],2
A New Day,2
A Beautiful Lie,2
This Is War,2
Преступление,2
Скорость Звука,2
Антология 19: Семь Морей,2
Следующая Остановка,2
Epolets,2
The Giant Leap,2
Sleep Baby Sleep,2
Крізь тіло,2
Готика,2
A Hard Day's Night,2
На першому місці,2
Dieversity,2
Gasoline,2
Sometimes,2
Disclaimer II,2
PORTRAIT,2
Кольорові сни,2
Room Service,2
V,2
Rekordy (Рекорди),2
Fantasies,2
Незручні Ліжка,2
The Book Of Heavy Metal,2
Welcome To The Masquerade,2
Reviens,2
Hunting High a Low,2
...Nothing Like The Sun,2
No Sound Without Silence,2
You Brroke My Heart [Single],2
The Dream,2
Ah!,2
Celloverse,2
2Cellos トゥー・チェロズ,2
Сльоzи Та Соплі,2
Slippery When Wet,2
Тихорецкая (том16),2
Like Drawing Blood,2
The Best Of KC a The Sunshine Band,2
Music For A While,2
Sister simplicity,2
Шабадабада,2
Les Friction (Instrumental Bonus Tracks Version),2
Дикие травы,2
Неизданное,2
Паганини. Сонаты и каприсы,2
7 Sinners,2
Take This To Your Grave,2
See You On The Other Side,2
The Dark Ride,2
Потому Что Нельзя Быть Красивой Такой,2
Танго,2
Razorblade Romance,2
Black Holes a Revelations,2
Long Way Down,2
Black Holes And Revelations,2
Hot Fuss,2
Supernation,2
The Kinks,2
The Shape Of A Broken Heart,2
By The Way,2
Exile,2
White Trash Beautiful,2
Too Weird To Live Too Rare To Die!,2
Absolution,2
Surrender (Deluxe),2
Live at Ring,2
The Circus,1
The Miracle Of The Kane Gang [Disc 1],1
Back For The First Time,1
New Perspective,1
Vices a Virtues [Bonus Tracks],1
Водопад,1
Like Blood Like Honey,1
Hold My Hand [Single],1
Last Train To Paris,1
Let's Be Animals,1
OK Computer,1
Brand New Eyes [Bonus Tracks],1
Heathen Chemistry,1
The Hush,1
Myths Of The Near Future,1
The Collection,1
Країна мрій,1
