genre,count
Rock,696
Alternative a Punk,636
Pop,432
Mainstream Rock,309
Rock/Mainstream Rock/General Mainstream Rock,306
General Mainstream Rock,306
Western Pop,260
Alternative,255
Metal,230
Alternative a Punk/Alternative/Alternative Rock,203
Alternative Rock,203
Indie Rock,145
European Pop,124
Other,111
Pop/Western Pop/Pop Vocal,109
Pop Vocal,109
"",95
Adult Alternative Rock,90
Urban,90
Goth,88
Rap,84
Pop/European Pop/Eastern European Pop,82
Eastern European Pop,82
Pop/Western Pop/Adult Alternative Pop,78
Adult Alternative Pop,78
Electronica,76
Brit Rock,68
Alternative a Punk/Indie Rock/Indie Pop,65
Indie Pop,65
Rock/Metal/Power Metal,56
Power Metal,56
Traditional,56
Soul,51
Data a Other,46
Synth Pop,46
Rock/Adult Alternative Rock/Adult Alternative Rock,45
Alternative a Punk/Goth/Goth,44
70's Rock,43
Emo a Hardcore,41
Classical,41
Western Hip-Hop,40
Alternative a Punk/Alternative/Alternative Singer-Songwriter,39
Alternative Singer-Songwriter,39
Rock/Metal/Progressive Metal,38
Progressive Metal,38
Rock/Metal/Gothic Metal,37
Gothic Metal,37
New Wave Pop,34
Alternative a Punk/Brit Rock/Brit Rock,34
Alternative Folk,34
Contemporary RaB,33
Punk,32
Rock/Metal/Heavy Metal,28
Heavy Metal,28
Alternative a Punk/Emo a Hardcore/Emo,27
Emo,27
Electronica Mainstream,27
Pop/Japanese Pop/J-Pop,27
J-Pop,27
Japanese Pop,27
Hard Rock,26
Other Classical,26
Alternative a Punk/Punk/Pop Punk,25
Pop Punk,25
Pop/European Pop/French Pop,24
French Pop,24
Other/Data a Other/Data a Other,23
Electronica/Electronica Mainstream/Pop Electronica,23
Pop Electronica,23
Alternative a Punk/Synth Pop/Synth Pop,23
Religious,22
Rock/Hard Rock/General Hard Rock,22
General Hard Rock,22
Alternative a Punk/Indie Rock/General Indie Rock,22
General Indie Rock,22
Soundtrack,21
Rock/Metal/Nu-Metal,21
Nu-Metal,21
Pop/Western Pop/Adult Contemporary,21
Adult Contemporary,21
Folk,20
Alternative a Punk/Indie Rock/Post-Punk Revival,20
Post-Punk Revival,20
Classical/Other Classical/General Classical,19
General Classical,19
Other/Meditative a Space/Meditative,17
Meditative,17
Meditative a Space,17
Rock/70's Rock/Classic Pop-Rock,17
Classic Pop-Rock,17
Pop/Western Pop/Dance Pop,17
Dance Pop,17
Alternative a Punk/New Wave Pop/New Wave Pop,17
Alternative a Punk/Alternative Folk/Alternative Folk,17
Trance,16
Electronica/Dance a Club/Club Dance,16
Club Dance,16
Dance a Club,16
Traditional/Folk/Traditional U.S. Folk,16
Traditional U.S. Folk,16
TV Music,16
Original Film,16
60's Rock,16
Rock/Metal/Rap Metal,16
Rap Metal,16
Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,15
General Hip-Hop,15
Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,15
European Hip-Hop,15
Folk Rock,15
Soundtrack/Original Film/TV Music/General Film Music,15
General Film Music,15
Traditional/Other Traditions/General World,15
General World,15
Other Traditions,15
Classic RaB,15
Alternative a Punk/Emo a Hardcore/Hardcore,14
Hardcore,14
Rock/Folk Rock/General Folk Rock,13
General Folk Rock,13
Other/Children's/General Children's Music,12
General Children's Music,12
Children's,12
Industrial,12
Alternative a Punk/Indie Rock/Post-Modern Electronic Pop,12
Post-Modern Electronic Pop,12
Classical Crossover,12
Garage Rock Revival,12
New Age,12
Rock/70's Rock/Classic Rock,12
Classic Rock,12
Brit Pop,12
House,12
Urban/Contemporary RaB/Soul/Urban Crossover,11
Urban Crossover,11
Comedy,10
Rock/Metal/Pop Metal,10
Pop Metal,10
Rock/70's Rock/Classic Hard Rock,10
Classic Hard Rock,10
Pop/European Pop/Euro Pop,10
Euro Pop,10
Rock/Metal/Classic British Metal,9
Classic British Metal,9
Spoken Word,9
