mood,count
"",276
Defiant,258
Brooding,241
Defiant/Heavy Brooding,224
Heavy Brooding,224
Urgent,205
Yearning,182
Empowering,161
Yearning/Energetic Yearning,128
Energetic Yearning,128
 Romantic,120
Urgent/Energetic Anxious,113
Energetic Anxious,113
Sophisticated,109
Brooding/Energetic Melancholy,98
Energetic Melancholy,98
Sophisticated/Smoky / Romantic,97
Smoky ,97
Aggressive,93
Gritty,89
Rowdy,79
Excited,77
Brooding/Dreamy Brooding,72
Dreamy Brooding,72
Melancholy,71
Empowering/Powerful / Heroic,67
 Heroic,67
Powerful ,67
Sensual,60
Energizing,59
Empowering/Dramatic Emotion,58
Dramatic Emotion,58
Urgent/Dark Pop Intensity,58
Dark Pop Intensity,58
Romantic,56
Gritty/Strumming Yearning,49
Strumming Yearning,49
Cool,48
Aggressive/Heavy Triumphant,46
Heavy Triumphant,46
 Soulful,42
Fiery,42
Brooding/Evocative / Intriguing,39
 Intriguing,39
Evocative ,39
Rowdy/Confident / Tough,35
 Tough,35
Confident ,35
Excited/Euphoric Energy,34
Euphoric Energy,34
Energizing/Edgy / Sexy,34
 Sexy,34
Edgy ,34
 Sincere,32
Brooding/Alienated / Brooding,32
 Brooding,32
Alienated ,32
Gritty/Sober / Determined,31
 Determined,31
Sober ,31
Excited/Upbeat Pop Groove,30
Upbeat Pop Groove,30
Yearning/Sensitive / Exploring,30
 Exploring,30
Sensitive ,30
 Defiant,30
Sentimental,28
Urgent/Dark Pop,27
Dark Pop,27
Upbeat,27
Rowdy/Driving Dark Groove,26
Driving Dark Groove,26
Melancholy/Wistful / Forlorn,26
 Forlorn,26
Wistful ,26
Aggressive/Dark Hard Beat,25
Dark Hard Beat,25
Melancholy/Sad / Soulful,23
Sad ,23
Lively,23
Romantic/Heartfelt Passion,21
Heartfelt Passion,21
Melancholy/Light Melancholy,21
Light Melancholy,21
Cool/Wary / Defiant,21
Wary ,21
Fiery/Fiery Groove,21
Fiery Groove,21
Sentimental/Tender / Sincere,20
Tender ,20
Sensual/Intimate,20
Intimate,20
Empowering/Idealistic / Stirring,20
 Stirring,20
Idealistic ,20
Romantic/Dramatic / Romantic,19
Dramatic ,19
Sensual/Dreamy Pulse,19
Dreamy Pulse,19
Fiery/Passionate Rhythm,18
Passionate Rhythm,18
Aggressive/Aggressive Power,18
Aggressive Power,18
Empowering/Strong / Stable,16
 Stable,16
Strong ,16
Other,15
Other,15
Somber,15
Rowdy/Ramshackle / Rollicking,14
 Rollicking,14
Ramshackle ,14
Cool/Dark Groovy,14
Dark Groovy,14
Defiant/Hard Dark Excitement,13
Hard Dark Excitement,13
Easygoing,13
Lively/Showy / Rousing,12
 Rousing,12
Showy ,12
Romantic/Sweet / Sincere,12
Sweet ,12
Defiant/Hard Positive Excitement,12
Hard Positive Excitement,12
Yearning/Energetic Dreamy,12
Energetic Dreamy,12
Yearning/Bittersweet Pop,12
Bittersweet Pop,12
Serious,11
Energizing/Arousing Groove,11
Arousing Groove,11
Sensual/Soft Soulful,11
Soft Soulful,11
Peaceful,10
Sophisticated/Suave / Sultry,10
 Sultry,10
Suave ,10
Sensual/Sensual Groove,10
Sensual Groove,10
Easygoing/Friendly,9
Friendly,9
Tender,9
Defiant/Attitude / Defiant,9
Attitude ,9
Upbeat/Happy / Soulful,9
Happy ,9
Somber/Enigmatic / Mysterious,9
 Mysterious,9
Enigmatic ,9
Energizing/Heavy Beat,8
Heavy Beat,8
Upbeat/Carefree Pop,8
Carefree Pop,8
 Easygoing,8
Excited/Loud Celebratory,8
Loud Celebratory,8
Gritty/Gritty / Soulful,7
Gritty ,7
Serious/Thrilling,7
Thrilling,7
Urgent/Dark Urgent,7
Dark Urgent,7
Cool/Casual Groove,7
Casual Groove,7
Cool/Cool Confidence,6
Cool Confidence,6
Energizing/Abstract Beat,6
Abstract Beat,6
Lively/Lusty / Jaunty,6
 Jaunty,6
Lusty ,6
Sentimental/Gentle Bittersweet,6
Gentle Bittersweet,6
Upbeat/Soulful / Easygoing,5
Soulful ,5
Peaceful/Pastoral / Serene,5
 Serene,5
Pastoral ,5
Lively/Playful / Swingin',5
 Swingin',5
Playful ,5
Excited/Happy Excitement,5
Happy Excitement,5
Upbeat/Party / Fun,5
 Fun,5
Party ,5
Tender/Refined / Mannered,4
 Mannered,4
Refined ,4
Stirring,4
Romantic/Lush / Romantic,4
Lush ,4
Rowdy/Wild / Rowdy,4
 Rowdy,4
Wild ,4
Aggressive/Chaotic / Intense,4
 Intense,4
Chaotic ,4
Somber/Solemn / Spiritual,3
 Spiritual,3
Solemn ,3
Tender/Romantic / Lyrical,3
 Lyrical,3
Romantic ,3
Stirring/Jubilant / Soulful,3
Jubilant ,3
