id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
177855806,Олександр Пономарьов,Спи собі сама,Я люблю тільки тебе,"",2006,Pop/European Pop/Euro Pop,Sophisticated/Smoky / Romantic,Medium Tempo/Medium/80s
118858285,Олександр Пономарьов,Молитва,Перша І Остання Любов,"",1998,Pop/Western Pop/Pop Vocal,Sophisticated/Smoky / Romantic,Slow Tempo/Very Slow/30s
118858269,Олександр Пономарьов,Перша І Остання Любов,Краще,"",2004,Pop/Western Pop/Pop Vocal,Sophisticated/Smoky / Romantic,Slow Tempo/Very Slow/30s
118857849,Олександр Пономарьов,198000 Раз,Краще,"",2004,Pop/Western Pop/Pop Vocal,Lively/Lusty / Jaunty,Medium Tempo/Medium/80s
118857843,Олександр Пономарьов,Я твій Дід Мороз,Ніченькою,"",2007,Pop/Western Pop/Pop Vocal,Upbeat/Party / Fun,Fast Tempo/Fast/150s
118857728,Олександр Пономарьов,Човен,Краще,"",2004,Pop/Western Pop/Pop Vocal,Sophisticated/Smoky / Romantic,Medium Tempo/Medium/60s
118857548,Олександр Пономарьов,Минає День,Він,"",2001,Pop/Western Pop/Pop Vocal,"",""
118857444,Олександр Пономарьов,З Ранку До Ночі,Краще,"",2004,Pop/Western Pop/Pop Vocal,Sophisticated/Smoky / Romantic,Slow Tempo/Very Slow/30s
118857413,Олександр Пономарьов,Зіронька,Краще,"",2004,Pop/Western Pop/Pop Vocal,Sensual/Soft Soulful,Slow Tempo/Slow/40s
118857370,Олександр Пономарьов,Минає День,Він,"",2001,Pop/Western Pop/Pop Vocal,"",""
118857367,Олександр Пономарьов,Спи собі сама,Я люблю тільки тебе,"",2006,Pop/European Pop/Euro Pop,Sophisticated/Smoky / Romantic,Medium Tempo/Medium/80s
118857339,Олександр Пономарьов,Я не такий,Ніченькою,"",2007,Pop/Western Pop/Pop Vocal,Sophisticated/Smoky / Romantic,Slow Tempo/Very Slow/30s
118857323,Олександр Пономарьов,Чомусь Так Гірко Плакала Вона,Краще,"",2004,Pop/Western Pop/Pop Vocal,Sophisticated/Smoky / Romantic,Medium Tempo/Medium/70s
118857314,Олександр Пономарьов,Ніченькою темною,Ніченькою,"",2007,Pop/Western Pop/Pop Vocal,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
118857286,Олександр Пономарьов,Я не такий,Ніченькою,"",2007,Pop/Western Pop/Pop Vocal,Sophisticated/Smoky / Romantic,Slow Tempo/Very Slow/30s
118857081,Олександр Пономарьов,А ти просто кохай,Ніченькою,"",2007,Pop/Western Pop/Pop Vocal,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/120s
118856833,Олександр Пономарьов,Серце,Я люблю тільки тебе,"",2006,Pop/European Pop/Euro Pop,Sophisticated/Smoky / Romantic,Slow Tempo/Very Slow/30s
118856681,Олександр Пономарьов,Я люблю тільки тебе,Я люблю тільки тебе,"",2006,Pop/European Pop/Euro Pop,Sophisticated/Smoky / Romantic,Medium Tempo/Medium Slow/60s
