id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
394793837,С.К.А.Й.,Край неба,Край неба,Male/Male Group,0,Rock/Mainstream Rock/General Mainstream Rock,"",""
291742421,С.К.А.Й.,Небо В Твоїх Очах,Те Що Треба,Male/Male Group,2006,"",Yearning/Energetic Yearning,Medium Tempo/Medium Fast/100s
237316871,С.К.А.Й.,Поки живе любов,Край неба,Male/Male Group,0,"","",""
201987712,С.К.А.Й.,Ти сподобалась мені,Край неба,Male/Male Group,0,"","",""
195016583,С.К.А.Й.,Те Що Треба,Те Що Треба,Male/Male Group,2006,Rock/Mainstream Rock/General Mainstream Rock,Yearning/Energetic Yearning,Medium Tempo/Medium/70s
195014858,С.К.А.Й.,Зникаю,Те Що Треба,Male/Male Group,2006,"",Empowering/Strong / Stable,Medium Tempo/Medium Slow/60s
193705768,С.К.А.Й.,Дівчина в білому,Планета С.К.А.Й.,Male/Male Group,2007,Rock/Mainstream Rock/General Mainstream Rock,Empowering/Dramatic Emotion,Medium Tempo/Medium/70s
184352331,С.К.А.Й.,Тебе Це Може Вбити,Те Що Треба,Male/Male Group,2006,"",Empowering/Strong / Stable,Medium Tempo/Medium/60s
184311681,С.К.А.Й.,Z Mene Dosyt' (З Мене Досить),!,Male/Male Group,2010,"",Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/100s
157715263,С.К.А.Й.,Струна,Край неба,Male/Male Group,0,Rock/Mainstream Rock/General Mainstream Rock,"",""
118858480,С.К.А.Й.,Тебе Це Може Вбити,Те Що Треба,Male/Male Group,2006,Rock/Mainstream Rock/General Mainstream Rock,Empowering/Strong / Stable,Medium Tempo/Medium/60s
118858465,С.К.А.Й.,Best друг,Планета С.К.А.Й.,Male/Male Group,2007,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Energetic Melancholy,Fast Tempo/Fast/140s
