id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239047,Queen,Don't Stop Me Now,Jazz,Male/Male Group,1978,Rock/70's Rock/Classic Rock,Excited/Loud Celebratory,Fast Tempo/Fast/150s
456239046,Queen,I Want To Break Free,Live At Wembley '86 [Disc 1],Male/Male Group,1992,Rock/70's Rock/Classic Rock,Excited/Loud Celebratory,Medium Tempo/Medium Fast/110s
456239044,Led Zeppelin,Whole Lotta Love,Led Zeppelin II,Male/Male Group,1969,Rock/70's Rock/Classic Hard Rock,Aggressive/Aggressive Power,Medium Tempo/Medium/80s
456239034,Dire Straits,Money For Nothing,Brothers In Arms,Male/Male Group,1985,Rock/70's Rock/Classic Rock,Urgent/Dark Pop,Fast Tempo/Fast/130s
441529823,Kansas,Dust In The Wind,Point Of Know Return,Male/Male Group,1977,Rock/70's Rock/Classic Rock,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/60s
423073374,Bonnie Tyler,If You Were A Woman (And I Was A Man),Secret Dreams And Forbidden Fire,Female/Female,1986,Rock/70's Rock/Classic Pop-Rock,Urgent/Dark Pop,Medium Tempo/Medium Fast/120s
421805313,Queen,The Night Comes Down [De Lane Lea Demo December 1971],Queen [Disc 2],Male/Male Group,2011,Rock/70's Rock/Classic Rock,Sensual/Soft Soulful,Medium Tempo/Medium/70s
387644347,Michael Jackson,The Girl Is Mine,Thriller,Male/Male Duo,1982,Rock/70's Rock/Classic Pop-Rock,Sensual/Sensual Groove,Slow Tempo/Slow/40s
387150457,The Beach Boys,California Dreaming,The Platinum Collection (Sounds Of Summer Edition) [Disc 3],Male/Male Group,2005,Rock/70's Rock/Classic Pop-Rock,Urgent/Dark Pop,Medium Tempo/Medium Fast/110s
384911073,Journey,Separate Ways (Worlds Apart),Frontiers,Male/Male Group,1983,Rock/70's Rock/Classic Rock,Rowdy/Confident / Tough,Fast Tempo/Fast/130s
383020241,Smokie,Stumblin' In,Smokie-1990-Golden Stars,Male/Male Group,0,Rock/70's Rock/Classic Pop-Rock,Cool/Casual Groove,Medium Tempo/Medium/60s
383012782,Various Artists,Eurithmics - Sweet Dreams,The Power Of Rock,"",0,Rock/70's Rock/Classic Rock,"",""
375516605,Mike Oldfield,Evacuation (Remastered 2015 / Single Edit / Bonus Track),The Killing Fields (Original Motion Picture Soundtrack / Remastered 2015),Male/Male,2016,Rock/70's Rock/Classic Prog,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
374709106,Journey,Don't Stop Believin',Escape,Male/Male Group,1981,Rock/70's Rock/Classic Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/120s
371435642,Queen a David Bowie,Under Pressure (Rax mix) (radio edit),Under Pressure [Single],Male/Male Group,0,Rock/70's Rock/Classic Rock,"",""
364135074,Norman Greenbaum,Spirit In The Sky,Spirit In The Sky,Male/Male,1969,Rock/70's Rock/Classic Pop-Rock,Lively/Lusty / Jaunty,Medium Tempo/Medium Fast/120s
364134921,Redbone,Come And Get Your Love,Wovoka,Male/Male Group,2015,Rock/70's Rock/Classic Pop-Rock,Easygoing/Charming / Easygoing,Medium Tempo/Medium Fast/100s
336868772,Roxette,Real Sugar,Room Service,Mixed/Mixed Duo,2001,Rock/70's Rock/Classic Pop-Rock,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/120s
335890301,Различные Исполнители,Дела Людей Которые Были До Нас,Рок Сейшн,"",1999,Rock/70's Rock/Classic Pop-Rock,Sensual/Sensual Groove,Medium Tempo/Medium/70s
330569711,Joe Cocker,Unforgiven,One Night of Sin,Male/Male,1989,Rock/70's Rock/Classic Pop-Rock,Romantic/Sweet / Sincere,Medium Tempo/Medium Slow/60s
327310978,Aerosmith,Dream On,A Little South Of Sanity [Live] [Disc 2],Male/Male Group,1998,Rock/70's Rock/Classic Hard Rock,Brooding/Dreamy Brooding,Slow Tempo/Very Slow/30s
327310954,Aerosmith,Livin' On The Edge,Get A Grip,Male/Male Group,1993,Rock/70's Rock/Classic Hard Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/80s
323509727,Boston,Let Me Take You Home Tonight,Boston,Male/Male Group,1976,Rock/70's Rock/Classic Rock,Empowering/Idealistic / Stirring,Medium Tempo/Medium/70s
313652075,Aerosmith,Come Together,Live! Bootleg,Male/Male Group,1978,Rock/70's Rock/Classic Hard Rock,Rowdy/Confident / Tough,Medium Tempo/Medium/80s
284141249,Eagles,Hotel California,Hell Freezes Over [Live],Male/Male Group,1994,Rock/70's Rock/Country Rock,Sensual/Sensual Groove,Medium Tempo/Medium/70s
215504504,Безодня,Скелі,Не Мовчи!,"",2008,Rock/70's Rock/Classic Pop-Rock,"",""
215504462,Безодня,Навіщо?,Не Мовчи!,"",2008,Rock/70's Rock/Classic Pop-Rock,"",""
209971868,Rosa Marena,Квітка з каменя,Мініатюри,"",2006,Rock/70's Rock/Classic Pop-Rock,"",""
209971592,Rosa Marena,Місто,Мініатюри,"",2006,Rock/70's Rock/Classic Pop-Rock,"",""
209252661,Оркестр Че,Икар,Золотой миллениум,"",0,Rock/70's Rock/Art Rock,"",""
209245856,Roxette,How Do You Do!,Tourism (Songs From Studios Stages Hotelrooms a Other Strange Places) [Live],Mixed/Mixed Duo,1992,Rock/70's Rock/Classic Pop-Rock,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/120s
