id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239138,The Neighbourhood,Sweater Weather,I Love You.,Male/Male Group,2013,Alternative a Punk/Indie Rock/Indie Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
456239137,The Kooks,Seaside,Inside In/Inside Out,Male/Male Group,2006,Alternative a Punk/Indie Rock/Indie Pop,Sentimental/Gentle Bittersweet,Medium Tempo/Medium/60s
456239037,Woodkid,Run Boy Run,The Golden Age,Male/Male,2013,Alternative a Punk/Indie Rock/Indie Pop,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
414085376,The Kooks,Ooh La,Inside In/Inside Out,Male/Male Group,2006,Alternative a Punk/Indie Rock/Indie Pop,Urgent/Energetic Anxious,Fast Tempo/Fast/150s
411465192,Hurts,Devotion,Happiness,Mixed/Mixed Group,2010,Alternative a Punk/Indie Rock/Indie Pop,Urgent/Energetic Anxious,Medium Tempo/Medium/70s
410910362,The Neighbourhood,Flawless,I Love You.,Male/Male Group,2013,Alternative a Punk/Indie Rock/Indie Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
385738508,Revolver,Leave Me Alone,Music For A While,Male/Male Group,2009,Alternative a Punk/Indie Rock/Indie Pop,Sentimental/Gentle Bittersweet,Medium Tempo/Medium/70s
383024488,Revolver,Get Around Town,Music For A While,Male/Male Group,2009,Alternative a Punk/Indie Rock/Indie Pop,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/90s
366608642,The World/Inferno Friendship Society,My Ancestral Homeland New Jersey,Just The Best Party,Mixed/Mixed Group,2002,Alternative a Punk/Indie Rock/Indie Pop,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
360088085,Foster The People,Pumped Up Kicks,Torches,Male/Male Group,2011,Alternative a Punk/Indie Rock/Indie Pop,Yearning/Sensitive / Exploring,Medium Tempo/Medium Slow/60s
352413067,The Maneken,Keep Moving On,Keep Moving On,Male/Male,2014,Alternative a Punk/Indie Rock/Indie Pop,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
348577067,Dead Man's Bones,Pa Pa Power,Dead Man's Bones,Male/Male Duo,2009,Alternative a Punk/Indie Rock/Indie Pop,Melancholy/Light Melancholy,Medium Tempo/Medium/70s
336870532,The Neighbourhood,Female Robbery,I Love You.,Male/Male Group,2013,Alternative a Punk/Indie Rock/Indie Pop,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
336870249,Velojet,I Follow My Heart,This Quiet Town,Mixed/Mixed Group,2007,Alternative a Punk/Indie Rock/Indie Pop,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
335910293,The Maneken,Magic Of The Moment,PORTRAIT,Male/Male,2014,Alternative a Punk/Indie Rock/Indie Pop,Fiery/Fiery Groove,Medium Tempo/Medium Fast/100s
261355129,VETO,Turing Machine,Point Break,Male/Male Group,2013,Alternative a Punk/Indie Rock/Indie Pop,Sensual/Dreamy Pulse,Medium Tempo/Medium/60s
256265432,Now 45 That's What I Call Music,Anna Sun,Purchased,"",2013,Alternative a Punk/Indie Rock/Indie Pop,"",""
252503090,Hadouken!,Levitate,Every Weekend,Mixed/Mixed Group,2013,Alternative a Punk/Indie Rock/Indie Pop,Urgent/Dark Pop,Fast Tempo/Fast/130s
