id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239147,Duran Duran,Come Undone,Duran Duran (The Wedding Album),Male/Male Group,1993,Alternative a Punk/New Romantic/New Romantic,Sensual/Sensual Groove,Slow Tempo/Slow/40s
456239139,Paper Route,Real Emotion,Real Emotion,Male/Male Group,2016,Alternative a Punk/Synth Pop/Synth Pop,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
456239138,The Neighbourhood,Sweater Weather,I Love You.,Male/Male Group,2013,Alternative a Punk/Indie Rock/Indie Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
456239137,The Kooks,Seaside,Inside In/Inside Out,Male/Male Group,2006,Alternative a Punk/Indie Rock/Indie Pop,Sentimental/Gentle Bittersweet,Medium Tempo/Medium/60s
456239134,Echo a The Bunnymen,Lost On You,What Are You Going To Do With Your Life?,Male/Male Group,1999,Alternative a Punk/Indie Rock/Original Post-Punk,Empowering/Powerful / Heroic,Medium Tempo/Medium Slow/60s
456239128,Tom Rosenthal,Go Solo,Go Solo,Male/Male,2014,Alternative a Punk/Alternative Folk/Alternative Folk,Melancholy/Wistful / Forlorn,Slow Tempo/Slow/40s
456239127,Urge Overkill,Girl You'll Be A Woman Soon,Stull [EP],Male/Male Group,1992,Alternative a Punk/Alternative/Alternative Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/110s
456239118,Poets Of The Fall,Drama For Life,Clearview,Male/Male Group,2016,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
456239116,Red Hot Chili Peppers,Road Trippin',Californication,Male/Male Group,1999,Alternative a Punk/Alternative/Alternative Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/90s
456239114,Poets Of The Fall,Daze,Jealous Gods,Male/Male Group,2014,Alternative a Punk/Alternative/Alternative Rock,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/110s
456239108,Depeche Mode,I Feel You,Songs Of Faith And Devotion,Male/Male Group,1993,Alternative a Punk/Synth Pop/Synth Pop,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/120s
456239106,No Doubt,Don't Speak,Tragic Kingdom,Mixed/Mixed Group,1995,Alternative a Punk/Alternative/Alternative Pop,Brooding/Evocative / Intriguing,Medium Tempo/Medium/70s
456239101,Franz Ferdinand,Love Illumination,Right Thoughts Right Words Right Action,Male/Male Group,2013,Alternative a Punk/Indie Rock/Post-Punk Revival,Rowdy/Confident / Tough,Medium Tempo/Medium/70s
456239095,The Birthday Massacre,Goodnight,Walking With Strangers,Mixed/Mixed Group,2007,Alternative a Punk/Goth/Goth,Excited/Euphoric Energy,Medium Tempo/Medium Fast/100s
456239094,Muse,Intro,Absolution,Male/Male Group,2003,Alternative a Punk/Alternative/Alternative Rock,Defiant/Attitude / Defiant,Medium Tempo/Medium/70s
456239092,Muse,Undisclosed Desires,The Resistance,Male/Male Group,2009,Alternative a Punk/Alternative/Alternative Rock,Sensual/Intimate,Medium Tempo/Medium Slow/50s
456239091,Panic! At The Disco,Nicotine,Too Weird To Live Too Rare To Die!,Male/Male Group,2013,Alternative a Punk/Punk/Pop Punk,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
456239089,OQJAV,Чердак,Марта,"",2016,Alternative a Punk/Indie Rock/General Indie Rock,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/110s
456239088,OQJAV,Джек,Окуджав,"",2014,Alternative a Punk/Indie Rock/General Indie Rock,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/100s
456239087,Oasis,Wonderwall,(What's The Story) Morning Glory?,Male/Male Group,1995,Alternative a Punk/Brit Pop/Brit Pop,Empowering/Idealistic / Stirring,Medium Tempo/Medium/80s
456239081,Meg Myers,Poison,Daughter In The Choir,Female/Female,2013,Alternative a Punk/Alternative/Alternative Singer-Songwriter,"",""
456239077,Mutemath,You Are Mine,Mutemath,Male/Male Group,2006,Alternative a Punk/Alternative/Alternative Rock,Melancholy/Light Melancholy,Medium Tempo/Medium/70s
456239076,Duran Duran,Ordinary World,Duran Duran (The Wedding Album),Male/Male Group,1993,Alternative a Punk/New Romantic/New Romantic,Yearning/Energetic Dreamy,Medium Tempo/Medium/70s
456239071,White Town,Your Woman,Women In Technology,Male/Male,1997,Alternative a Punk/Alternative/Alternative Dance,Cool/Dark Groovy,Medium Tempo/Medium Fast/100s
456239070,Everlast,Lonely Road,White Trash Beautiful,Male/Male,2004,Alternative a Punk/Alternative/Alternative Rock,Cool/Wary / Defiant,Medium Tempo/Medium/80s
