id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239146,Amy Winehouse,Valerie (Original),Back To Black (Deluxe edition),Female/Female,0,Urban/Classic RaB/Soul/RaB/Soul,Fiery/Fiery Groove,Medium Tempo/Medium Fast/100s
456239043,Jamie N Commons,Worth Your While,Rumble And Sway EP,Male/Male,2013,Urban/Classic RaB/Soul/RaB/Soul,Rowdy/Driving Dark Groove,Medium Tempo/Medium/70s
345052059,Prince,Kiss,The Hits/The B-Sides [Disc 2],Mixed/Mixed Group,1993,Urban/Classic RaB/Soul/Funk,Energizing/Arousing Groove,Medium Tempo/Medium Fast/110s
328475425,The Neighbourhood,Honest,Honest,Mixed/Mixed Group,2014,Urban/Classic RaB/Soul/Funk,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/60s
328096754,Latimore,You've Still Got The Touch,You're Welcome To Ride,Male/Male,2000,Urban/Classic RaB/Soul/Deep Soul,Romantic/Sweet / Sincere,Medium Tempo/Medium Slow/50s
281304652,羅志祥,Twinkle,SPESHOW,Mixed/Mixed Duo,2007,Urban/Classic RaB/Soul/Classic Soul,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/120s
276588867,Kool a The Gang,Джоанна (feat. Blazin 'Squad),Лучший из Kool a The Gang,Male/Male Group,2014,Urban/Classic RaB/Soul/Funk,Excited/Euphoric Energy,Medium Tempo/Medium Fast/100s
256266032,Marvin Gaye,Together We Stand (Divided We Fall),The Master 1961-1984 [Disc 2],Male/Male,1995,Urban/Classic RaB/Soul/Classic Soul,Upbeat/Soulful / Easygoing,Medium Tempo/Medium Fast/100s
210602478,Guru Groove Foundation,Call Me Up,Call Me Up,Mixed/Mixed Group,2013,Urban/Classic RaB/Soul/RaB/Soul,Fiery/Fiery Groove,Medium Tempo/Medium Fast/120s
210602477,Guru Groove Foundation,Golden Love [Mr. Frenkie Radio Edit],Golden Love (Mr. Frenkie Remix),Mixed/Mixed Group,2015,Urban/Classic RaB/Soul/RaB/Soul,Excited/Euphoric Energy,Fast Tempo/Fast/170s
210602468,Guru Groove Foundation,Tame,Call Me Up,Mixed/Mixed Group,2013,Urban/Classic RaB/Soul/RaB/Soul,Yearning/Energetic Yearning,Medium Tempo/Medium/80s
196114672,Leslie Clio,God No More,Gladys,Female/Female,2013,Urban/Classic RaB/Soul/RaB/Soul,Yearning/Energetic Yearning,Medium Tempo/Medium Fast/110s
189787565,The Gap Band,Burn Rubber (Why You Wanna Hurt Me) (Original 12'/Full-Length LP Version),Funk Essentials: The 12' Collection a More,Male/Male Group,1999,Urban/Classic RaB/Soul/Funk,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/110s
181472508,James Brown,I Feel Good,The Gold Collection [Disc 2],Male/Male,1998,Urban/Classic RaB/Soul/Funk,Aggressive/Aggressive Power,Medium Tempo/Medium/80s
177855789,John Legend a The Roots,Humanity (Love The Way It Should Be),Wake Up!,Male/Male Group,2010,Urban/Classic RaB/Soul/RaB/Soul,Excited/Euphoric Energy,Fast Tempo/Fast/130s
