id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
394072900,Charlotte Church,The Coventry Carol - Lully Lullay,Dream A Dream (UK/International Version),Female/Female,1999,Classical/Classical Crossover/Classical Crossover Vocal,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
368070152,Il Volo,Grande Amore,Sanremo Grande Amore,Male/Male Group,2015,Classical/Classical Crossover/Classical Crossover Vocal,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
366416714,2CELLOS,Shape of My Heart,Celloverse,Male/Male Duo,2015,Classical/Classical Crossover/Classical Crossover Instrumental,Melancholy/Light Melancholy,Slow Tempo/Slow/40s
366416139,2CELLOS,Highway To Hell,In2ition,Male/Male Group,2012,Classical/Classical Crossover/Classical Crossover Instrumental,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/120s
366416044,2CELLOS,Californication,In2ition,Male/Male Duo,2012,Classical/Classical Crossover/Classical Crossover Instrumental,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/60s
366414880,2CELLOS,They Don't Care About Us,Celloverse,Male/Male Duo,2015,Classical/Classical Crossover/Classical Crossover Instrumental,Fiery/Fiery Groove,Medium Tempo/Medium Fast/90s
364232655,The Piano Guys,Titanium Pavane,The Piano Guys,Male/Male Duo,2012,Classical/Classical Crossover/Classical Crossover Instrumental,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
319682976,Secret Garden,Passacaglia,White Stones,Mixed/Mixed Duo,1997,Classical/Classical Crossover/Classical Crossover Instrumental,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/60s
212780192,Josh Groban,With You,With You,Male/Male,2006,Classical/Classical Crossover/Classical Crossover Vocal,Sophisticated/Smoky / Romantic,Medium Tempo/Medium Slow/50s
200005225,Edvin Marton,Fireworks,Stradivarius,Male/Male,2007,Classical/Classical Crossover/Classical Crossover Instrumental,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
200004483,Drew Tretick,Phantom of the Opera (Instrumental Medley: Andrew Lloyd Webber) [feat. Kirk Trevor a the Slovak National Symphony Orchestra],A Summer Serenade,Male/Male,2012,Classical/Classical Crossover/Classical Crossover Instrumental,Peaceful/Pastoral / Serene,Medium Tempo/Medium/60s
177968722,Josh Groban,Silent Night,Noël,Male/Male,2007,Classical/Classical Crossover/Classical Crossover Vocal,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
