id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239105,Один в каное,Демони,Один в каное,"",2016,Other/Data a Other/Data a Other,"",""
433603688,Один в каное,Стіни,Один в каное,"",2016,Other/Data a Other/Data a Other,"",""
403440558,Один в каное,Шахи,Один в каное,"",2016,Other/Data a Other/Data a Other,"",""
402575134,Один в каное,Маленький хлопчик,Один в каное,"",2016,Other/Data a Other/Data a Other,"",""
396142027,Hotel FM,Change,Change (Promo),"",0,Other/Data a Other/Data a Other,"",""
380210060,Один в каное,Лю,Один в каное,"",2016,Other/Data a Other/Data a Other,"",""
364913207,Один в каное,Човен,Один в каное,"",2016,Other/Data a Other/Data a Other,"",""
364562327,Один в каное,Коти,Один в каное,"",2016,Other/Data a Other/Data a Other,"",""
336632638,МОТОР'РОЛЛА,8-Ий Колір,…Шо Кому Не Ясно?,"",2005,Other/Data a Other/Data a Other,"",""
324718792,The Giant Leap,Somebody Else,Another Day Rising,"",2007,Other/Data a Other/Data a Other,Empowering/Powerful / Heroic,Medium Tempo/Medium/60s
291733103,Semargl,Poison,Love,"",2014,Other/Data a Other/Data a Other,Excited/Euphoric Energy,Fast Tempo/Fast/130s
249151296,Дикі серцем,Любив Любитиму,Без Зайвих Слів,"",2013,Other/Data a Other/Data a Other,"",""
249151254,Дикі серцем,Без Зайвих Слів,Без Зайвих Слів,"",2013,Other/Data a Other/Data a Other,"",""
242929052,Один в каное,Подобається як ти ідеш,Один в каное,"",2016,Other/Data a Other/Data a Other,"",""
242928967,Один в каное,Пообіцяй мені,Один в каное,"",2016,Other/Data a Other/Data a Other,"",""
242928853,Один в каное,Небо,Один в каное,"",2016,Other/Data a Other/Data a Other,"",""
217342617,The Third Barramundi Sampler,Quiet Light,The Third Barramundi Sampler,"",1995,Other/Data a Other/Data a Other,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/60s
194402906,Kanada,Голова профессора доуэля,Сияние,"",2011,Other/Data a Other/Data a Other,"",""
193601097,Cee-Lo Green Brendon Urie [Of Panic At The Disco] Patrick Stump [Of Fall Out Boy] Janelle Monae a Travis McCoy [Of Gym Class Heroes],Open Happiness [Butch Walker Original Coke Mix],Open Happiness,"",2009,Other/Data a Other/Data a Other,"",""
184343160,Edit Piaf etc.,Padam.....Padam,Love Sound For You Vol. 2,"",0,Other/Data a Other/Data a Other,Romantic/Lush / Romantic,Medium Tempo/Medium/80s
177852037,Тнмк,Чашка,С.П.А.М.,"",2010,Other/Data a Other/Data a Other,"",""
143543543,Тнмк,Вода,Пожежі Міста Вавилон,"",0,Other/Data a Other/Data a Other,"",""
137148984,Любимые Шлягеры Из 80-Х,Синий Иней,Любимые Шлягеры Из 80-Х,"",0,Other/Data a Other/Data a Other,Fiery/Fiery Groove,Medium Tempo/Medium Fast/120s
