id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239132,Chlöe Howl,Bad Dream,Bad Dream [Single],Female/Female,2015,Electronica/Electronica Mainstream/Pop Electronica,"",""
456239131,Chlöe Howl,Rumour,Rumour,Female/Female,2014,Electronica/Electronica Mainstream/Pop Electronica,Urgent/Dark Pop Intensity,Fast Tempo/Fast/150s
456239121,Moby,Slepping Away,Hotel,Male/Male,0,Electronica/Electronica Mainstream/Pop Electronica,Upbeat/Happy / Soulful,Medium Tempo/Medium Fast/110s
456239078,Stephen,Crossfire,Sincerely,Male/Male,2016,Electronica/Electronica Mainstream/Pop Electronica,Cool/Wary / Defiant,Medium Tempo/Medium/70s
456239039,Halsey,Castle,Badlands [Deluxe],Female/Female,2015,Electronica/Electronica Mainstream/Pop Electronica,Cool/Wary / Defiant,Medium Tempo/Medium/80s
456239036,Alex Clare,Too Close,The Lateness Of The Hour,Male/Male,2012,Electronica/Electronica Mainstream/Pop Electronica,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/60s
440895402,The Hardkiss,Helpless,Helpless,Mixed/Mixed Group,2016,Electronica/Electronica Mainstream/Pop Electronica,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
438058320,Thomas Azier,Red Eyes,Hylas,Male/Male,2014,Electronica/Electronica Mainstream/Pop Electronica,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/100s
397664375,Lana Del Rey,West Coast,Ultraviolence,Female/Female,2014,Electronica/Electronica Mainstream/Pop Electronica,Yearning/Energetic Yearning,Medium Tempo/Medium Slow/60s
386828908,Lana Del Rey,High By The Beach,Honeymoon,Female/Female,2015,Electronica/Electronica Mainstream/Pop Electronica,Energizing/Abstract Beat,Fast Tempo/Fast/130s
310752259,Moby,Lift Me Up,Hotel [Disc 1],Male/Male,2005,Electronica/Electronica Mainstream/Pop Electronica,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
299394834,iamamiwhoami,Fountain,Blue,Female/Female,2014,Electronica/Electronica Mainstream/Pop Electronica,Yearning/Energetic Dreamy,Medium Tempo/Medium Fast/90s
295575326,Glenn Morrison Feat. Islove,Goodbye [Radio Edit],Goodbye [Single],Male/Male Duo,2013,Electronica/Electronica Mainstream/Pop Electronica,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/120s
266968455,Ellie Goulding,Wish I Stayed,Bright Lights,Female/Female,2010,Electronica/Electronica Mainstream/Pop Electronica,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/100s
246785298,JMSN,Love a Pain (Ta-Ku Remix),Love a Pain [Remix EP],Male/Male,2013,Electronica/Electronica Mainstream/Pop Electronica,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/120s
241818153,Empire Of The Sun,Concert Pitch,Ice On The Dune,Male/Male Duo,2013,Electronica/Electronica Mainstream/Pop Electronica,Urgent/Dark Pop,Medium Tempo/Medium Fast/120s
209241930,Foxes,Youth,Glorious [Deluxe Edition],Female/Female,2014,Electronica/Electronica Mainstream/Pop Electronica,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/60s
196112902,Ólafur Arnalds,Say My Name (Featuring Arnór Dan),Late Night Tales: Ólafur Arnalds,Male/Male Duo,2016,Electronica/Electronica Mainstream/Pop Electronica,"",""
196065406,Moby Feat. Mylène Farmer,Slipping Away (Crier La Vie),Slipping Away (Crier la vie),Mixed/Mixed Duo,2013,Electronica/Electronica Mainstream/Pop Electronica,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/120s
193602795,FC Kahuna,Hayling,Machine Says Yes,Male/Male Duo,2002,Electronica/Electronica Mainstream/Big Beat,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
184346376,Fischerspooner,Never Win,Odyssey,Mixed/Mixed Group,2005,Electronica/Electronica Mainstream/Electroklash,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/110s
182356940,Ben Johnsick,Not Feeling Quite Right/Bodhisattva,So Now You Wanna' Dance To The Adhd?!,"",2016,Electronica/Electronica Mainstream/Pop Electronica,"",""
177856010,Groove Armada,Chicago,Vertigo,Male/Male Duo,1999,Electronica/Electronica Mainstream/Big Beat,Energizing/Heavy Beat,Medium Tempo/Medium Fast/120s
177848495,The Hardkiss,Babylon,Stones and Honey,Mixed/Mixed Group,2014,Electronica/Electronica Mainstream/Pop Electronica,Sophisticated/Smoky / Romantic,Medium Tempo/Medium/60s
177848424,The Hardkiss,Dance with Me,Stones and Honey,Mixed/Mixed Group,2014,Electronica/Electronica Mainstream/Pop Electronica,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/120s
177848342,The Hardkiss,Make-Up,Stones and Honey,Mixed/Mixed Group,2014,Electronica/Electronica Mainstream/Pop Electronica,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/100s
175878474,FC Kahuna,Hayling,Machine Says Yes,Male/Male Duo,2002,Electronica/Electronica Mainstream/Big Beat,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
