id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239129,Egor Grushin,Once,Once,"",2016,Classical/Other Classical/General Classical,Somber/Enigmatic / Mysterious,Medium Tempo/Medium/80s
403877287,Различные Исполнители,Паганини: Каприс № 15 ми минор,Паганини. Сонаты и каприсы,"",0,Classical/Other Classical/General Classical,Serious/Thrilling,Medium Tempo/Medium Fast/110s
399302734,Рихард Вагнер,"УВЕРТЮРА К ОПЕРЕ ""ТАНГЕЙЗЕР""",ФРАГМЕНТЫ ИЗ ОПЕР,"",2008,Classical/Other Classical/General Classical,Serious/Thrilling,Medium Tempo/Medium/80s
389680803,Caprice,To my sister,Sister simplicity,"",2004,Classical/Other Classical/General Classical,Romantic/Dramatic / Romantic,Medium Tempo/Medium/60s
346304799,Herbert Von Karajan: Berlin Philharmonic Orchestra,Grieg: Peer Gynt Suite #2 Op. 55 - 3. Peer Gynt's Return Home,Grieg: Peer Gynt Suites Sibelius: Valse Triste Etc.,Mixed/Mixed Group,1993,Classical/Other Classical/General Classical,Serious/Thrilling,Medium Tempo/Medium/60s
322804767,Marco Hietala,Varpunen Jouluaamuna,Varpunen Jouluaamuna,"",0,Classical/Other Classical/General Classical,"",""
309909224,Александр Мелик-Пашаев/Хор и оркестр Государственного академического Большого театра СССР,Действие второе. Где же ты женых мой?,Мусоргский: Борис Годунов,Male/Male Group,1962,Classical/Other Classical/General Classical,Tender/Refined / Mannered,Medium Tempo/Medium/70s
272629810,Symphony Orchestra of RGMC,Вступление из музыки к поэме Александра Пушкина Бахчисарайский фонтан (соч.46),Избранные страницы мировой музыкальной классики,"",2013,Classical/Other Classical/General Classical,"",""
269659061,Caprice,A red red rose,Sister simplicity,"",2004,Classical/Other Classical/General Classical,Empowering/Dramatic Emotion,Medium Tempo/Medium Slow/60s
253162270,Rumon Gamba: BBC Philharmonic Orchestra,633 Squadron - 633 Squadron: Main Theme,Goodwin: Film Music of Ron Goodwin,Mixed/Mixed Group,2004,Classical/Other Classical/General Classical,Serious/Thrilling,Medium Tempo/Medium Fast/90s
248931763,Various Artists,Водопад (Allegro),Малыш у реки,"",1999,Classical/Other Classical/General Classical,Other,Slow Tempo/Slow/40s
248191418,Pierre Boulez,Schoenberg: Pierrot Lunaire Op.21 (1912) - Part 2: 13. Enthauptung,Le Domaine Musical Vol. 2 [Disc 2],Male/Male,2006,Classical/Other Classical/General Classical,Serious/Serious / Cerebral,Medium Tempo/Medium Fast/90s
241818106,Isabel Alvarez Toyohiko Satoh Sour Cream,Rondeau No. 14. Ma fin est mon commencement,The Passion of Reason [Disc 1],"",2013,Classical/Other Classical/General Classical,Peaceful/Reverent / Healing,Medium Tempo/Medium/70s
217966396,Александр Мелик-Пашаев/Хор и оркестр Государственного академического Большого театра СССР,Действие второе. Где же ты женых мой?,Мусоргский: Борис Годунов,Male/Male Group,1962,Classical/Other Classical/General Classical,Tender/Refined / Mannered,Medium Tempo/Medium/70s
209252767,Александр Мелик-Пашаев/Хор и оркестр Государственного академического Большого театра СССР,Действие второе. Где же ты женых мой?,Мусоргский: Борис Годунов,Male/Male Group,1962,Classical/Other Classical/General Classical,Tender/Refined / Mannered,Medium Tempo/Medium/70s
194328932,Военен Хор На Червената Армия,01 Химн на СССР,Златните песни на Русия,Male/Male Group,0,Classical/Other Classical/General Classical,Stirring/Invigorating / Joyous,Medium Tempo/Medium Fast/90s
188208278,Различные Исполнители,Паганини: Каприс № 11 до мажор,Паганини. Сонаты и каприсы,"",0,Classical/Other Classical/General Classical,Serious/Thrilling,Medium Tempo/Medium/80s
177856844,Различные Исполнители,"Тема Из ""Запрещенных Игр""",Золотая Классика. Популярные Версии [Disc 1],"",2003,Classical/Other Classical/General Classical,Melancholy/Wistful / Forlorn,Medium Tempo/Medium/80s
118552988,Daniel Hope André De Ridder: Konzerthaus Kammerorchester Berlin,Richter: Vivaldi The Four Seasons - Autumn 1,Recomposed By Max Richter - Vivaldi: The Four Seasons,Mixed/Mixed Group,2012,Classical/Other Classical/General Classical,Tender/Awakening / Stately,Medium Tempo/Medium Fast/110s
