id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239108,Depeche Mode,I Feel You,Songs Of Faith And Devotion,Male/Male Group,1993,Alternative a Punk/Synth Pop/Synth Pop,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/120s
438460339,Epolets,Джейн,Dogma,"",2014,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/120s
410081509,Epolets,Лютий,Dogma,"",2014,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Alienated / Brooding,Fast Tempo/Fast/130s
397818901,Мельница,Шаман,Дикие травы,Mixed/Mixed Group,2009,Traditional/European Traditional/Eastern European,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/120s
384910543,Eels,Fresh Blood,Hombre Lobo,Male/Male Group,2009,Alternative a Punk/Indie Rock/General Indie Rock,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/90s
384906466,Belasco,Chloroform,61,Male/Male Group,2007,Alternative a Punk/Alternative/Alternative Rock,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/90s
352404087,Purr,Welcome,Whales Lead to the Deep Sea,Male/Male Group,2013,Alternative a Punk/Indie Rock/Post-Rock,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/90s
346696346,Guns N' Roses,Civil War,Use Your Illusion II,Male/Male Group,1991,Rock/Hard Rock/General Hard Rock,Brooding/Alienated / Brooding,Medium Tempo/Medium/70s
318211988,End Of You,Memoir,Mimesis,"",2008,Rock/Metal/Heavy Metal,Brooding/Alienated / Brooding,Medium Tempo/Medium/60s
316241371,Kasabian,Bow,48:13,Male/Male Group,2014,Alternative a Punk/Brit Rock/Brit Rock,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/100s
280472021,Wig Wam,Wig Wamania,Wig Wamania,Male/Male Group,2006,Rock/Hard Rock/General Hard Rock,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/100s
271318955,Thrice,Firebreather,The Alchemy Index: Vols. I a II Fire a Water [Disc 1],Male/Male Group,2007,Alternative a Punk/Emo a Hardcore/Hardcore,Brooding/Alienated / Brooding,Fast Tempo/Fast/130s
