id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239134,Echo a The Bunnymen,Lost On You,What Are You Going To Do With Your Life?,Male/Male Group,1999,Alternative a Punk/Indie Rock/Original Post-Punk,Empowering/Powerful / Heroic,Medium Tempo/Medium Slow/60s
456239133,浜崎あゆみ,"A Song for xx ""030213 Session #2""",A BALLADS,Female/Female,2003,Pop/Japanese Pop/J-Pop,Empowering/Powerful / Heroic,Medium Tempo/Medium/80s
456239111,浜崎あゆみ,"A Song for xx ""030213 Session #2""",A BALLADS,Female/Female,2003,Pop/Japanese Pop/J-Pop,Empowering/Powerful / Heroic,Medium Tempo/Medium/80s
441133158,Green Day,Wake Me Up When September Ends,American Idiot,Male/Male Group,2004,Alternative a Punk/Punk/Pop Punk,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/100s
374709106,Journey,Don't Stop Believin',Escape,Male/Male Group,1981,Rock/70's Rock/Classic Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/120s
368084272,Softengine,Something Better,We Created the World,Male/Male Group,2014,Alternative a Punk/Alternative/Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/70s
354699741,Brandon Flowers,Crossfire,Flamingo,Male/Male,2010,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/110s
351766771,The Script,Exit Wounds,Science a Faith,Male/Male Group,2010,Pop/Western Pop/Adult Alternative Pop,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/110s
351765640,The Script,Superheroes,No Sound Without Silence,Male/Male Group,2014,Pop/Western Pop/Adult Alternative Pop,Empowering/Powerful / Heroic,Medium Tempo/Medium/80s
350071214,Kaiser Chiefs,Ruby,Yours Truly Angry Mob,Male/Male Group,2007,Alternative a Punk/Indie Rock/General Indie Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/90s
349136867,The Script,Man On A Wire,No Sound Without Silence,Male/Male Group,2014,Pop/Western Pop/Adult Alternative Pop,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/90s
348334114,SoulRelic,Dying Angels,Love Is A Lie We Both Believed,"",2005,Rock/Metal/Heavy Metal,Empowering/Powerful / Heroic,Medium Tempo/Medium/60s
347721866,浜崎あゆみ,"A Song for xx ""030213 Session #2""",A BALLADS,Female/Female,2003,Pop/Japanese Pop/J-Pop,Empowering/Powerful / Heroic,Medium Tempo/Medium/80s
346267932,Ratt,Givin' Yourself Away,Detonator,Male/Male Group,1990,Rock/Metal/Pop Metal,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/100s
332465594,Theory Of A Deadman,Say Goodbye,Gasoline,Male/Male Group,2005,Alternative a Punk/Alternative/Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/70s
330591272,For My Pain...,Broken Days,Fallen,Male/Male Group,2012,Rock/Metal/Gothic Metal,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/120s
327310954,Aerosmith,Livin' On The Edge,Get A Grip,Male/Male Group,1993,Rock/70's Rock/Classic Hard Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/80s
324719228,The Giant Leap,Open All Night,The Giant Leap,"",2010,Rock/Mainstream Rock/General Mainstream Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/60s
324718792,The Giant Leap,Somebody Else,Another Day Rising,"",2007,Other/Data a Other/Data a Other,Empowering/Powerful / Heroic,Medium Tempo/Medium/60s
318214891,SoulRelic,Dying Angels,Love Is A Lie We Both Believed,"",2005,Rock/Metal/Heavy Metal,Empowering/Powerful / Heroic,Medium Tempo/Medium/60s
303148845,Richie Kotzen,Special,Get Up [Bonus Track],Male/Male,2004,Rock/Metal/Progressive Metal,Empowering/Powerful / Heroic,Medium Tempo/Medium/70s
295810375,Goo Goo Dolls,Here Is Gone,Gutterflower,Male/Male Group,2002,Rock/Adult Alternative Rock/Adult Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/100s
295810366,Goo Goo Dolls,Better Days,Let Love In,Male/Male Group,2006,Rock/Adult Alternative Rock/Adult Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/110s
295810363,Goo Goo Dolls,Before It's Too Late,Greatest Hits Vol. 1: The Singles,Male/Male Group,2007,Rock/Adult Alternative Rock/Adult Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/60s
295809716,Goo Goo Dolls,Rebel Beat,Magnetic,Male/Male Group,2013,Rock/Adult Alternative Rock/Adult Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/80s
288652490,Edguy,Save Me,Rocket Ride (New Version),Male/Male Group,2006,Rock/Metal/Power Metal,Empowering/Powerful / Heroic,Medium Tempo/Medium/80s
261846606,浜崎あゆみ,"A Song for xx ""030213 Session #2""",A BALLADS,Female/Female,2003,Pop/Japanese Pop/J-Pop,Empowering/Powerful / Heroic,Medium Tempo/Medium/80s
257199877,Avantasia,The Story Ain't Over,Lost In Space (Chapter 1 a 2),Male/Male Group,2008,Rock/Metal/Progressive Metal,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/110s
254189111,Nickelback,Photograph [Edit],Photograph [Single],Male/Male Group,2005,Alternative a Punk/Alternative/Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/90s
248997743,30 Seconds To Mars,From Yesterday,A Beautiful Lie,Male/Male Group,2005,Alternative a Punk/Emo a Hardcore/Emo,Empowering/Powerful / Heroic,Medium Tempo/Medium/60s
222315389,Green Day,Wake Me Up When September Ends,American Idiot,Male/Male Group,2004,Alternative a Punk/Punk/Pop Punk,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/100s
215517448,Kofei.IN,Mosty (Мости),Shkidlyva Zvychka (Шкідлива Звичка),"",2012,Pop/Western Pop/Pop Vocal,Empowering/Powerful / Heroic,Medium Tempo/Medium/60s
215517442,Kofei.IN,Dyvna Tin' (Дивна Тінь),Shkidlyva Zvychka (Шкідлива Звичка),"",2012,Pop/Western Pop/Pop Vocal,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/110s
210013967,Stornoway,I Saw You Blink,Beachcomber's Windowsill,Male/Male Group,2010,Alternative a Punk/Alternative Folk/Alternative Folk,Empowering/Powerful / Heroic,Medium Tempo/Medium/70s
209237175,One Less Reason,A Day To Be Alone,A Lifetime Burning,Male/Male Group,2007,Alternative a Punk/Alternative/Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/110s
207249100,The Fray,Over My Head,How To Save A Life,Male/Male Group,2006,Rock/Adult Alternative Rock/Adult Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/110s
207245424,Jonas,Feelin' Alive,L.A.,Male/Male Group,2010,Rock/Mainstream Rock/General Mainstream Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/120s
206436933,Saving Abel,Angel Without Wings,Miss America,Male/Male Group,2010,Alternative a Punk/Alternative/Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/70s
206436920,Saving Abel,18 Days,Saving Abel,Male/Male Group,2008,Alternative a Punk/Alternative/Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/60s
206436917,Saving Abel,Drowning (Face Down),Saving Abel,Male/Male Group,2008,Alternative a Punk/Alternative/Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/80s
202653505,INXS,Beautiful Girl,Welcome To Wherever You Are,Male/Male Group,1992,Alternative a Punk/New Wave Pop/New Wave Pop,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/120s
201984370,Seabird,Rescue,'Til We See The Shore,Male/Male Group,2008,Other/Religious/Christian Alt-Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/70s
196152141,Daughtry,On The Inside,Leave This Town,Male/Male Group,2009,Alternative a Punk/Alternative/Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/70s
196117047,The Strokes,15 Minutes,First Impressions Of Earth,Male/Male Group,2006,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Empowering/Powerful / Heroic,Medium Tempo/Medium/80s
196116517,Razorlight,America,Razorlight,Male/Male Group,2006,Alternative a Punk/Brit Rock/Brit Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/90s
196115914,The Pogues,Living In A World Without Her,Pogue Mahone,Mixed/Mixed Group,1996,Alternative a Punk/Punk/General Punk,Empowering/Powerful / Heroic,Medium Tempo/Medium Slow/60s
196115073,Story Of The Year,I'm Alive,The Constant,Male/Male Group,2010,Alternative a Punk/Emo a Hardcore/Hardcore,Empowering/Powerful / Heroic,Medium Tempo/Medium/70s
190818853,My Darkest Days,Come Undone,My Darkest Days,Male/Male Group,2010,Alternative a Punk/Alternative/Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/80s
190818590,Pianoбой,Простые вещи,Простые Вещи,Male/Male,2012,Urban/Contemporary RaB/Soul/Urban Crossover,Empowering/Powerful / Heroic,Medium Tempo/Medium/60s
188045092,Three Days Grace,The High Road,Transit Of Venus,Male/Male Group,2012,Alternative a Punk/Alternative/Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/70s
185314008,Scorpions,Wind Of Change,Crazy World,Male/Male Group,1990,Rock/Hard Rock/General Hard Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/70s
184308179,HIM,Funeral Of Hearts,Love Metal,Male/Male Group,2003,Alternative a Punk/Goth/Goth,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/110s
184058438,Sunrise Avenue,Into The Blue,On The Way To Wonderland,Male/Male Group,2006,Alternative a Punk/Alternative/Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium Fast/90s
184058369,Sunrise Avenue,Fight 'Til Dying,On The Way To Wonderland,Male/Male Group,2006,Alternative a Punk/Alternative/Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/80s
184058310,Sunrise Avenue,Kiss'n'run,Popgasm,Male/Male Group,2009,Alternative a Punk/Alternative/Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/70s
184057713,Sunrise Avenue,Heal Me,On The Way To Wonderland,Male/Male Group,2006,Alternative a Punk/Alternative/Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/80s
184057711,Sunrise Avenue,Wonderland,On The Way To Wonderland,Male/Male Group,2006,Alternative a Punk/Alternative/Alternative Rock,Empowering/Powerful / Heroic,Medium Tempo/Medium/70s
