id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239102,Lost Frequencies,Reality,Less Is More,Male/Male,2016,Electronica/House/Deep House,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/120s
456239088,OQJAV,Джек,Окуджав,"",2014,Alternative a Punk/Indie Rock/General Indie Rock,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/100s
434345029,Various Artists,Ace Of Base - Alle The She Wants,Take No Crap: Alle Tiders 90'er Hits [Disc 2],"",2006,Pop/Western Pop/Dance Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/90s
402622074,Panivalkova,Crazy Nikita,Панівалькова,"",2014,Pop/Western Pop/Pop Vocal,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/100s
392891574,Various Artists,Осінь блукає в садах,На коня Ukrainian Folk,"",2014,Traditional/Folk/Traditional U.S. Folk,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/100s
376928048,Hollywood Undead,Comin' In Hot,American Tragedy [Explicit Version],Male/Male Group,2011,Rock/Metal/Rap Metal,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/90s
375648348,Gotye,Thanks For Your Time,Like Drawing Blood,Male/Male,2006,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/100s
355364806,Various Artists,Где Ты,Сборник Русской Музыки,"",2005,Pop/Western Pop/Pop Vocal,Energizing/Edgy / Sexy,Medium Tempo/Medium Slow/60s
351427827,Bahroma,Не дави,Внутри,Male/Male Group,2014,Rock/Mainstream Rock/General Mainstream Rock,Energizing/Edgy / Sexy,Fast Tempo/Fast/130s
350060514,Various Artists,Bad guy (Wanna-Make-U-Dance Mix),Rain's Drama Soundtrack,"",0,Soundtrack/Original Film/TV Music/General TV Music,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/100s
336870493,Maroon 5,Kiwi,It Won't Be Soon Before Long,Male/Male Group,2007,Pop/Western Pop/Adult Alternative Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium/70s
328096617,Tomas N'evergreen,Since You`ve Been Gone,Since You`ve Been Gone,Male/Male,2003,Pop/European Pop/Euro Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/120s
262105535,Various Artists,sheke,Fiesta Mix 2,"",2006,Alternative a Punk/Alternative/Alternative Rock,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/90s
240529233,Гудімов,Будем разом,Монополія,"",2015,Pop/Western Pop/Pop Vocal,Energizing/Edgy / Sexy,Medium Tempo/Medium/70s
220876848,SOUL'd OUT,CLONE AS A FUNNY CREATURE PREACHER,To All Tha Dreamers,Male/Male Group,2005,Urban/Asian Hip-Hop/Rap/Japanese Hip-Hop/Rap,Energizing/Edgy / Sexy,Medium Tempo/Medium/80s
210071114,Gorillaz,Feel Good Inc.,Demon Days,Male/Male Group,2005,Alternative a Punk/Indie Rock/Post-Modern Electronic Pop,Energizing/Edgy / Sexy,Fast Tempo/Fast/130s
209974617,Дима Билан,Я Твой Номер Один,Против Правил,Male/Male,2008,"",Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/110s
209967140,Мері,Місто,Меридіани,"",0,Pop/Western Pop/Pop Vocal,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/90s
208383680,Чи-Ли,Не ангелы,Преступление,Mixed/Mixed Duo,2006,Pop/European Pop/Eastern European Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/100s
206511871,Fallulah,I Lay My Head,The Black Cat Neighbourhood,Female/Female,2010,Alternative a Punk/Indie Rock/General Indie Rock,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/100s
206434260,Éléphant,Rien,Collective mon amour,Mixed/Mixed Duo,2013,Pop/European Pop/French Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/100s
206362148,Дима Билан,Ночь Без Тебя,На Берегу Неба,Male/Male,2004,Pop/European Pop/Eastern European Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/100s
201820591,Various Artists,А что я такого сказала?,Союз,"",2008,Pop/Western Pop/Pop Vocal,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/120s
196152626,Pentatonix,Aha!,PTX Vols. 1 a 2,Mixed/Mixed Group,2014,Pop/Western Pop/Other Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium/80s
194326205,王力宏,杜U ♥ Me,十八般武藝,Male/Male,2010,Pop/Chinese Pop/General Chinese Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/90s
184346376,Fischerspooner,Never Win,Odyssey,Mixed/Mixed Group,2005,Electronica/Electronica Mainstream/Electroklash,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/110s
182526611,Various Artists,Обійми мене Feat. Діля,Найкращі українські пісні Ч. 2,"",2014,Pop/Western Pop/Pop Vocal,Energizing/Edgy / Sexy,Medium Tempo/Medium/80s
180413470,Various Artists,Камикадзе,Союз 45,"",2009,Pop/Western Pop/Pop Vocal,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/120s
178049206,Различные Исполнители,Если Бы Не Ты,Фабрика Звезд Виктора Дробыша: Звездные Дуэты,"",2006,Pop/Western Pop/Pop Vocal,Energizing/Edgy / Sexy,Medium Tempo/Medium/80s
177308347,Любовь Успенская,Сильней чем прежде Feat. Сосо Павлиашвили,Горький шоколад,Female/Female,2016,Pop/European Pop/Eastern European Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/120s
177113738,Михей и Джуманджи,Дорога К Морю,Сука Любовь,Male/Male Group,1999,Urban/Contemporary RaB/Soul/Urban Crossover,Energizing/Edgy / Sexy,Medium Tempo/Medium/80s
176159725,Любовь Успенская,Сильней чем прежде Feat. Сосо Павлиашвили,Горький шоколад,Female/Female,2016,Pop/European Pop/Eastern European Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/120s
123141903,Vacuum,Icaros,Culture Of Night,Male/Male Duo,2002,Alternative a Punk/Synth Pop/Synth Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium/70s
117091995,Григорий Лепс,Я Тебя Не Люблю,Водопад,Male/Male,2009,Pop/European Pop/Eastern European Pop,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/100s
