id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239138,The Neighbourhood,Sweater Weather,I Love You.,Male/Male Group,2013,Alternative a Punk/Indie Rock/Indie Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
456239127,Urge Overkill,Girl You'll Be A Woman Soon,Stull [EP],Male/Male Group,1992,Alternative a Punk/Alternative/Alternative Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/110s
456239110,Hurts,Rolling Stone,Surrender (Deluxe),Male/Male Duo,2015,Pop/Western Pop/Adult Alternative Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
456239059,Eliot Sumner,I Followed You Home,Information,Female/Female,2016,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Brooding/Energetic Melancholy,Fast Tempo/Fast/150s
456239050,Blue October,Schizophrenia,Consent To Treatment,Male/Male Group,2000,Rock/Adult Alternative Rock/Adult Alternative Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/100s
456239040,The Rasmus,Living In A World Without You,Black Roses,Male/Male Group,2008,Alternative a Punk/Alternative/Alternative Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
456239035,30 Seconds To Mars,Night of the Hunter [Live],At Rock am Ring 2013,Male/Male Group,2016,Alternative a Punk/Emo a Hardcore/Emo,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/110s
456239024,Крихітка,Без імені,Без імені,"",2015,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
435805446,Би-2,Компромисс,#16плюс,Male/Male Group,2014,"",Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/100s
424589974,Foals,Lonely Hunter,What Went Down,Male/Male Group,2015,Alternative a Punk/Indie Rock/Post-Punk Revival,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/110s
415818207,City And Colour,Wasted Love,If I Should Go Before You,Male/Male,2015,Alternative a Punk/Emo a Hardcore/Emo,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/110s
411462799,Hurts,Wonderful Life,Happiness,Male/Male Duo,2010,Pop/Western Pop/Adult Alternative Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
410910362,The Neighbourhood,Flawless,I Love You.,Male/Male Group,2013,Alternative a Punk/Indie Rock/Indie Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
408956416,Helloween,The Smile Of The Sun,7 Sinners,Male/Male Group,2010,Rock/Metal/Power Metal,Brooding/Energetic Melancholy,Medium Tempo/Medium Slow/50s
403106922,Bahroma,Её имя,Внутри,Male/Male Group,2014,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Energetic Melancholy,Fast Tempo/Fast/130s
368064621,Måns Zelmerlöw,Heroes,Perfectly Damaged,Male/Male,2015,Pop/European Pop/Euro Pop,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
354875520,Jay And Ray,You Were There,You Were There [Single],"",2015,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/90s
352408925,Blue October,Calling You,History For Sale,Male/Male Group,2003,Rock/Adult Alternative Rock/Adult Alternative Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/100s
348557013,Placebo,Scene Of The Crime,Loud Like Love,Male/Male Group,2013,Alternative a Punk/Brit Rock/Brit Rock,Brooding/Energetic Melancholy,Fast Tempo/Fast/130s
348316849,Rammstein,Nebel,Mutter,Male/Male Group,2001,Rock/Metal/Industrial Metal,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/100s
346774580,Robbie Williams,Tripping,Intensive Care,Male/Male,2005,Pop/Western Pop/Adult Contemporary,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/110s
345592526,Kutless,Take Me In,Strong Tower,Male/Male Group,2005,Other/Religious/Christian Alt-Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium/70s
339982366,The Church,Under The Milky Way,Starfish,Male/Male Group,1988,Alternative a Punk/Indie Rock/Neo-Psychedelic,Brooding/Energetic Melancholy,Fast Tempo/Fast/130s
336632644,Мотор'Ролла,Моя вода,Кольорові сни,"",2008,Pop/Western Pop/Pop Vocal,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/100s
330602389,Icon And The Black Roses,Sweetest Emptiness Of Love,Icon a The Black Roses,"",2004,Electronica/Dance a Club/Club Dance,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/100s
