id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239101,Franz Ferdinand,Love Illumination,Right Thoughts Right Words Right Action,Male/Male Group,2013,Alternative a Punk/Indie Rock/Post-Punk Revival,Rowdy/Confident / Tough,Medium Tempo/Medium/70s
456239065,Epolets,Прага,Cult,"",2016,Alternative a Punk/Alternative/Alternative Rock,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/120s
456239048,Epolets,Скажи,Cult,"",2016,Alternative a Punk/Alternative/Alternative Rock,Rowdy/Confident / Tough,Medium Tempo/Medium/80s
456239042,Jimi Hendrix,Slow Version [Olympic Studios London February 14 1969],Hear My Music,Male/Male,2004,Rock/60's Rock/Acid Rock,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/90s
415342492,AC/DC,T.N.T.,AC/DC Live,Male/Male Group,1992,Rock/Hard Rock/General Hard Rock,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/120s
384911073,Journey,Separate Ways (Worlds Apart),Frontiers,Male/Male Group,1983,Rock/70's Rock/Classic Rock,Rowdy/Confident / Tough,Fast Tempo/Fast/130s
383443055,Смысловые Галлюцинации,Зачем Топтать Мою Любовь,Лёд 9,Male/Male Group,2001,"",Rowdy/Confident / Tough,Medium Tempo/Medium/80s
380047263,Doro/Warlock,All We Are,Rare Diamonds,Mixed/Mixed Group,1991,Rock/Metal/Pop Metal,Rowdy/Confident / Tough,Fast Tempo/Fast/130s
372533408,Bon Jovi,Livin' On A Prayer,Slippery When Wet,Male/Male Group,1986,Rock/Metal/Pop Metal,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/120s
366416139,2CELLOS,Highway To Hell,In2ition,Male/Male Group,2012,Classical/Classical Crossover/Classical Crossover Instrumental,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/120s
346269833,Zed Yago,Rebel Ladies,From Over Yonder,Mixed/Mixed Group,1988,Rock/Metal/Pop Metal,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/110s
330564179,Danielle Dax,Big Hollow Man,Dark Adapted Eye,Female/Female,2009,Rock/Adult Alternative Rock/Adult Alternative Rock,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/120s
323510126,Владимир Кузьмин,Я Не Знаю За Что,Антология 19: Семь Морей,Male/Male,2003,Rock/Mainstream Rock/General Mainstream Rock,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/100s
313652075,Aerosmith,Come Together,Live! Bootleg,Male/Male Group,1978,Rock/70's Rock/Classic Hard Rock,Rowdy/Confident / Tough,Medium Tempo/Medium/80s
306655640,HammerFall,Last Man Standing,Steel Meets Steel - 10 Years Of Glory,Male/Male Group,2007,Rock/Metal/Power Metal,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/110s
291740446,maNga,Fly To Stay Alive,E-Akustik,Male/Male Group,2012,Rock/European Rock/Turkish Rock,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/100s
272100017,Mano Negra,King Of Bongo,King Of Bongo,Male/Male Group,1991,Other/Latin Rock/Latin Alternative,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/120s
