id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239049,Hurts,Help,Exile,Male/Male Duo,2013,Pop/Western Pop/Adult Alternative Pop,Romantic/Dramatic / Romantic,Medium Tempo/Medium/70s
440724250,Barbra Streisand,Moon River,The Movie Album,Female/Female,2003,Pop/Western Pop/Pop Vocal,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
397463801,Амбер,Шаг во мрак,Чёрная Дорога,"",2007,Rock/Metal/Heavy Metal,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
396157982,Alexandre Desplat,The Imitation Game,The Imitation Game: Original Motion Picture Soundtrack,Male/Male,2014,Soundtrack/Original Film/TV Music/General Film Music,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/50s
396157959,Alexandre Desplat,The Imitation Game,The Imitation Game: Original Motion Picture Soundtrack,Male/Male,2014,Soundtrack/Original Film/TV Music/General Film Music,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/50s
394072900,Charlotte Church,The Coventry Carol - Lully Lullay,Dream A Dream (UK/International Version),Female/Female,1999,Classical/Classical Crossover/Classical Crossover Vocal,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
389680803,Caprice,To my sister,Sister simplicity,"",2004,Classical/Other Classical/General Classical,Romantic/Dramatic / Romantic,Medium Tempo/Medium/60s
364232655,The Piano Guys,Titanium Pavane,The Piano Guys,Male/Male Duo,2012,Classical/Classical Crossover/Classical Crossover Instrumental,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
319682976,Secret Garden,Passacaglia,White Stones,Mixed/Mixed Duo,1997,Classical/Classical Crossover/Classical Crossover Instrumental,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/60s
295818333,Eicca Toppinen,Interlude,Music For The Movie Black Ice,"",2007,Pop/Western Pop/Pop Vocal,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
276589043,Watch Tower Bible And Tract Society Of PA,091-V My Father My God And Friend,Sing To Jehovah—Vocal Renditions [Disc 1],Mixed/Mixed Group,2009,Other/Spoken Word/General Spoken Word,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
273994506,Nightwish,Eva,Dark Passion Play,Mixed/Mixed Group,2007,Rock/Metal/Progressive Metal,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/50s
233839918,Монте Кристо,Увертюра,Монте Кристо - I акт,"",2008,Pop/Western Pop/Pop Vocal,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
212537234,Die Verbannten Kinder Evas,Unreal Mystery,Come Heavy Sleep,"",1997,Alternative a Punk/Goth/Goth,Romantic/Dramatic / Romantic,Slow Tempo/Slow/40s
196112877,Ólafur Arnalds,3055,Eulogy For Evolution,Male/Male,2008,Other/New Age/New Acoustic,Romantic/Dramatic / Romantic,Slow Tempo/Slow/40s
177968722,Josh Groban,Silent Night,Noël,Male/Male,2007,Classical/Classical Crossover/Classical Crossover Vocal,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
127464221,Sleeperstar,{I Was Wrong},Just Another Ghost,"",2010,Alternative a Punk/Alternative/Alternative Rock,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/50s
121634438,Michael Jackson,Little Susie,HIStory: Past Present And Future Book 1 [Disc 2],Male/Male,1995,Urban/Contemporary RaB/Soul/Pop Soul,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
118276888,Michael Jackson,Little Susie,HIStory: Past Present And Future Book 1 [Disc 2],Male/Male,1995,Urban/Contemporary RaB/Soul/Pop Soul,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
