id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239128,Tom Rosenthal,Go Solo,Go Solo,Male/Male,2014,Alternative a Punk/Alternative Folk/Alternative Folk,Melancholy/Wistful / Forlorn,Slow Tempo/Slow/40s
456239077,Mutemath,You Are Mine,Mutemath,Male/Male Group,2006,Alternative a Punk/Alternative/Alternative Rock,Melancholy/Light Melancholy,Medium Tempo/Medium/70s
456239054,Coldplay,Amsterdam,A Rush Of Blood To The Head,Male/Male Group,2002,Alternative a Punk/Brit Rock/Brit Rock,Melancholy/Light Melancholy,Slow Tempo/Very Slow/30s
456239053,Oh Wonder,All We Do,Oh Wonder,Mixed/Mixed Duo,2015,Alternative a Punk/Synth Pop/Synth Pop,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/60s
456239026,The Beatles,Girl,Rubber Soul,Male/Male Group,1965,Rock/60's Rock/British Invasion,Melancholy/Sad / Soulful,Slow Tempo/Slow/40s
441529823,Kansas,Dust In The Wind,Point Of Know Return,Male/Male Group,1977,Rock/70's Rock/Classic Rock,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/60s
439627964,Tom Odell,Heal,Long Way Down,Male/Male,2013,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Melancholy/Wistful / Forlorn,Slow Tempo/Very Slow/30s
436213775,Stereophonics,I Miss You Now,You Gotta Go There To Come Back,Male/Male Group,2003,Alternative a Punk/Brit Rock/Brit Rock,Melancholy/Sad / Soulful,Medium Tempo/Medium Slow/50s
427595956,Harmaja,Hauras,Lento,"",2010,Rock/Mainstream Rock/General Mainstream Rock,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/50s
415976421,Imany,Slow Down,The Shape Of A Broken Heart,Female/Female,2011,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/50s
409471473,Ани Лорак,Розкажи,Smile,Female/Female,2013,"",Melancholy/Sad / Soulful,Slow Tempo/Very Slow/30s
406742518,Lionel Richie,Lady (Featuring Kenny Rogers),Lionel Richie - Tuskegee (Deluxe Edition),Male/Male,2012,Urban/Contemporary RaB/Soul/Pop Soul,Melancholy/Wistful / Forlorn,Slow Tempo/Very Slow/30s
391778462,Николай Караченцов,Ты Меня На Рассвете Разбудишь,Что Тебе Подарить?,Male/Male,2008,"",Melancholy/Sad / Soulful,Medium Tempo/Medium Slow/60s
388802678,Kwoon,Swan,Swan,Male/Male Group,2014,Alternative a Punk/Indie Rock/Post-Rock,Melancholy/Wistful / Forlorn,Slow Tempo/Slow/40s
376545029,Hozier,In The Woods Somewhere,Hozier: Deluxe Edition,Male/Male,2015,Alternative a Punk/Alternative Folk/Alternative Folk,Melancholy/Light Melancholy,Slow Tempo/Very Slow/30s
366416714,2CELLOS,Shape of My Heart,Celloverse,Male/Male Duo,2015,Classical/Classical Crossover/Classical Crossover Instrumental,Melancholy/Light Melancholy,Slow Tempo/Slow/40s
366416044,2CELLOS,Californication,In2ition,Male/Male Duo,2012,Classical/Classical Crossover/Classical Crossover Instrumental,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/60s
353962835,Океан Ельзи,Коли навколо ні душі,Земля,Male/Male Group,2013,Rock/Mainstream Rock/General Mainstream Rock,Melancholy/Wistful / Forlorn,Slow Tempo/Slow/40s
352399904,Brunettes Shoot Blondes,Knock Knock,Knock Knock [Single],Male/Male Group,2014,Pop/Western Pop/Adult Alternative Pop,Melancholy/Sad / Soulful,Slow Tempo/Slow/40s
349788367,Iron a Wine,Such Great Heights,Around The Well [Disc 1],Male/Male,2009,Alternative a Punk/Alternative Folk/Alternative Folk,Melancholy/Light Melancholy,Slow Tempo/Slow/40s
348577067,Dead Man's Bones,Pa Pa Power,Dead Man's Bones,Male/Male Duo,2009,Alternative a Punk/Indie Rock/Indie Pop,Melancholy/Light Melancholy,Medium Tempo/Medium/70s
345596309,Árstíðir,Ro,Hvel,"",2015,Pop/Western Pop/Pop Vocal,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/60s
341245860,Metric,Help I'm Alive (Acoustic),Fantasies,Mixed/Mixed Group,2010,Alternative a Punk/Indie Rock/Post-Punk Revival,Melancholy/Sad / Soulful,Medium Tempo/Medium Slow/50s
327405114,Vivienne Mort,Готика,Готика,"",2014,Rock/Mainstream Rock/General Mainstream Rock,Melancholy/Sad / Soulful,Medium Tempo/Medium/60s
319045099,30 Seconds To Mars,100 Suns,This Is War,Male/Male Group,2009,Alternative a Punk/Emo a Hardcore/Emo,Melancholy/Light Melancholy,Slow Tempo/Slow/40s
313991810,Eels,I Need Some Sleep,Meet The Eels: Essential Eels Vol. 1 1996-2006,Male/Male Group,2008,Alternative a Punk/Indie Rock/General Indie Rock,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/60s
313555142,City And Colour,What Makes A Man?,Bring Me Your Love,Male/Male,2007,Alternative a Punk/Emo a Hardcore/Emo,Melancholy/Light Melancholy,Slow Tempo/Very Slow/30s
288655821,Edguy,Superheroes(Epic Version),Superheroes,Male/Male Group,2005,Rock/Metal/Power Metal,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/60s
279920170,"Львівський Естрадний Театр-Студія ""Не Журись""",Ой У Лузі Червона Калина,Повіяв Вітер Степовий,"",1990,Traditional/Folk/Traditional U.S. Folk,Melancholy/Sad / Soulful,Medium Tempo/Medium Slow/50s
272081001,Poets Of The Fall,Where Do We Draw the Line,Revolution Roulette,Male/Male Group,2008,Alternative a Punk/Alternative/Alternative Rock,Melancholy/Light Melancholy,Slow Tempo/Very Slow/30s
270253753,Hurts,Sunday [Demo],Happiness,Male/Male Duo,2010,Pop/Western Pop/Adult Alternative Pop,Melancholy/Light Melancholy,Slow Tempo/Slow/40s
269663337,Penta Leslee Swanson,Homeles Blues,Sorrow a Solitude,"",1999,Jazz/Jazz Vocals/Jazz Vocals,Melancholy/Sad / Soulful,Medium Tempo/Medium/60s
266971089,City And Colour,Hope For Now,Little Hell,Male/Male,2011,Alternative a Punk/Emo a Hardcore/Emo,Melancholy/Wistful / Forlorn,Slow Tempo/Slow/40s
266280505,David Cook,Permanent,David Cook,Male/Male,2008,Rock/Adult Alternative Rock/Adult Alternative Rock,Melancholy/Wistful / Forlorn,Slow Tempo/Slow/40s
253396916,ATB,Magnetic Girl,Distant Earth,Male/Male,2011,Electronica/Trance/Trance,Melancholy/Light Melancholy,Medium Tempo/Medium Slow/50s
226485909,Brainstorm,French Cartoon,Four Shores,Male/Male Group,2006,Pop/European Pop/Eastern European Pop,Melancholy/Light Melancholy,Medium Tempo/Medium Slow/60s
219519381,Земфира,Друг,Вендетта,Female/Female,2005,Rock/Mainstream Rock/General Mainstream Rock,Melancholy/Sad / Soulful,Slow Tempo/Slow/40s
212780668,Nolwenn Korbell,News from Town for My Love Who Stayed Home,Red,"",2007,Traditional/Celtic/Celtic,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/60s
212777463,Земфира,Мы Разбиваемся,Спасибо Вендетта,Female/Female,2007,Rock/Mainstream Rock/General Mainstream Rock,Melancholy/Wistful / Forlorn,Slow Tempo/Very Slow/30s
210691786,Elizaveta,"Trap (Из к/ф ""Призрак"")","Trap (Из к/ф ""Призрак"")",Female/Female,2015,Alternative a Punk/Indie Rock/Indie Pop,Melancholy/Sad / Soulful,Slow Tempo/Slow/40s
210013959,Stornoway,Boats And Trains,Beachcomber's Windowsill,Male/Male Group,2010,Alternative a Punk/Alternative Folk/Alternative Folk,Melancholy/Wistful / Forlorn,Slow Tempo/Very Slow/30s
