id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239100,Jehro,All I Want,Jehro,Male/Male,2006,Rock/Adult Alternative Rock/Adult Alternative Rock,Sensual/Soft Soulful,Slow Tempo/Slow/40s
430605851,Земфира,Жить В Твоей Голове,Жить В Твоей Голове,Female/Female,2013,"",Sensual/Soft Soulful,Medium Tempo/Medium/70s
421805313,Queen,The Night Comes Down [De Lane Lea Demo December 1971],Queen [Disc 2],Male/Male Group,2011,Rock/70's Rock/Classic Rock,Sensual/Soft Soulful,Medium Tempo/Medium/70s
408219581,Руслана,Де ти моя любов,Амазонка,Female/Female,2008,Pop/European Pop/Eastern European Pop,Sensual/Soft Soulful,Slow Tempo/Very Slow/30s
347721465,Краски,Старший Брат,Старший Брат,Mixed/Mixed Group,2002,Pop/European Pop/Eastern European Pop,Sensual/Soft Soulful,Medium Tempo/Medium/60s
330581128,Julien Doré,Chou Wasabi,Løve,Mixed/Mixed Duo,2013,Pop/European Pop/French Pop,Sensual/Soft Soulful,Medium Tempo/Medium Slow/60s
260768473,Jamie Lancaster,All You Need Is Love,Joyride,"",2015,Jazz/Bebop a Modern Jazz/Modern Jazz,Sensual/Soft Soulful,Medium Tempo/Medium Slow/50s
215505504,Various Artists,Я На Всё Согласна,Новая игрушка 19,"",2006,Electronica/Disco/Disco,Sensual/Soft Soulful,Medium Tempo/Medium/60s
206434276,Éléphant,Oui peut-être non,Collective mon amour,Mixed/Mixed Duo,2013,Pop/European Pop/French Pop,Sensual/Soft Soulful,Slow Tempo/Very Slow/30s
182357082,Andy Partridge,I Don't Want To Be Here [Aids Benefit Version],Fuzzy Warbles Vol. 2,Male/Male,2002,Alternative a Punk/New Wave Pop/New Wave Pop,Sensual/Soft Soulful,Slow Tempo/Slow/40s
118857413,Олександр Пономарьов,Зіронька,Краще,"",2004,Pop/Western Pop/Pop Vocal,Sensual/Soft Soulful,Slow Tempo/Slow/40s
