id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239147,Duran Duran,Come Undone,Duran Duran (The Wedding Album),Male/Male Group,1993,Alternative a Punk/New Romantic/New Romantic,Sensual/Sensual Groove,Slow Tempo/Slow/40s
456239100,Jehro,All I Want,Jehro,Male/Male,2006,Rock/Adult Alternative Rock/Adult Alternative Rock,Sensual/Soft Soulful,Slow Tempo/Slow/40s
456239092,Muse,Undisclosed Desires,The Resistance,Male/Male Group,2009,Alternative a Punk/Alternative/Alternative Rock,Sensual/Intimate,Medium Tempo/Medium Slow/50s
456239060,Eliot Sumner,Species,Information,Female/Female,2016,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
430605851,Земфира,Жить В Твоей Голове,Жить В Твоей Голове,Female/Female,2013,"",Sensual/Soft Soulful,Medium Tempo/Medium/70s
421805313,Queen,The Night Comes Down [De Lane Lea Demo December 1971],Queen [Disc 2],Male/Male Group,2011,Rock/70's Rock/Classic Rock,Sensual/Soft Soulful,Medium Tempo/Medium/70s
410910039,MAGIC!,Rude,Don't Kill The Magic,Male/Male Group,2014,Other/Reggae/Other Reggae,Sensual/Intimate,Medium Tempo/Medium/70s
424599474,Various Artists,Erann DD,Now 7,"",2004,Pop/Western Pop/Pop Vocal,Sensual/Intimate,Medium Tempo/Medium Slow/50s
408219581,Руслана,Де ти моя любов,Амазонка,Female/Female,2008,Pop/European Pop/Eastern European Pop,Sensual/Soft Soulful,Slow Tempo/Very Slow/30s
404225435,P!nk,Family Portrait,Missundaztood,Female/Female,2001,Pop/Western Pop/Dance Pop,Sensual/Intimate,Slow Tempo/Slow/40s
387644347,Michael Jackson,The Girl Is Mine,Thriller,Male/Male Duo,1982,Rock/70's Rock/Classic Pop-Rock,Sensual/Sensual Groove,Slow Tempo/Slow/40s
384753145,Руслана,Дика енергія,Амазонка,Female/Female,2008,Pop/European Pop/Eastern European Pop,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
375516605,Mike Oldfield,Evacuation (Remastered 2015 / Single Edit / Bonus Track),The Killing Fields (Original Motion Picture Soundtrack / Remastered 2015),Male/Male,2016,Rock/70's Rock/Classic Prog,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
368670526,Chris Rea,Looking For The Summer,Auberge,Male/Male,1991,Pop/Western Pop/Singer-Songwriter,Sensual/Sensual Groove,Medium Tempo/Medium Slow/60s
366651389,Jamala,Шлях додому,Подих,Female/Female,2015,Jazz/Jazz Vocals/Jazz Vocals,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
356560213,Jessie J,Price Tag,Who You Are,Mixed/Mixed Duo,2011,Pop/Western Pop/Urban Crossover: Pop,Sensual/Intimate,Slow Tempo/Slow/40s
352413067,The Maneken,Keep Moving On,Keep Moving On,Male/Male,2014,Alternative a Punk/Indie Rock/Indie Pop,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
350065042,Sting,Englishman In New York,...Nothing Like The Sun,Male/Male,1987,Pop/Western Pop/Adult Contemporary,Sensual/Sensual Groove,Medium Tempo/Medium/60s
347721489,Руслана,Відлуння мрій,Амазонка,Female/Female,2008,Pop/European Pop/Eastern European Pop,Sensual/Sensual Groove,Medium Tempo/Medium/60s
347721465,Краски,Старший Брат,Старший Брат,Mixed/Mixed Group,2002,Pop/European Pop/Eastern European Pop,Sensual/Soft Soulful,Medium Tempo/Medium/60s
346365471,ONUKA,Look,Look,Female/Female,2014,"",Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
345609171,Conchita Wurst,Rise Like A Phoenix(Eurovision 2014 - Austria),Eurovision Song Contest 2014 Copenhagen,Female/Female,2014,Pop/Western Pop/Pop Vocal,Sensual/Intimate,Slow Tempo/Slow/40s
338379702,Bronski Beat,Smalltown Boy,The Age Of Consent [Bonus Tracks],Male/Male Group,2000,Alternative a Punk/Synth Pop/Synth Pop,Sensual/Dreamy Pulse,Medium Tempo/Medium/60s
336157746,Madonna,Easy Ride,American Life,Female/Female,2003,Pop/Western Pop/Dance Pop,Sensual/Intimate,Slow Tempo/Slow/40s
335890301,Различные Исполнители,Дела Людей Которые Были До Нас,Рок Сейшн,"",1999,Rock/70's Rock/Classic Pop-Rock,Sensual/Sensual Groove,Medium Tempo/Medium/70s
332466702,Massive Attack,Angel,Mezzanine,Mixed/Mixed Group,1998,Electronica/Downtempo Lounge a Ambient/Trip Hop,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
330581128,Julien Doré,Chou Wasabi,Løve,Mixed/Mixed Duo,2013,Pop/European Pop/French Pop,Sensual/Soft Soulful,Medium Tempo/Medium Slow/60s
324633949,Дима Билан,Лови Мои Цветные Сны,Мечтатель,Male/Male,2011,Pop/European Pop/Eastern European Pop,Sensual/Intimate,Slow Tempo/Slow/40s
324631907,Марія Бурмака,Я сама,Знову люблю,"",2015,Pop/Western Pop/Pop Vocal,Sensual/Sensual Groove,Slow Tempo/Slow/40s
323509061,Duran Duran,Come Undone,Duran Duran (The Wedding Album),Male/Male Group,1993,Alternative a Punk/New Romantic/New Romantic,Sensual/Sensual Groove,Slow Tempo/Slow/40s
312763805,Timati,Снова Один,Black Star,Male/Male,2006,Urban/Western Hip-Hop/Rap/European Hip-Hop/Rap,Sensual/Intimate,Slow Tempo/Slow/40s
312759695,Гудімов,Серце не спи,Трампліни,"",2015,Rock/Mainstream Rock/General Mainstream Rock,Sensual/Intimate,Medium Tempo/Medium/60s
300347520,Александр Иванов,Боже Какой Пустяк,Звездная Серия,Male/Male,2001,"",Sensual/Sensual Groove,Medium Tempo/Medium Slow/60s
284141249,Eagles,Hotel California,Hell Freezes Over [Live],Male/Male Group,1994,Rock/70's Rock/Country Rock,Sensual/Sensual Groove,Medium Tempo/Medium/70s
261355129,VETO,Turing Machine,Point Break,Male/Male Group,2013,Alternative a Punk/Indie Rock/Indie Pop,Sensual/Dreamy Pulse,Medium Tempo/Medium/60s
260768473,Jamie Lancaster,All You Need Is Love,Joyride,"",2015,Jazz/Bebop a Modern Jazz/Modern Jazz,Sensual/Soft Soulful,Medium Tempo/Medium Slow/50s
255957570,Руслана,Я йду за тобою,Амазонка,Female/Female,2008,Pop/European Pop/Eastern European Pop,Sensual/Intimate,Medium Tempo/Medium/60s
220803894,МакSим,Любовь,Мой Рай,Female/Female,2007,Pop/European Pop/Eastern European Pop,Sensual/Intimate,Slow Tempo/Slow/40s
217342617,The Third Barramundi Sampler,Quiet Light,The Third Barramundi Sampler,"",1995,Other/Data a Other/Data a Other,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/60s
215505504,Various Artists,Я На Всё Согласна,Новая игрушка 19,"",2006,Electronica/Disco/Disco,Sensual/Soft Soulful,Medium Tempo/Medium/60s
215501389,Assorted Artist,The Things You Do,2007 Blazin' Hip Hop RaB Vol.64,"",2007,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Sensual/Intimate,Slow Tempo/Slow/40s
215500044,Assorted Artist,The Things You Do,2007 Blazin' Hip Hop RaB Vol.64,"",2007,Urban/Western Hip-Hop/Rap/General Hip-Hop/Rap,Sensual/Intimate,Slow Tempo/Slow/40s
209241930,Foxes,Youth,Glorious [Deluxe Edition],Female/Female,2014,Electronica/Electronica Mainstream/Pop Electronica,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/60s
207356184,Zapaska,Cosmo Tour (Original Mix),Translitom,"",2011,Alternative a Punk/Alternative/Alternative Rock,Sensual/Dreamy Pulse,Medium Tempo/Medium/70s
206434276,Éléphant,Oui peut-être non,Collective mon amour,Mixed/Mixed Duo,2013,Pop/European Pop/French Pop,Sensual/Soft Soulful,Slow Tempo/Very Slow/30s
203912280,T99,Улыбнись Мне,Вдох-Выдох,Male/Male Duo,2008,Electronica/Techno/Rave,Sensual/Intimate,Slow Tempo/Slow/40s
202081544,Modjo,What I Mean,Modjo,Male/Male Duo,2001,Electronica/House/Euro House,Sensual/Intimate,Slow Tempo/Slow/40s
