id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
403877287,Различные Исполнители,Паганини: Каприс № 15 ми минор,Паганини. Сонаты и каприсы,"",0,Classical/Other Classical/General Classical,Serious/Thrilling,Medium Tempo/Medium Fast/110s
399302734,Рихард Вагнер,"УВЕРТЮРА К ОПЕРЕ ""ТАНГЕЙЗЕР""",ФРАГМЕНТЫ ИЗ ОПЕР,"",2008,Classical/Other Classical/General Classical,Serious/Thrilling,Medium Tempo/Medium/80s
397461494,Johnny Cash,God's Gonna Cut You Down,American V: A Hundred Highways,Male/Male,2006,Traditional/Classic Country/Outlaw Country,Serious/Hypnotic Rhythm,Medium Tempo/Medium/80s
346304799,Herbert Von Karajan: Berlin Philharmonic Orchestra,Grieg: Peer Gynt Suite #2 Op. 55 - 3. Peer Gynt's Return Home,Grieg: Peer Gynt Suites Sibelius: Valse Triste Etc.,Mixed/Mixed Group,1993,Classical/Other Classical/General Classical,Serious/Thrilling,Medium Tempo/Medium/60s
272912901,Michel Legrand,Peau d'Ane,Musicales Comédies,Male/Male,2009,Soundtrack/Original Film/TV Music/General Film Music,Serious/Serious / Cerebral,Medium Tempo/Medium/80s
264856517,Edvard Grieg,Edvard Grieg-In the Hall of the Mountain King - Peer Gynt,Grieg Sibelius Compact Disc [Disc 1],Male/Male,0,Classical/Romantic Era/Romantic Era Instrumental,Serious/Thrilling,Medium Tempo/Medium/70s
253162270,Rumon Gamba: BBC Philharmonic Orchestra,633 Squadron - 633 Squadron: Main Theme,Goodwin: Film Music of Ron Goodwin,Mixed/Mixed Group,2004,Classical/Other Classical/General Classical,Serious/Thrilling,Medium Tempo/Medium Fast/90s
248191418,Pierre Boulez,Schoenberg: Pierrot Lunaire Op.21 (1912) - Part 2: 13. Enthauptung,Le Domaine Musical Vol. 2 [Disc 2],Male/Male,2006,Classical/Other Classical/General Classical,Serious/Serious / Cerebral,Medium Tempo/Medium Fast/90s
191935261,John Debney,Simon Is Dismissed,The Passion Of The Christ,Male/Male,2004,Soundtrack/Original Film/TV Music/General Film Music,Serious/Thrilling,Medium Tempo/Medium Fast/90s
188212199,Sonic Youth,Dr. Benway's House,Goo [Disc 1],Mixed/Mixed Group,1990,Alternative a Punk/Indie Rock/Noise Rock,Serious/Melodramatic,Medium Tempo/Medium/70s
188208278,Различные Исполнители,Паганини: Каприс № 11 до мажор,Паганини. Сонаты и каприсы,"",0,Classical/Other Classical/General Classical,Serious/Thrilling,Medium Tempo/Medium/80s
