id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
409469993,Гуша Катушкин a Мария Чайковская,Чекай,КРАСОТА13,"",2014,Pop/Western Pop/Pop Vocal,Sophisticated/Suave / Sultry,Medium Tempo/Medium Slow/50s
372874879,Bobby Darin,Mack The Knife,That's All,Male/Male,1959,Rock/50's Rock/Early Rock a Roll,Sophisticated/Suave / Sultry,Slow Tempo/Slow/40s
285588318,Ленинград,Танго (Я Так Люблю Тебя),Точка,Mixed/Mixed Group,2002,Rock/Mainstream Rock/General Mainstream Rock,Sophisticated/Suave / Sultry,Medium Tempo/Medium/60s
210076638,Сергей Бабкин,Зачем Нужны Слова,[БИС!],Male/Male,2005,"",Sophisticated/Suave / Sultry,Medium Tempo/Medium/70s
188927044,PJ Harvey,Bitter Branches,Let England Shake,Female/Female,2011,Alternative a Punk/Alternative/Alternative Singer-Songwriter,Sophisticated/Suave / Sultry,Medium Tempo/Medium/70s
188249597,Андрей Макаревич a Оркестр Креольского Танго,Наш маленький театр,Вино и слезы,Male/Male Group,2012,Pop/European Pop/Eastern European Pop,Sophisticated/Suave / Sultry,Slow Tempo/Slow/40s
188221839,Стас Михайлов,Париж Париж,Все Для Тебя...,Male/Male,2007,Pop/European Pop/Eastern European Pop,Sophisticated/Suave / Sultry,Slow Tempo/Slow/40s
180733083,Sting,Until...,My Funny Valentine: Sting At The Movies,Male/Male,2005,Pop/Western Pop/Adult Contemporary,Sophisticated/Suave / Sultry,Medium Tempo/Medium Slow/50s
180732732,Dean Martin,Sway,Dino: The Essential Dean Martin,Male/Male,2004,Pop/Classic Pop Vocals/Classic Male Vocal Pop,Sophisticated/Suave / Sultry,Medium Tempo/Medium Slow/60s
180412676,DOUBLE,Life is Beautiful,THE BEST COLLABORATIONS,Mixed/Mixed Group,2008,Urban/Asian Hip-Hop/Rap/Japanese Hip-Hop/Rap,Sophisticated/Suave / Sultry,Medium Tempo/Medium/60s
