id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239131,Chlöe Howl,Rumour,Rumour,Female/Female,2014,Electronica/Electronica Mainstream/Pop Electronica,Urgent/Dark Pop Intensity,Fast Tempo/Fast/150s
456239114,Poets Of The Fall,Daze,Jealous Gods,Male/Male Group,2014,Alternative a Punk/Alternative/Alternative Rock,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/110s
456239109,Воплi Вiдоплясова,Легенда про кохання,Країна Мрiй,Male/Male Group,1997,Rock/Mainstream Rock/General Mainstream Rock,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
456239082,Puggy,When You Know,Something You Might Like,Male/Male Group,2009,Pop/Western Pop/Adult Alternative Pop,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
456239038,Red Hot Chili Peppers,Don't Forget Me,By The Way,Male/Male Group,2002,Alternative a Punk/Alternative/Alternative Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
456239037,Woodkid,Run Boy Run,The Golden Age,Male/Male,2013,Alternative a Punk/Indie Rock/Indie Pop,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
456239034,Dire Straits,Money For Nothing,Brothers In Arms,Male/Male Group,1985,Rock/70's Rock/Classic Rock,Urgent/Dark Pop,Fast Tempo/Fast/130s
456239021,The Killers,Somebody Told Me,Hot Fuss,Male/Male Group,2004,Alternative a Punk/Indie Rock/Post-Punk Revival,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
456239018,Red Hot Chili Peppers,Californication,Californication,Male/Male Group,1999,Alternative a Punk/Alternative/Alternative Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/90s
456239017,The Killers,Somebody Told Me,Hot Fuss,Male/Male Group,2004,Alternative a Punk/Indie Rock/Post-Punk Revival,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
440895402,The Hardkiss,Helpless,Helpless,Mixed/Mixed Group,2016,Electronica/Electronica Mainstream/Pop Electronica,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
438058320,Thomas Azier,Red Eyes,Hylas,Male/Male,2014,Electronica/Electronica Mainstream/Pop Electronica,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/100s
436225789,Zaz,Gamine,Recto Verso,Female/Female,2013,Pop/European Pop/Chanson,Urgent/Dark Pop Intensity,Fast Tempo/Fast/150s
423073374,Bonnie Tyler,If You Were A Woman (And I Was A Man),Secret Dreams And Forbidden Fire,Female/Female,1986,Rock/70's Rock/Classic Pop-Rock,Urgent/Dark Pop,Medium Tempo/Medium Fast/120s
422347444,Белый Орел,Но Когда Зазвонит Телефон,Потому Что Нельзя Быть Красивой Такой,Male/Male Group,1998,Pop/European Pop/Eastern European Pop,Urgent/Dark Pop,Medium Tempo/Medium Fast/120s
415768543,Ночные Снайперы,Катастрофически,Цунами,Mixed/Mixed Group,2002,Pop/European Pop/Eastern European Pop,Urgent/Dark Pop Intensity,Fast Tempo/Fast/140s
