id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239116,Red Hot Chili Peppers,Road Trippin',Californication,Male/Male Group,1999,Alternative a Punk/Alternative/Alternative Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/90s
456239073,Сергей Бабкин,Возьми Меня,Сергевна,Male/Male,2013,"",Yearning/Sensitive / Exploring,Medium Tempo/Medium/70s
393625045,Phillip Phillips,Wanted Is Love,The World From The Side Of The Moon,Male/Male,2012,Pop/Western Pop/Adult Alternative Pop,Yearning/Sensitive / Exploring,Medium Tempo/Medium/80s
360088085,Foster The People,Pumped Up Kicks,Torches,Male/Male Group,2011,Alternative a Punk/Indie Rock/Indie Pop,Yearning/Sensitive / Exploring,Medium Tempo/Medium Slow/60s
349243614,Carla Bruni,Quelqu'un M'a Dit,Quelqu'un M'a Dit,Female/Female,2002,Pop/European Pop/French Pop,Yearning/Sensitive / Exploring,Medium Tempo/Medium/60s
349243588,Garou,L'aveu,Reviens,Male/Male,2003,Pop/European Pop/French Pop,Yearning/Sensitive / Exploring,Medium Tempo/Medium/70s
344476632,Друга Рiка,Там де ти,Dенніч,Male/Male Group,2006,"",Yearning/Sensitive / Exploring,Medium Tempo/Medium/80s
279920874,Скрябін,Spy sobi sama (Спи собі сама),Natura (Натура),Male/Male Group,2005,Rock/Mainstream Rock/General Mainstream Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium/60s
277486649,Reamonn,Strong,Beautiful Sky,Male/Male Group,2003,Rock/Adult Alternative Rock/Adult Alternative Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/90s
270255169,Poets Of The Fall,Roses,Carnival Of Rust,Male/Male Group,2006,Alternative a Punk/Alternative/Alternative Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/100s
257431970,Panic! At The Disco,There's A Good Reason These Tables Are Numbered Honey You Just Haven't Thought Of It Yet,A Fever You Can't Sweat Out,Male/Male Group,2005,Alternative a Punk/Punk/Pop Punk,Yearning/Sensitive / Exploring,Medium Tempo/Medium Slow/50s
253395808,Red Hot Chili Peppers,Strip My Mind,Stadium Arcadium: Jupiter [Disc 1],Male/Male Group,2006,Alternative a Punk/Alternative/Alternative Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium/60s
243324460,Red Hot Chili Peppers,Snow (Hey Oh),Stadium Arcadium: Jupiter [Disc 1],Male/Male Group,2006,Alternative a Punk/Alternative/Alternative Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/100s
224237127,Братья Грим,Love лови,Самая любимая музыка,Male/Male Duo,2015,Pop/European Pop/Eastern European Pop,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/110s
209238083,O. Torvald,I Love You,Акустичний,Male/Male Group,2013,Rock/Mainstream Rock/General Mainstream Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/90s
207246232,Daughtry,Home [Acoustic],Daughtry,Male/Male Group,2008,Alternative a Punk/Alternative/Alternative Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium/70s
206434273,Éléphant,Un instant,Collective mon amour,Mixed/Mixed Duo,2013,Pop/European Pop/French Pop,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/100s
206434257,Éléphant,Et toi t'es drôle,Collective mon amour,Mixed/Mixed Duo,2013,Pop/European Pop/French Pop,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/90s
195012187,Garou,L'aveu,Reviens,Male/Male,2003,Pop/European Pop/French Pop,Yearning/Sensitive / Exploring,Medium Tempo/Medium/70s
193520304,Santana,Love Of My Life,Supernatural,Male/Male Group,1999,Rock/Adult Alternative Rock/Adult Alternative Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/90s
184058377,Sunrise Avenue,Kiss Goodbye,Out Of Style,Male/Male Group,2011,Alternative a Punk/Alternative/Alternative Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/100s
184058354,Sunrise Avenue,Sweet Symphony,Out Of Style,Male/Male Group,2011,Alternative a Punk/Alternative/Alternative Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium/80s
184057426,Sunrise Avenue,What I Like About You,Out Of Style,Male/Male Group,2011,Alternative a Punk/Alternative/Alternative Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium/60s
177968927,Океан Ельзи,Хочу Напитись Тобою,Міра,Male/Male Group,2007,Rock/Mainstream Rock/General Mainstream Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium Slow/60s
177967623,Океан Ельзи,Хочу Напитись Тобою,Міра,Male/Male Group,2007,Rock/Mainstream Rock/General Mainstream Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium Slow/60s
177855737,Red Hot Chili Peppers,Happiness Loves Company,I'm With You,Male/Male Group,2011,Alternative a Punk/Alternative/Alternative Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium Slow/60s
174834306,Eddie Vedder,Hard Sun,Into The Wild,Male/Male,2007,Rock/Adult Alternative Rock/Adult Alternative Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium/70s
148890958,The Stone Roses,How Do You Sleep,Second Coming,Male/Male Group,1994,Alternative a Punk/Indie Rock/Madchester,Yearning/Sensitive / Exploring,Medium Tempo/Medium/60s
121748560,Sunrise Avenue,Sweet Symphony,Out Of Style,Male/Male Group,2011,Alternative a Punk/Alternative/Alternative Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium/80s
121748375,Sunrise Avenue,What I Like About You,Out Of Style,Male/Male Group,2011,Alternative a Punk/Alternative/Alternative Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium/60s
