id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
384910588,Muse,Survival,The 2nd Law,Male/Male Group,2012,Alternative a Punk/Alternative/Alternative Rock,Aggressive/Heavy Triumphant,Fast Tempo/Fast/160s
324633092,Epolets,Забули хто ми є,Epolets,"",2015,Alternative a Punk/Alternative/Alternative Rock,Defiant/Heavy Brooding,Fast Tempo/Fast/160s
315104413,Rebellion,Asgard,Arise - The History Of The Vikings Part III,Male/Male Group,2009,Rock/Metal/Power Metal,Defiant/Hard Dark Excitement,Fast Tempo/Fast/160s
297487059,Нумер 482,Триллер,Нумер 482,"",2013,Rock/Mainstream Rock/General Mainstream Rock,Urgent/Dark Pop Intensity,Fast Tempo/Fast/160s
266279939,Kamelot,Forever,Karma,Male/Male Group,2001,Rock/Metal/Progressive Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/160s
257201837,Dark Moor,A New World,The Gates Of Oblivion [Bonus Track],Male/Male Group,2002,Rock/Metal/Power Metal,Urgent/Dark Pop Intensity,Fast Tempo/Fast/160s
257201832,Dark Moor,The Emperor,Tarot,Male/Male Group,2007,Rock/Metal/Power Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/160s
254187977,Nickelback,Savin' Me,All The Right Reasons,Male/Male Group,2005,Alternative a Punk/Alternative/Alternative Rock,Excited/Happy Excitement,Fast Tempo/Fast/160s
210602459,Hooverphonic,Mad About You,Hooverphonic presents Jackie Cane,Mixed/Mixed Group,2002,Electronica/Downtempo Lounge a Ambient/General Downtempo,Urgent/Dark Pop Intensity,Fast Tempo/Fast/160s
187316866,Various Artists,What Goes Around... (Justin Timberlake Cover),Punk Goes Pop Vol. 2,Male/Male Group,2009,Alternative a Punk/Emo a Hardcore/Emo,Aggressive/Heavy Triumphant,Fast Tempo/Fast/160s
139716392,My Chemical Romance,Na Na Na (Na Na Na Na Na Na Na Na Na),Danger Days: The True Lives Of The Fabulous Killjoys,Male/Male Group,2010,Alternative a Punk/Emo a Hardcore/Emo,Defiant/Hard Positive Excitement,Fast Tempo/Fast/160s
121635309,Fall Out Boy,Don't You Know Who I Think I Am?,Infinity On High,Male/Male Group,2007,Alternative a Punk/Emo a Hardcore/Emo,Defiant/Hard Positive Excitement,Fast Tempo/Fast/160s
