id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
346267440,Ratt,Eat Me Up Alive,Infestation,Male/Male Group,2010,Rock/Metal/Pop Metal,Defiant/Hard Dark Excitement,Fast Tempo/Very Fast/180s
334972224,Bloodbound,We Raise the Dead,Stormborn,Male/Male Group,2014,Rock/Metal/Power Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/180s
318208231,Helloween,World Of Fantasy,7 Sinners,Male/Male Group,2010,Rock/Metal/Power Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/180s
279921099,Калевала,Ярило,Кудель белоснежного льна,"",2008,Rock/Folk Rock/General Folk Rock,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/180s
279921033,Аркона,В цепях Древней Тайны,Гой Роде Гой!,Mixed/Mixed Group,2009,"",Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/180s
212780843,Ra,Lost Along The Way,Black Sun,Male/Male Group,2008,Rock/Metal/Nu-Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/180s
191839241,Ария,Пробил Час,Штиль,Male/Male Group,2002,"",Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/180s
190818861,My Darkest Days,Set It On Fire,My Darkest Days,Male/Male Group,2010,Alternative a Punk/Alternative/Alternative Rock,Excited/Euphoric Energy,Fast Tempo/Very Fast/180s
190153465,Shinedown,Sound Of Madness,The Sound Of Madness,Male/Male Group,2008,Alternative a Punk/Alternative/Alternative Rock,Defiant/Hard Dark Excitement,Fast Tempo/Very Fast/180s
149824271,Various Artists,The Expatraite Act,Rock Against Bush Vol. 1,Mixed/Mixed Group,2004,Alternative a Punk/Indie Rock/Indie Pop,Excited/Happy Excitement,Fast Tempo/Very Fast/180s
118552782,Panic! At The Disco,Let's Kill Tonight,Vices a Virtues,Male/Male Group,2011,Alternative a Punk/Punk/Pop Punk,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/180s
