tempo,count
Medium Tempo,1771
Medium Fast,831
Medium,665
Fast Tempo,509
Fast,438
Medium Tempo/Medium Fast/120s,285
120s,285
60s,281
Medium Slow,275
Medium Tempo/Medium/80s,264
80s,264
"",256
Medium Tempo/Medium/70s,252
70s,252
Medium Tempo/Medium Fast/90s,215
90s,215
Slow Tempo,198
Medium Tempo/Medium Fast/100s,174
100s,174
Fast Tempo/Fast/130s,159
130s,159
Medium Tempo/Medium Fast/110s,157
110s,157
Medium Tempo/Medium/60s,149
Medium Tempo/Medium Slow/50s,143
50s,143
Medium Tempo/Medium Slow/60s,132
Slow Tempo/Slow/40s,130
40s,130
Slow,130
Fast Tempo/Fast/140s,129
140s,129
Fast Tempo/Fast/150s,99
150s,99
Very Fast,71
Very Slow,62
Slow Tempo/Very Slow/30s,50
30s,50
Fast Tempo/Fast/170s,27
170s,27
Fast Tempo/Fast/160s,24
160s,24
Fast Tempo/Very Fast/190s,19
190s,19
Fast Tempo/Very Fast/180s,19
180s,19
Slow Tempo/Very Slow/20s,12
20s,12
Fast Tempo/Very Fast/240s,11
240s,11
Fast Tempo/Very Fast/220s,8
220s,8
Slow Tempo/Static/0,6
0,6
Static,6
Fast Tempo/Very Fast/200s,6
200s,6
Fast Tempo/Very Fast/210s,3
210s,3
Fast Tempo/Very Fast/230s,3
230s,3
Fast Tempo/Very Fast/250s,2
250s,2
