id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
408387496,Diary Of Dreams,Grau im Licht,Grau im Licht,Male/Male Duo,2015,Alternative a Punk/Goth/Goth,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/60s
408385515,Diary Of Dreams,Krank,Grau im Licht,Male/Male Duo,2015,Alternative a Punk/Goth/Goth,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/120s
408383488,Diary Of Dreams,Endless Nights,Grau im Licht,Male/Male Duo,2015,Alternative a Punk/Goth/Goth,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
408383365,Diary Of Dreams,Sinferno,Grau im Licht,Male/Male Duo,2015,Alternative a Punk/Goth/Goth,Aggressive/Dark Hard Beat,Fast Tempo/Fast/130s
406806481,Diary Of Dreams,Requiem 4.21,A Collection Of...,Male/Male Duo,2010,Alternative a Punk/Goth/Goth,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/50s
383341811,Diary Of Dreams,House of Odds,Elegies in Darkness,Male/Male Duo,2014,Alternative a Punk/Goth/Goth,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/100s
313462549,Diary Of Dreams,Dream of a Ghost,Elegies in Darkness,Male/Male Duo,2014,Alternative a Punk/Goth/Goth,Excited/Euphoric Energy,Medium Tempo/Medium Fast/120s
308929401,Diary Of Dreams,Stummkult,Elegies in Darkness,Male/Male Duo,2014,Alternative a Punk/Goth/Goth,Rowdy/Driving Dark Groove,Medium Tempo/Medium/60s
283384536,Diary Of Dreams,The Game,Elegies in Darkness,Male/Male Duo,2014,Alternative a Punk/Goth/Goth,Urgent/Dark Pop,Medium Tempo/Medium Fast/120s
283382889,Diary Of Dreams,A Day in December,Elegies in Darkness,Male/Male Duo,2014,Alternative a Punk/Goth/Goth,Gritty/Strumming Yearning,Medium Tempo/Medium/70s
270157023,Diary Of Dreams,Traumtanzer,Freak Perfume,Male/Male Duo,2002,Alternative a Punk/Goth/Goth,Brooding/Alienated / Brooding,Fast Tempo/Fast/130s
237412703,Diary Of Dreams,King Of Nowhere,(If) [Disc 1],Male/Male Duo,2009,Alternative a Punk/Goth/Goth,Urgent/Dark Pop,Medium Tempo/Medium Fast/110s
171373863,Diary Of Dreams,The Colors Of Grey,(If) [Disc 1],Male/Male Duo,2009,Alternative a Punk/Goth/Goth,Brooding/Evocative / Intriguing,Medium Tempo/Medium Slow/50s
