id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
364700480,Korpiklaani,Pilli On Pajusta Tehty,Noita,Male/Male Group,2015,Rock/Metal/Black Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/190s
364700478,Korpiklaani,Viinamäen Mies,Noita,Male/Male Group,2015,Rock/Metal/Black Metal,Defiant/Hard Positive Excitement,Fast Tempo/Fast/150s
364700469,Korpiklaani,Lempo,Noita,Male/Male Group,2015,Rock/Metal/Black Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
364700468,Korpiklaani,Sahti,Noita,Male/Male Group,2015,Rock/Metal/Black Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
364700462,Korpiklaani,Luontoni,Noita,Male/Male Group,2015,Rock/Metal/Black Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/100s
364700457,Korpiklaani,Jouni Jouni,Noita,Male/Male Group,2015,Rock/Metal/Black Metal,Defiant/Heavy Brooding,Fast Tempo/Fast/130s
364700452,Korpiklaani,Kylästä Keväinen Kehto,Noita,Male/Male Group,2015,Rock/Metal/Black Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
364700445,Korpiklaani,Ämmänhauta,Noita,Male/Male Group,2015,Rock/Metal/Black Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
250161333,Korpiklaani,Tuli Kokko,Tales Along This Road,Male/Male Group,2012,Rock/Metal/Black Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
195719890,Korpiklaani,Spring Dance,Tales Along This Road,Male/Male Group,2012,Rock/Metal/Black Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
172606752,Korpiklaani,Vodka,Karkelo [Bonus Track],Male/Male Group,2009,Rock/Metal/Black Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/180s
172022065,Korpiklaani,Vakirauta,Tales Along This Road,Male/Male Group,2012,Rock/Metal/Black Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
166261107,Korpiklaani,Ievan Polkka,Manala [Bonus Track],Male/Male Group,2012,Rock/Metal/Black Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
