id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
270138574,Lacrimosa,Seele In Not,Live [Disc 1],Mixed/Mixed Duo,1998,Alternative a Punk/Goth/Goth,Aggressive/Heavy Triumphant,Fast Tempo/Fast/150s
181475025,Lacrimosa,Rote Sinfonie,Revolution,Mixed/Mixed Duo,2012,Alternative a Punk/Goth/Goth,Brooding/Dreamy Brooding,Medium Tempo/Medium/60s
181475021,Lacrimosa,Weil Du Hilfe Brauchst,Revolution,Mixed/Mixed Duo,2012,Alternative a Punk/Goth/Goth,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
181475019,Lacrimosa,Refugium,Revolution,Mixed/Mixed Duo,2012,Alternative a Punk/Goth/Goth,Melancholy/Light Melancholy,Medium Tempo/Medium Slow/50s
181474969,Lacrimosa,Interlude - Feuerzug (Part 1) [Instrumental],Revolution,Mixed/Mixed Duo,2012,Alternative a Punk/Goth/Goth,Romantic/Dramatic / Romantic,Medium Tempo/Medium/70s
181474951,Lacrimosa,Verloren,Revolution,Mixed/Mixed Duo,2012,Alternative a Punk/Goth/Goth,Defiant/Heavy Brooding,Fast Tempo/Fast/140s
181474942,Lacrimosa,If The World Stood Still A Day,Revolution,Mixed/Mixed Duo,2012,Alternative a Punk/Goth/Goth,Defiant/Heavy Brooding,Fast Tempo/Fast/130s
175077604,Lacrimosa,Halt Mich,Elodia,Mixed/Mixed Duo,1999,Alternative a Punk/Goth/Goth,Brooding/Evocative / Intriguing,Medium Tempo/Medium/60s
174835976,Lacrimosa,Lichtgestalt,Lichtgestalt,Mixed/Mixed Duo,2008,Alternative a Punk/Goth/Goth,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
171967726,Lacrimosa,Alles Lüge,Live [Disc 2],Mixed/Mixed Duo,1998,Alternative a Punk/Goth/Goth,Defiant/Heavy Brooding,Fast Tempo/Fast/140s
171954154,Lacrimosa,Liebesspiel,Fassade,Mixed/Mixed Duo,2001,Alternative a Punk/Goth/Goth,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
168900806,Lacrimosa,Feuer,Sehnsucht (갈망),Mixed/Mixed Duo,2009,Alternative a Punk/Goth/Goth,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/120s
168915996,Lacrimosa,Der Morgen Danach,Fassade,Mixed/Mixed Duo,2001,Alternative a Punk/Goth/Goth,Brooding/Evocative / Intriguing,Medium Tempo/Medium Slow/50s
162961128,Lacrimosa,Kelch der Liebe,Lichtjahre,Mixed/Mixed Duo,2007,Alternative a Punk/Goth/Goth,"",""
162942053,Lacrimosa,Ich Bin Der Brennende Komet,Live [Disc 1],Mixed/Mixed Duo,1998,Alternative a Punk/Goth/Goth,Aggressive/Heavy Triumphant,Fast Tempo/Fast/140s
