id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239408,Mantus,Wüste,Grenzland,Mixed/Mixed Group,2014,Rock/Metal/Gothic Metal,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/110s
456239407,Mantus,Nihil,Grenzland,Mixed/Mixed Group,2014,Rock/Metal/Gothic Metal,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/100s
456239406,Mantus,Konstrukt,Grenzland,Mixed/Mixed Group,2014,Rock/Metal/Gothic Metal,Brooding/Dreamy Brooding,Medium Tempo/Medium/60s
456239405,Mantus,Genesis,Grenzland,Mixed/Mixed Group,2014,Rock/Metal/Gothic Metal,Somber/Enigmatic / Mysterious,Slow Tempo/Slow/40s
456239401,Mantus,Weg ins Paradies,Weg ins Paradies,Mixed/Mixed Group,2004,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
456239253,Mantus,Welt in Flammen,Refugium,Mixed/Mixed Group,2016,Rock/Metal/Gothic Metal,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/50s
456239252,Mantus,In die Wirklichkeit,Refugium,Mixed/Mixed Group,2016,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
456239251,Mantus,Schande,Refugium,Mixed/Mixed Group,2016,Rock/Metal/Gothic Metal,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
456239240,Mantus,Traurig bin ich sowieso,Refugium,Mixed/Mixed Group,2016,Rock/Metal/Gothic Metal,Gritty/Strumming Yearning,Medium Tempo/Medium/80s
456239239,Mantus,Das Wunder des Lebens,Refugium,Mixed/Mixed Group,2016,Rock/Metal/Gothic Metal,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
456239238,Mantus,Niemals genug,Refugium,Mixed/Mixed Group,2016,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
456239237,Mantus,Zwischen den Nächten,Refugium,Mixed/Mixed Group,2016,Rock/Metal/Gothic Metal,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
456239235,Mantus,Kampf der Kulturen,Refugium,Mixed/Mixed Group,2016,Rock/Metal/Gothic Metal,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/90s
456239231,Mantus,Niemals genug,Refugium,Mixed/Mixed Group,2016,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
399172911,Mantus,Melancholia,Melancholia,Mixed/Mixed Group,2015,Rock/Metal/Gothic Metal,Brooding/Energetic Melancholy,Fast Tempo/Fast/140s
377546384,Mantus,Lied vom traurigen Sonntag,Melancholia,Mixed/Mixed Group,2015,Rock/Metal/Gothic Metal,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/50s
330915497,Mantus,Mantusalem,Chronik [Disc 1],Mixed/Mixed Group,2006,Rock/Metal/Gothic Metal,Brooding/Alienated / Brooding,Medium Tempo/Medium/80s
313490193,Mantus,Kleiner Engel flügellos,Abschied,Mixed/Mixed Group,2001,Rock/Metal/Gothic Metal,Excited/Happy Excitement,Fast Tempo/Fast/150s
268539328,Mantus,Egoman,Portrait aus Wut und Trauer,Mixed/Mixed Group,2014,Rock/Metal/Gothic Metal,Aggressive/Aggressive Power,Fast Tempo/Fast/150s
268536443,Mantus,Tränenpalast,Portrait aus Wut und Trauer,Mixed/Mixed Group,2014,Rock/Metal/Gothic Metal,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
255382909,Mantus,Wir warten auf den Tod,Zeit muss enden,Mixed/Mixed Group,2008,Rock/Metal/Gothic Metal,Melancholy/Light Melancholy,Medium Tempo/Medium Slow/60s
255380729,Mantus,Herr der Welt,Zeit muss enden,Mixed/Mixed Group,2008,Rock/Metal/Gothic Metal,Somber/Enigmatic / Mysterious,Slow Tempo/Slow/40s
253886806,Mantus,Dunkler Engel,Ein Hauch von Wirklichkeit,Mixed/Mixed Group,2008,Rock/Metal/Gothic Metal,Yearning/Energetic Dreamy,Medium Tempo/Medium/60s
254844430,Mantus,Schuld,Demut,Mixed/Mixed Group,2010,Rock/Metal/Gothic Metal,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
255193442,Mantus,Monster,Wölfe,Mixed/Mixed Group,2012,Rock/Metal/Gothic Metal,Aggressive/Aggressive Power,Fast Tempo/Fast/150s
254842968,Mantus,Loki,Wölfe,Mixed/Mixed Group,2012,Rock/Metal/Gothic Metal,Somber/Enigmatic / Mysterious,Slow Tempo/Slow/40s
193610817,Mantus,Utopia,Fremde Welten,Mixed/Mixed Group,2004,Rock/Metal/Gothic Metal,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
193609199,Mantus,Küss mich wach,Ein Hauch von Wirklichkeit,Mixed/Mixed Group,2008,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
193513500,Mantus,Ein letztes Mal,Requiem,Mixed/Mixed Group,2005,Rock/Metal/Gothic Metal,Brooding/Evocative / Intriguing,Medium Tempo/Medium Fast/90s
193513291,Mantus,Untergang,Requiem,Mixed/Mixed Group,2005,Rock/Metal/Gothic Metal,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/60s
