id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
420828795,Megaherz,Jordan,Erdwärts,Male/Male Group,2015,Rock/Metal/Industrial Metal,Brooding/Alienated / Brooding,Fast Tempo/Fast/140s
420821329,Megaherz,Wer hat Angst vorm schwarzen Mann,Erdwärts,Male/Male Group,2015,Rock/Metal/Industrial Metal,Rowdy/Confident / Tough,Fast Tempo/Fast/130s
312535005,Megaherz,Rapunzel,Kopfschuss,Male/Male Group,1998,"",Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
298880161,Megaherz,Keine Zeit,Götterdämmerung,Male/Male Group,2012,"",Aggressive/Heavy Triumphant,Fast Tempo/Fast/170s
230294835,Megaherz,Abendstern,Götterdämmerung,Male/Male Group,2012,"",Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
219013356,Megaherz,I. M. Rumpelstilzchen,Herzwerk II,Male/Male Group,2002,"",Aggressive/Heavy Triumphant,Fast Tempo/Fast/150s
175075572,Megaherz,Alles nur Lüge,Heuchler,Male/Male Group,2008,"",Defiant/Heavy Brooding,Medium Tempo/Medium/70s
172606322,Megaherz,Herz Aus Stein,Zombieland (Deluxe Edition),Male/Male Group,2014,Rock/Metal/Industrial Metal,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/90s
171048339,Megaherz,Herzblut,Herzwerk II,Male/Male Group,2002,"",Defiant/Heavy Brooding,Medium Tempo/Medium/80s
170700898,Megaherz,Es Tut Weh,5,Male/Male Group,2004,Rock/Metal/Industrial Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/100s
169878112,Megaherz,Jagdzeit,Götterdämmerung,Male/Male Group,2012,"",Aggressive/Aggressive Power,Fast Tempo/Fast/130s
167981551,Megaherz,Beiss Mich,Himmelfahrt,Male/Male Group,2000,"",Aggressive/Dark Hard Beat,Fast Tempo/Fast/140s
167923504,Megaherz,Gott Sein,Querschnitt,Male/Male Group,2001,"",Aggressive/Aggressive Power,Medium Tempo/Medium Fast/90s
166719088,Megaherz,Perfekte Droge,Herzwerk II,Male/Male Group,2002,"",Aggressive/Aggressive Power,Medium Tempo/Medium Fast/110s
166457056,Megaherz,Ja Genau,5,Male/Male Group,2004,Rock/Metal/Industrial Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/100s
