id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239184,Ordo Rosarius Equilibrio,Vision Libertine (The Magnificence Of Nihilism),Vision:Libertine The Hangman's Triad,Mixed/Mixed Group,2016,Alternative a Punk/Synth Pop/Synth Pop,Melancholy/Sad / Soulful,Slow Tempo/Slow/40s
456239085,Ordo Rosarius Equilibrio,A Song 4 Hate a Devotion,Songs 4 Hate a Devotion,Mixed/Mixed Group,2010,Alternative a Punk/Synth Pop/Synth Pop,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
456239084,Ordo Rosarius Equilibrio,(Apocalips Kisses) In The Eyes Of The Scarlet Ones,Apocalips,Mixed/Mixed Group,2006,Alternative a Punk/Synth Pop/Synth Pop,Sensual/Intimate,Slow Tempo/Slow/40s
456239083,Ordo Rosarius Equilibrio,Intro,Cocktails Carnage Crucifixion And Pornography,Mixed/Mixed Group,2003,Alternative a Punk/Synth Pop/Synth Pop,Somber/Solemn / Spiritual,Slow Tempo/Very Slow/20s
456239082,Ordo Rosarius Equilibrio,A World Not So Beautiful [A Song 4 The Emperor],Songs 4 Hate a Devotion,Mixed/Mixed Group,2010,Alternative a Punk/Synth Pop/Synth Pop,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/120s
456239081,Ordo Rosarius Equilibrio,First Death (Every Man Is A Moth To The Flame),4Play,Mixed/Mixed Group,2013,Alternative a Punk/Synth Pop/Synth Pop,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
456239049,Ordo Rosarius Equilibrio,Rituals of Love In The Passage of Genocide. Song of Rose,Make Love And War (The Wedlock of Equilibrium),Mixed/Mixed Group,2001,Alternative a Punk/Synth Pop/Synth Pop,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/50s
456239045,Ordo Rosarius Equilibrio,I Will Even After The Flowers Are Gone,Onani (Practice Makes Perfect),Mixed/Mixed Group,2009,Alternative a Punk/Synth Pop/Synth Pop,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/50s
436138774,Ordo Rosarius Equilibrio,Intro,Cocktails Carnage Crucifixion And Pornography,Mixed/Mixed Group,2003,Alternative a Punk/Synth Pop/Synth Pop,Somber/Solemn / Spiritual,Slow Tempo/Very Slow/20s
426181370,Ordo Rosarius Equilibrio,Lucifer In Love,Songs 4 Hate a Devotion,Mixed/Mixed Group,2010,Alternative a Punk/Synth Pop/Synth Pop,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/90s
424407063,Ordo Rosarius Equilibrio,Remember Depravity and the Orgies of Rome,Cocktails Carnage Crucifixion And Pornography,Mixed/Mixed Group,2003,Alternative a Punk/Synth Pop/Synth Pop,Aggressive/Chaotic / Intense,Medium Tempo/Medium Fast/100s
