id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239119,Samael,Diamond Drops,Era One,Male/Male Group,2012,Rock/Metal/Doom Metal,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
402666615,Samael,Further,Reign Of Light,Male/Male Group,2004,Rock/Metal/Doom Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/160s
401027668,Samael,Us,Eternal (Re-Issue),Male/Male Group,2012,Rock/Metal/Doom Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/220s
401026953,Samael,Promised Land,Solar Soul,Male/Male Group,2007,Rock/Metal/Doom Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/200s
400865920,Samael,Night Ride,Era One,Male/Male Group,2012,Rock/Metal/Doom Metal,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/90s
210100707,Samael,High Above,Reign Of Light,Male/Male Group,2004,Rock/Metal/Doom Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/150s
210099499,Samael,Quasar Waves,Solar Soul,Male/Male Group,2007,Rock/Metal/Doom Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/180s
210021034,Samael,Inch'Allah,Reign Of Light,Male/Male Group,2004,Rock/Metal/Doom Metal,Aggressive/Aggressive Power,Fast Tempo/Fast/140s
180166184,Samael,On Earth,Reign Of Light,Male/Male Group,2004,Rock/Metal/Doom Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/170s
180151458,Samael,Moongate,Reign Of Light,Male/Male Group,2004,Rock/Metal/Doom Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/190s
