id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239398,Untoten,Hexenfieber,Herz Der Finsternis,Mixed/Mixed Duo,2001,Alternative a Punk/Goth/Goth,Brooding/Energetic Melancholy,Fast Tempo/Fast/130s
404113085,Untoten,Zurück,Liebe oder Tod,Mixed/Mixed Duo,2006,Alternative a Punk/Goth/Goth,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/50s
380147023,Untoten,Love Spell,Vampire Book,Mixed/Mixed Duo,2000,Alternative a Punk/Goth/Goth,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
379983800,Untoten,Der Herzen Viele Ass Ich,Herz Der Finsternis,Mixed/Mixed Duo,2001,Alternative a Punk/Goth/Goth,Aggressive/Heavy Triumphant,Fast Tempo/Fast/170s
294793750,Untoten,Auf Auf Ihr Hexen!,Die Hexe,Mixed/Mixed Duo,2008,Alternative a Punk/Goth/Goth,Excited/Happy Excitement,Fast Tempo/Fast/170s
294793564,Untoten,Tears Of Lilith,Die Hexe,Mixed/Mixed Duo,2008,Alternative a Punk/Goth/Goth,Sophisticated/Smoky / Romantic,Slow Tempo/Very Slow/30s
268791019,Untoten,Lichtbringer,Grabsteinland Trilogie Teil II - Herrschaft Der Vampire,Mixed/Mixed Duo,2004,Alternative a Punk/Goth/Goth,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
268789026,Untoten,Gnadenlos,Haus der Lüge,Mixed/Mixed Duo,2006,Alternative a Punk/Goth/Goth,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/90s
257528316,Untoten,Niemals Niemals,Herz Der Finsternis,Mixed/Mixed Duo,2001,Alternative a Punk/Goth/Goth,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
257517635,Untoten,Der Kleine Tod,Grabsteinland Trilogie Teil II - Herrschaft Der Vampire,Mixed/Mixed Duo,2004,Alternative a Punk/Goth/Goth,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/90s
256216582,Untoten,Der schwarze Peter,Haus der Lüge,Mixed/Mixed Duo,2006,Alternative a Punk/Goth/Goth,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/100s
242056512,Untoten,Nachtgespenst,Herz Der Finsternis,Mixed/Mixed Duo,2001,Alternative a Punk/Goth/Goth,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/90s
242055647,Untoten,Herz Der Finsternis,Best Of,Mixed/Mixed Duo,0,Alternative a Punk/Goth/Goth,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
