id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239527,Various Artists,Towards The Within,Voce: Music From Women Of The World,"",1999,Pop/Easy Listening/Other Easy Listening,Serious/Hypnotic Rhythm,Medium Tempo/Medium/70s
456239513,Various Artists,The Haunted Phonograph,A Dark Cabaret 2,"",2011,Rock/Mainstream Rock/General Mainstream Rock,Lively/Showy / Rousing,Medium Tempo/Medium Fast/90s
456239402,Various Artists,Cry For You,Now 70 [Disc 2],Female/Female,2008,Pop/Western Pop/Dance Pop,Excited/Upbeat Pop Groove,Medium Tempo/Medium Fast/120s
456239232,Various Artists,Schwarz Rot Gold Sind Wir,Ballermann Hits - Die Fußball Party [Disc 3],"",2010,Pop/Western Pop/Pop Vocal,"",""
456239148,Various Artists,Let Yourself In For It (The Color Of Money/Soundtrack Version),The Color Of Money,Male/Male,1986,Pop/Western Pop/Adult Contemporary,Sentimental/Gentle Bittersweet,Slow Tempo/Slow/40s
456239079,Various Artists,Какой чудесный день,Любимые песни из мультфильмов,"",2005,Other/Children's/General Children's Music,Gritty/Depressed / Lonely,Medium Tempo/Medium Slow/60s
456239030,Various Artists,Romanoir,Heavenly Voices III,"",1995,Alternative a Punk/Alternative/Alternative Rock,Romantic/Dramatic / Romantic,Medium Tempo/Medium/60s
456239021,Various Artists,Тема Дороги,Бумер [Original Soundtrack],Male/Male,2003,Rock/Mainstream Rock/General Mainstream Rock,Fiery/Passionate Rhythm,Medium Tempo/Medium Fast/110s
439428660,Various Artists,Romanoir,Heavenly Voices III,"",1995,Alternative a Punk/Alternative/Alternative Rock,Romantic/Dramatic / Romantic,Medium Tempo/Medium/60s
435807724,Various Artists,Погляд,Брат-2,"",2000,Soundtrack/Original Film/TV Music/General Film Music,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/100s
425552593,Various Artists,Skellige,Inspired By The Witcher,"",2007,Soundtrack/Original Film/TV Music/General Film Music,Sophisticated/Smoky / Romantic,Medium Tempo/Medium/60s
423601997,Various Artists,Joint Venture Inna Village,Od Czapy Zestaw,"",2005,Other/Reggae/Dancehall,Fiery/Fiery Groove,Medium Tempo/Medium Fast/120s
423601994,Various Artists,Joint Venture Inna Village,Od Czapy Zestaw,"",2005,Other/Reggae/Dancehall,Fiery/Fiery Groove,Medium Tempo/Medium Fast/120s
423576321,Various Artists,Joint Venture Inna Village,Od Czapy Zestaw,"",2005,Other/Reggae/Dancehall,Fiery/Fiery Groove,Medium Tempo/Medium Fast/120s
423562389,Various Artists,Joint Venture Inna Village,Od Czapy Zestaw,"",2005,Other/Reggae/Dancehall,Fiery/Fiery Groove,Medium Tempo/Medium Fast/120s
423559914,Various Artists,Joint Venture Inna Village,Od Czapy Zestaw,"",2005,Other/Reggae/Dancehall,Fiery/Fiery Groove,Medium Tempo/Medium Fast/120s
421898335,Various Artists,Cinnamon Girl,Electro Swing,Mixed/Mixed Group,2009,Electronica/Electronica Fusion/Ethno-Lounge Electronica,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/120s
381398032,Various Artists,Orinoco Flow,Lo Mejor de la Musica De Los Dioses 2 [Disc 1],"",2005,Other/New Age/General New Age,Empowering/Dramatic Emotion,Medium Tempo/Medium Slow/50s
373732837,Various Artists,Faithles - Remix Afro-Celt,Celtic Soundclash,"",2002,Electronica/Downtempo Lounge a Ambient/Trip Hop,Energizing/Abstract Beat,Fast Tempo/Fast/130s
373394625,Various Artists,Main Title from Children of a Lesser God (1986),Paramount Pictures 90th Anniversary Memorable Scores [Disc 2],Female/Female,2002,Soundtrack/Original Film/TV Music/General Film Music,Romantic/Dramatic / Romantic,Slow Tempo/Very Slow/30s
357456276,Various Artists,Флейта,Нашествие 14,"",2003,Rock/70's Rock/Classic Pop-Rock,"",""
369696854,Various Artists,Romanoir,Heavenly Voices III,"",1995,Alternative a Punk/Alternative/Alternative Rock,Romantic/Dramatic / Romantic,Medium Tempo/Medium/60s
367563941,Various Artists,Флейта,Нашествие 14,"",2003,Rock/70's Rock/Classic Pop-Rock,"",""
362784539,Various Artists,The Fields Of Athenry,Irish Drinking Songs,"",2005,Traditional/Folk/Traditional U.S. Folk,Romantic/Heartfelt Passion,Medium Tempo/Medium Slow/50s
362780015,Various Artists,The Fields Of Athenry,Irish Drinking Songs,"",2005,Traditional/Folk/Traditional U.S. Folk,Romantic/Heartfelt Passion,Medium Tempo/Medium Slow/50s
362767719,Various Artists,The Fields Of Athenry,Irish Drinking Songs,"",2005,Traditional/Folk/Traditional U.S. Folk,Romantic/Heartfelt Passion,Medium Tempo/Medium Slow/50s
363040435,Various Artists,Флейта,Нашествие 14,"",2003,Rock/70's Rock/Classic Pop-Rock,"",""
358061121,Various Artists,Own Little World (Remorse Code Remix),The Hills Have Eyes 2 (The Album),Male/Male,2010,Alternative a Punk/Industrial/Industrial,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/90s
357457848,Various Artists,Флейта,Нашествие 14,"",2003,Rock/70's Rock/Classic Pop-Rock,"",""
313465339,Various Artists,Romanoir,Heavenly Voices III,"",1995,Alternative a Punk/Alternative/Alternative Rock,Romantic/Dramatic / Romantic,Medium Tempo/Medium/60s
296236765,Various Artists,Paradise (Flower Boys OST main theme),花より男子 Boys Over Flowers Original Sound Track,Male/Male Group,2009,Pop/Korean Pop/K-Pop,Urgent/Dark Urgent,Medium Tempo/Medium Fast/120s
294446712,Various Artists,Scwartz's Sirba/A Briv Fun Yisroel,The Rough Guide To Klezmer Revival,"",2008,Traditional/European Traditional/Klezmer a European Jewish,Sophisticated/Dark Playful,Medium Tempo/Medium Fast/110s
292214002,Various Artists,Я просто от тебя уйду,Русская дискотека Vol.3,"",2006,Pop/Western Pop/Pop Vocal,Urgent/Dark Pop Intensity,Fast Tempo/Fast/130s
284445337,Various Artists,House Of The Rising Sun,Wtno Featured Music Selection,"",2014,Pop/Western Pop/Pop Vocal,"",""
272086379,Various Artists,Terrible Lie (Made Famous by Nine Inch Nails),Recovered In Nails - A Tribute To Nine Inch Nails 2.001,"",2010,Rock/Metal/Heavy Metal,Aggressive/Dark Hard Beat,Medium Tempo/Medium/80s
250192933,Various Artists,My Pint,Punk Rock Concoction Volume 2,"",2008,Alternative a Punk/Alternative/Alternative Rock,Excited/Happy Excitement,Fast Tempo/Fast/170s
243982156,Various Artists,It's No Good (Made Famous by Depeche Mode),Electro-Mode - An Electro Tribute To Depeche Mode,"",2009,Electronica/Electronica Mainstream/Pop Electronica,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/90s
239193210,Various Artists,Всё пройдет,Первая Ночь с Олегом Меньшиковым,"",2005,Pop/Western Pop/Pop Vocal,Urgent/Energetic Anxious,Fast Tempo/Fast/150s
228363310,Various Artists,Отряд Не Заметил Потери Бойца,Гражданская Оборона <Трибьют>,"",2001,Alternative a Punk/Alternative/Alternative Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/100s
223273734,Various Artists,Флейта,Нашествие 14,"",2003,Rock/70's Rock/Classic Pop-Rock,"",""
220108989,Various Artists,Introduction,Lola rennt,"",1998,Soundtrack/Original Film/TV Music/General Film Music,Energizing/Abstract Beat,Fast Tempo/Fast/130s
209211549,Various Artists,Party Like A Rock Star,Universal AaR Sampler April 2007,"",2007,Pop/Western Pop/Pop Vocal,Defiant/Attitude / Defiant,Medium Tempo/Medium Fast/90s
206658264,Various Artists,Paradise (Flower Boys OST main theme),花より男子 Boys Over Flowers Original Sound Track,Male/Male Group,2009,Pop/Korean Pop/K-Pop,Urgent/Dark Urgent,Medium Tempo/Medium Fast/120s
206218769,Various Artists,Lär av historien,Göteborgsprogg 1970-80,"",2007,Rock/Folk Rock/General Folk Rock,Rowdy/Ramshackle / Rollicking,Medium Tempo/Medium/80s
193351726,Various Artists,Какой чудесный день,Любимые песни из мультфильмов,"",2005,Other/Children's/General Children's Music,Gritty/Depressed / Lonely,Medium Tempo/Medium Slow/60s
