id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
367533943,Наутилус Помпилиус,Воздух,Титаник,Male/Male Group,1994,Rock/Mainstream Rock/General Mainstream Rock,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/60s
186458114,Наутилус Помпилиус,Стриптиз,Князь тишины,Male/Male Group,1989,"",Urgent/Dark Pop,Medium Tempo/Medium Fast/110s
359035258,Наутилус Помпилиус,К Элоизе,Титаник,Male/Male Group,1994,Rock/Mainstream Rock/General Mainstream Rock,Fiery/Energetic Abstract Groove,Fast Tempo/Fast/130s
219392221,Наутилус Помпилиус,Во время дождя,Яблокитай,Male/Male Group,1997,Rock/Mainstream Rock/General Mainstream Rock,Rowdy/Confident / Tough,Medium Tempo/Medium/70s
187124341,Наутилус Помпилиус,Одинокая Птица,Крылья,Male/Male Group,1995,"",Sensual/Sensual Groove,Medium Tempo/Medium Slow/50s
186443309,Наутилус Помпилиус,Черные птицы,Наугад,Male/Male Group,1994,Rock/Mainstream Rock/General Mainstream Rock,Sophisticated/Dark Playful,Medium Tempo/Medium Fast/120s
186456997,Наутилус Помпилиус,Колеса любви,Титаник,Male/Male Group,1994,Rock/Mainstream Rock/General Mainstream Rock,Excited/Loud Celebratory,Fast Tempo/Fast/150s
186451374,Наутилус Помпилиус,Нежный вампир,Яблокитай,Male/Male Group,1997,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/110s
186449885,Наутилус Помпилиус,На Берегу Безымянной Реки,Новая Коллекция: Лучшие Песни,Male/Male Group,2007,"",Fiery/Dark Sparkling Lyrical,Medium Tempo/Medium Fast/110s
186435241,Наутилус Помпилиус,Хлоп-хлоп,Акустика: Лучшие песни,Male/Male Group,1996,Rock/Mainstream Rock/General Mainstream Rock,Urgent/Dark Pop,Medium Tempo/Medium Fast/110s
