id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
421622958,The Bones,Chainsaw,Flash The Leather,Male/Male Group,2015,Alternative a Punk/Punk/General Punk,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/180s
421622922,The Bones,The Compadres,Flash The Leather,Male/Male Group,2015,Alternative a Punk/Punk/General Punk,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/190s
412404702,The Offspring,Hit That,Splinter,Male/Male Group,2003,Alternative a Punk/Punk/General Punk,Rowdy/Driving Dark Groove,Fast Tempo/Fast/130s
400890363,Hank Williams III,I'm Drunk Again,Hillbilly Joker,Male/Male,2011,Alternative a Punk/Punk/General Punk,Aggressive/Heavy Triumphant,Medium Tempo/Medium Fast/120s
393253584,La Chanson Noire,Cornucópia,Cabaret Portugal,"",2012,Alternative a Punk/Punk/General Punk,Brooding/Dreamy Brooding,Medium Tempo/Medium/80s
374113044,The BossHoss,Do It,Flames Of Fame,Male/Male Group,2013,Alternative a Punk/Punk/General Punk,Urgent/Dark Pop,Medium Tempo/Medium Fast/90s
374009720,The BossHoss,Word Up,Internashville Urban Hymns,Male/Male Group,2005,Alternative a Punk/Punk/General Punk,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
374022097,The BossHoss,Whatever,Flames Of Fame,Male/Male Group,2013,Alternative a Punk/Punk/General Punk,Rowdy/Confident / Tough,Medium Tempo/Medium/70s
374021124,The BossHoss,Truck 'n' Roll Rules,Stallion Battalion,Male/Male Group,2007,Alternative a Punk/Punk/General Punk,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/120s
373897692,The BossHoss,Yee Haw,Internashville Urban Hymns,Male/Male Group,2005,Alternative a Punk/Punk/General Punk,Rowdy/Ramshackle / Rollicking,Medium Tempo/Medium Fast/110s
340340607,The Hives,The Stomp,Barely Legal,Male/Male Group,1997,Alternative a Punk/Punk/General Punk,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/90s
338653909,The Hives,Two-Timing Touch And Broken Bones,Tyrannosaurus Hives,Male/Male Group,2004,Alternative a Punk/Punk/General Punk,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
279390149,Красные Звёзды,Баллада об уходе в рай,Свобода 2012,"",2012,Alternative a Punk/Punk/General Punk,"",""
243979800,Бригадный Подряд,Сомнамбула,Сомнамбула,"",2016,Alternative a Punk/Punk/General Punk,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
230181892,Бригадный Подряд,Всерьёз (Новая версия),Страна возможностей,"",2013,Alternative a Punk/Punk/General Punk,Defiant/Hard Positive Excitement,Fast Tempo/Fast/150s
227652708,Бригадный Подряд,Гений,Страна возможностей,"",2013,Alternative a Punk/Punk/General Punk,Defiant/Hard Dark Excitement,Fast Tempo/Fast/140s
196062408,The Offspring,The End Of The Line,Americana,Male/Male Group,1998,Alternative a Punk/Punk/General Punk,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
183041969,Fiddler's Green,Into Your Mind,Drive Me Mad!,Male/Male Group,2007,Alternative a Punk/Punk/General Punk,Defiant/Hard Dark Excitement,Fast Tempo/Fast/140s
