id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
418280802,Johnny Cash,God's Gonna Cut You Down,American V: A Hundred Highways,Male/Male,2006,Traditional/Classic Country/Outlaw Country,Serious/Hypnotic Rhythm,Medium Tempo/Medium/80s
416776575,Jimmy Buffett,Someone I Used To Love,License To Chill,Mixed/Mixed Duo,2004,Traditional/Classic Country/Neo-Traditional Country,Sentimental/Tender / Sincere,Slow Tempo/Slow/40s
360730807,Townes Van Zandt,Waitin' Around To Die,Texas Troubadour [Disc 1],Male/Male,2005,Traditional/Classic Country/Texas Country,Gritty/Gritty / Soulful,Medium Tempo/Medium Slow/50s
360724926,Townes Van Zandt,Mr. Mudd a Mr. Gold,Live At The Old Quarter Houston Texas,Male/Male,2007,Traditional/Classic Country/Texas Country,Sentimental/Cool Melancholy,Medium Tempo/Medium Fast/90s
272088794,Johnny Cash,Hurt,American IV: The Man Comes Around,Male/Male,2002,Traditional/Classic Country/Outlaw Country,Gritty/Sober / Determined,Medium Tempo/Medium Fast/90s
267071122,Waylon Jennings,Waymore's Blues,Nashville Rebel,Male/Male,2006,Traditional/Classic Country/Outlaw Country,Gritty/Sober / Determined,Medium Tempo/Medium/70s
267070482,Townes Van Zandt,Lungs,Live At The Old Quarter Houston Texas,Male/Male,2007,Traditional/Classic Country/Texas Country,Sentimental/Gentle Bittersweet,Medium Tempo/Medium/60s
264426410,Waylon Jennings Johnny Cash a Willie Nelson,The Highwayman,Country Highwaymen,"",0,Traditional/Classic Country/Outlaw Country,Upbeat/Happy / Soulful,Medium Tempo/Medium Fast/110s
264240428,Johnny Cash,Casey's Last Ride,Rainbow,Male/Male,2010,Traditional/Classic Country/Outlaw Country,Sensual/Sensual Groove,Slow Tempo/Slow/40s
196918241,Townes Van Zandt,St. John The Gambler,Legend [Disc 1],Male/Male,2003,Traditional/Classic Country/Texas Country,Sentimental/Lyrical Sentimental,Slow Tempo/Slow/40s
180127371,Johnny Cash,When The Man Comes Around,Johnny Cash Greatest Hits,Male/Male,0,Traditional/Classic Country/Outlaw Country,Easygoing/Friendly,Medium Tempo/Medium Slow/50s
180039527,Johnny Cash,Ain't No Grave,American VI: Ain't No Grave,Male/Male,2010,Traditional/Classic Country/Outlaw Country,Gritty/Sober / Determined,Medium Tempo/Medium/70s
175079523,Jace Everett,Bad Things,Jace Everett,Male/Male,2006,Traditional/Classic Country/Texas Country,Gritty/Strumming Yearning,Medium Tempo/Medium/60s
