id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239538,Asteroid,Wolf a Snake,III,"",2016,Rock/70's Rock/Classic Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium/80s
456239537,Asteroid,Last Days,III,"",2016,Rock/70's Rock/Classic Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium/60s
456239536,Asteroid,Pale Moon,III,"",2016,Rock/70's Rock/Classic Rock,Brooding/Alienated / Brooding,Medium Tempo/Medium Slow/60s
393057167,Manfred Mann's Earth Band,Tribute,Manfred Mann's Earth Band,Male/Male Group,1972,Rock/70's Rock/Classic Rock,Somber/Enigmatic / Mysterious,Slow Tempo/Slow/40s
374184074,Dire Straits,Once Upon A Time In The West,Communique,Male/Male Group,1979,Rock/70's Rock/Classic Rock,Sensual/Sensual Groove,Medium Tempo/Medium/70s
372955905,Creedence Clearwater Revival,Have You Ever Seen The Rain?,Pendulum,Male/Male Group,1970,Rock/70's Rock/Classic Rock,Rowdy/Ramshackle / Rollicking,Medium Tempo/Medium Fast/110s
363927836,Jethro Tull,Aqualung,Aqualung,Male/Male Group,1971,Rock/70's Rock/Classic Rock,Upbeat/Happy / Soulful,Medium Tempo/Medium Fast/120s
363266288,Jethro Tull,A New Day Yesterday,Stand Up,Male/Male Group,1969,Rock/70's Rock/Classic Rock,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/90s
303821928,Creedence Clearwater Revival,Fortunate Son,Willy And The Poor Boys,Male/Male Group,1969,Rock/70's Rock/Classic Rock,Upbeat/Party / Fun,Fast Tempo/Fast/130s
184823622,Dire Straits a Mark Knopfler,Money For Nothing,Private Investigations: The Best Of Dire Straits a Mark Knopfler,Male/Male Group,2005,Rock/70's Rock/Classic Rock,Brooding/Energetic Melancholy,Fast Tempo/Fast/130s
