id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
438990894,Archive,Nothing Else,Londinium,Mixed/Mixed Group,1996,Electronica/Downtempo Lounge a Ambient/Trip Hop,Sensual/Dreamy Pulse,Medium Tempo/Medium/80s
438990885,Aim,Cold Water Music,Cold Water Music,Male/Male,1999,Electronica/Downtempo Lounge a Ambient/Trip Hop,Cool/Wary / Defiant,Medium Tempo/Medium Slow/50s
420556381,The Future Sound Of London,Cascade,Lifeforms [Disc 1],Male/Male Duo,1994,Electronica/Downtempo Lounge a Ambient/Ambient Electronica,Energizing/Heavy Beat,Medium Tempo/Medium Fast/120s
418020529,UNKLE,Eye For An Eye,Never Never Land,Male/Male Group,2003,Electronica/Downtempo Lounge a Ambient/Trip Hop,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/120s
413856805,Tricky,Wait For God,Vulnerable,Male/Male,2003,Electronica/Downtempo Lounge a Ambient/Trip Hop,Defiant/Heavy Brooding,Fast Tempo/Fast/140s
413636249,Archive,Again,You All Look The Same To Me,Mixed/Mixed Group,2002,Electronica/Downtempo Lounge a Ambient/Trip Hop,Somber/Enigmatic / Mysterious,Medium Tempo/Medium/70s
413634766,Archive,Nothing Else,Londinium,Mixed/Mixed Group,1996,Electronica/Downtempo Lounge a Ambient/Trip Hop,Sensual/Dreamy Pulse,Medium Tempo/Medium/80s
410168772,Archive,Bullets,Controlling Crowds,Mixed/Mixed Group,2009,Electronica/Downtempo Lounge a Ambient/Trip Hop,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
407946445,Blockhead,Insomniac Olympics,Music By Cavelight,Male/Male,2004,Electronica/Downtempo Lounge a Ambient/Ambient Electronica,Sensual/Dreamy Pulse,Slow Tempo/Slow/40s
405106561,Massive Attack,Unfinished Sympathy,Blue Lines,Mixed/Mixed Group,1991,Electronica/Downtempo Lounge a Ambient/Trip Hop,Upbeat/Soulful / Easygoing,Medium Tempo/Medium Fast/110s
401489584,Massive Attack,Angel,Mezzanine,Mixed/Mixed Group,1998,Electronica/Downtempo Lounge a Ambient/Trip Hop,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
397342066,Portishead,Over,Portishead,Mixed/Mixed Group,1997,Electronica/Downtempo Lounge a Ambient/Trip Hop,Gritty/Gritty / Soulful,Medium Tempo/Medium/70s
397342059,Portishead,Mourning Air,Portishead,Mixed/Mixed Group,1997,Electronica/Downtempo Lounge a Ambient/Trip Hop,Somber/Creepy / Ominous,Medium Tempo/Medium/70s
397337732,Portishead,All Mine,Portishead,Mixed/Mixed Group,1997,Electronica/Downtempo Lounge a Ambient/Trip Hop,Aggressive/Chaotic / Intense,Medium Tempo/Medium Fast/110s
395829920,Zero7,In The Waiting Line,Simple Things,"",0,Electronica/Downtempo Lounge a Ambient/Ambient Electronica,"",""
373732837,Various Artists,Faithles - Remix Afro-Celt,Celtic Soundclash,"",2002,Electronica/Downtempo Lounge a Ambient/Trip Hop,Energizing/Abstract Beat,Fast Tempo/Fast/130s
