id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239313,Нейромонах Феофан,По ночам,В душе драм в сердце светлая русь!,"",2015,Electronica/Dance a Club/Club Dance,Aggressive/Dark Hard Beat,Medium Tempo/Medium/80s
456239156,Mirreya,Grey,Grey,"",2016,Electronica/Dance a Club/Club Dance,Excited/Euphoric Energy,Medium Tempo/Medium Fast/100s
423614949,Aivoaula,Horseisland dub,Braindrop,"",2008,Electronica/Dance a Club/Club Dance,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
423614834,Aivoaula,Gurkha,Braindrop,"",2008,Electronica/Dance a Club/Club Dance,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/60s
416079398,Markus Guentner,Ejecta,Theia,"",2015,Electronica/Dance a Club/Club Dance,Somber/Dark Cosmic,Slow Tempo/Very Slow/20s
404692174,Нейромонах Феофан,Под драм легко,В душе драм в сердце светлая русь!,"",2015,Electronica/Dance a Club/Club Dance,Energizing/Edgy / Sexy,Medium Tempo/Medium/80s
404691326,Нейромонах Феофан,Пляски с медведем,В душе драм в сердце светлая русь!,"",2015,Electronica/Dance a Club/Club Dance,Excited/Euphoric Energy,Fast Tempo/Fast/170s
398416401,Anders Manga,Glamour,We Won't Stay Dead [2000​-​2010],"",2016,Electronica/Dance a Club/Club Dance,"",""
364196975,Sabled Sun,The Space Center,2147,"",2015,Electronica/Dance a Club/Club Dance,Somber/Creepy / Ominous,Medium Tempo/Medium Slow/50s
364186441,Sabled Sun,Emulation,2147,"",2015,Electronica/Dance a Club/Club Dance,Somber/Enigmatic / Mysterious,Slow Tempo/Slow/40s
364186003,Sabled Sun,Our Mechanical Children,2147,"",2015,Electronica/Dance a Club/Club Dance,Somber/Creepy / Ominous,Slow Tempo/Very Slow/30s
315864366,Twenty 4 Seven Feat. Stay-C a Nance,Leave Them Alone,Slave To The Music,Male/Male Group,1993,Electronica/Dance a Club/Club Dance,Excited/Euphoric Energy,Fast Tempo/Fast/130s
313517398,Aura Noctis,Viajes (Live),En Directo 2015,"",2015,Electronica/Dance a Club/Club Dance,Romantic/Dramatic / Romantic,Medium Tempo/Medium Slow/50s
284040278,Mundtot,Endzeit,Spätsommer (Album Version),"",2012,Electronica/Dance a Club/Club Dance,Aggressive/Heavy Triumphant,Fast Tempo/Fast/140s
283231544,Mundtot,Lebensleid,Spätsommer (Album Version),"",2012,Electronica/Dance a Club/Club Dance,Aggressive/Dark Hard Beat,Fast Tempo/Fast/150s
230610361,Anders Manga,Murder In The Convent,We Won't Stay Dead [2000​-​2010],"",2016,Electronica/Dance a Club/Club Dance,"",""
192594229,Anders Manga,Fortress In My Heart,We Won't Stay Dead [2000​-​2010],"",2016,Electronica/Dance a Club/Club Dance,"",""
188637505,Various Artists,The Groove / Intro / Your Body / Deep At Night,The Mash Up Mix 2010 [Disc1],"",2010,Electronica/Dance a Club/Club Dance,"",""
184748161,Protector 101,Uphold The Law (Remastered),The Prime Directives (Remastered),"",2016,Electronica/Dance a Club/Club Dance,"",""
