id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239488,The Mount Fuji Doomjazz Corporation,Three,Doomjazz Future Corpses!,"",2007,Electronica/Electronica Mainstream/Pop Electronica,Somber/Creepy / Ominous,Slow Tempo/Very Slow/30s
456239456,Ibiza Fever,Set You Free (Amsterdam Funk Mix),Ibiza Fever [Disc 2],"",2004,Electronica/House/General House,Energizing/Heavy Beat,Medium Tempo/Medium Fast/120s
456239438,Clinton,Buttoned Down Disco (The Scratch Perverts Boil In The Bag Mix),Disco a The Halfway To Discontent,Male/Male Duo,1999,Electronica/Electronica Mainstream/Big Beat,Aggressive/Dark Hard Beat,Fast Tempo/Fast/140s
456239375,Lana Del Rey,Summertime Sadness,Born To Die,Female/Female,2012,Electronica/Electronica Mainstream/Pop Electronica,Urgent/Dark Pop Intensity,Medium Tempo/Medium Fast/110s
456239357,Kutiman,Jaffa Beach,6AM,Male/Male,2016,Electronica/Electronica Fusion/Ethno-Lounge Electronica,Brooding/Dreamy Brooding,Medium Tempo/Medium/80s
456239313,Нейромонах Феофан,По ночам,В душе драм в сердце светлая русь!,"",2015,Electronica/Dance a Club/Club Dance,Aggressive/Dark Hard Beat,Medium Tempo/Medium/80s
456239312,Нейромонах Феофан,Повозочка,Велики силы добра,"",2016,Electronica/Electronica Mainstream/Pop Electronica,Cool/Cool Confidence,Medium Tempo/Medium/80s
456239308,Нейромонах Феофан,Изба ходит ходуном,Изба ходит ходуном - Single,"",2016,Electronica/Electronica Mainstream/Pop Electronica,Energizing/Edgy / Sexy,Medium Tempo/Medium/80s
456239201,Anders Manga,X's And The Eyes,X's a The Eyes,"",2008,Electronica/Electronica Mainstream/Pop Electronica,Energizing/Heavy Beat,Medium Tempo/Medium Fast/90s
456239163,Outersect,Mama Night's Tune,Fenris Licks Your Hand,"",2016,Electronica/Electronica Mainstream/Pop Electronica,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
456239152,Émilie Simon,Paris j'ai pris perpète,Mue,Female/Female,2014,Electronica/Electronica Mainstream/Pop Electronica,Sophisticated/Smoky / Romantic,Medium Tempo/Medium/70s
456239156,Mirreya,Grey,Grey,"",2016,Electronica/Dance a Club/Club Dance,Excited/Euphoric Energy,Medium Tempo/Medium Fast/100s
456239104,The Crystal Method,Comin' Back,Vegas,Male/Male Duo,1997,Electronica/Techno/Breakbeat,Energizing/Abstract Beat,Medium Tempo/Medium Fast/120s
442924720,The Chemical Brothers,Escape 700,Hanna: Original Motion Picture Soundtrack,Male/Male Duo,2011,Electronica/Electronica Mainstream/Big Beat,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/110s
442913942,Bally Sagoo,Tum Bin Jiya,Rising From The East,Male/Male,1996,Electronica/Electronica Fusion/South Asian Electronica,Sensual/Dreamy Pulse,Slow Tempo/Slow/40s
438990897,Moby,Wait For Me,Wait For Me,Male/Male,2009,Electronica/Electronica Mainstream/Pop Electronica,Somber/Enigmatic / Mysterious,Slow Tempo/Slow/40s
