id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239333,The Blackwater Fever,Sweet Misery,Sweet Misery,Male/Male Group,2008,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Brooding/Evocative / Intriguing,Medium Tempo/Medium/70s
456239224,The Black Keys,Gold On The Ceiling,El Camino,Male/Male Duo,2011,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Defiant/Heavy Brooding,Medium Tempo/Medium/60s
456239044,The Kills,Murdermile,No Wow,Mixed/Mixed Duo,2004,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
456239040,The Kills,What New York Used To Be,Midnight Boom,Mixed/Mixed Duo,2008,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Urgent/Dark Pop Intensity,Fast Tempo/Fast/140s
456239042,The Kills,No Wow,No Wow,Mixed/Mixed Duo,2004,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/120s
456239041,The Kills,Night Train,Midnight Boom,Mixed/Mixed Duo,2008,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Sensual/Intimate,Medium Tempo/Medium Slow/60s
456239032,The Kills,Doing It To Death,Ash a Ice,Mixed/Mixed Duo,2016,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
426189605,The Dead Weather,Outside,Horehound,Mixed/Mixed Group,0,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,"",""
421865244,Deap Vally,Baby I Call Hell,Sistrionix,Female/Female Duo,2013,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Aggressive/Aggressive Power,Medium Tempo/Medium/80s
410408253,Royal Blood,Come On Over,Royal Blood,Male/Male Duo,2014,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/210s
410372627,The Black Keys,Little Black Submarines,El Camino,Male/Male Duo,2011,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Brooding/Evocative / Intriguing,Medium Tempo/Medium/70s
410371614,The Black Keys,Lonely Boy,El Camino,Male/Male Duo,2011,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
404563861,The Kills,Satellite,Blood Pressures,Mixed/Mixed Duo,2011,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
404562424,The Kills,Damned If She Do,Blood Pressures,Mixed/Mixed Duo,2011,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/100s
404379346,The Black Keys,Tighten Up,Brothers,Male/Male Duo,2010,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Cool/Wary / Defiant,Medium Tempo/Medium Slow/50s
404360373,The Fratellis,All Along The Watchtower,Costello Music,Male/Male Group,0,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,"",""
404345514,The Kills,Baby Says,Blood Pressures,Mixed/Mixed Duo,2011,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/110s
401010885,The Blackwater Fever,The Depths,The Depths,Male/Male Group,2013,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Brooding/Alienated / Brooding,Medium Tempo/Medium Slow/60s
400890526,The Blackwater Fever,Can't Help Yourself,The Depths,Male/Male Group,2013,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Brooding/Alienated / Brooding,Medium Tempo/Medium/70s
401009503,The Blackwater Fever,Blackwater,Sweet Misery,Male/Male Group,2008,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Rowdy/Driving Dark Groove,Medium Tempo/Medium/80s
401008320,The Blackwater Fever,Don't Fuck With Joe,The Depths,Male/Male Group,2013,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
367437449,Crocodiles,Do the Void,Boys,Male/Male Duo,2015,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Rowdy/Wild / Rowdy,Fast Tempo/Fast/150s
267070570,Black Rebel Motorcycle Club,Fault Line,Howl,Male/Male Group,2005,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Gritty/Sober / Determined,Medium Tempo/Medium/70s
215460681,The Duke Spirit,Surrender,Bruiser,Mixed/Mixed Group,2011,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Rowdy/Wild / Rowdy,Fast Tempo/Fast/150s
215459182,The Duke Spirit,Send A Little Love Token,Neptune,Mixed/Mixed Group,2008,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Brooding/Alienated / Brooding,Medium Tempo/Medium/70s
215451639,The Duke Spirit,The Step And The Walk,Neptune,Mixed/Mixed Group,2008,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
215007036,The Duke Spirit,Into The Fold,Neptune,Mixed/Mixed Group,2008,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Brooding/Alienated / Brooding,Medium Tempo/Medium/80s
194970340,The Vines,Fuck The World,Winning Days,Male/Male Group,2004,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Defiant/Hard Dark Excitement,Fast Tempo/Fast/130s
194531916,22-20s,22 Days,22-20s,Male/Male Group,2004,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Rowdy/Wild / Rowdy,Medium Tempo/Medium Fast/100s
194530879,22-20s,Shoot Your Gun,22-20s,Male/Male Group,2004,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/110s
194472536,22-20s,Such A Fool,22-20s,Male/Male Group,2004,Alternative a Punk/Garage Rock Revival/Garage Rock Revival,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/120s
