id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239318,Elevator To Hell,Roger And The Hair (Album),Parts 1-3,Mixed/Mixed Group,2008,Alternative a Punk/Indie Rock/General Indie Rock,Aggressive/Aggressive Power,Medium Tempo/Medium/80s
456239316,Elevator To Hell,Roger And The Hair (Album),Parts 1-3,Mixed/Mixed Group,2008,Alternative a Punk/Indie Rock/General Indie Rock,Aggressive/Aggressive Power,Medium Tempo/Medium/80s
439367989,Golden Apes,The Archers,The Langsyne Litanies,"",2014,Alternative a Punk/Indie Rock/General Indie Rock,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/90s
439358132,Golden Apes,Devil,Riot,"",2012,Alternative a Punk/Indie Rock/General Indie Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
424651282,O. Children,Ruins,Ruins [Single],"",2010,Alternative a Punk/Indie Rock/General Indie Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
411134978,Mud Flow,The Sense Of Me,A Life On Standby,Male/Male Group,2004,Alternative a Punk/Indie Rock/General Indie Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
408692664,Walter Sickert a The Army Of Broken Toys,Devil's In The Details,Soft Time Traveler,"",2013,Alternative a Punk/Indie Rock/General Indie Rock,Gritty/Gritty / Soulful,Medium Tempo/Medium/70s
379946904,Golden Apes,Rosary,The Langsyne Litanies,"",2014,Alternative a Punk/Indie Rock/General Indie Rock,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/120s
366344081,Balthazar,The Boatman,Balthazar - Applause,Mixed/Mixed Group,2011,Alternative a Punk/Indie Rock/General Indie Rock,Cool/Wary / Defiant,Medium Tempo/Medium/70s
366334975,Pale Honey,Tease,Pale Honey,Female/Female Duo,2015,Alternative a Punk/Indie Rock/General Indie Rock,Defiant/Attitude / Defiant,Medium Tempo/Medium Slow/60s
366330551,Pale Honey,Youth,Pale Honey,Female/Female Duo,2015,Alternative a Punk/Indie Rock/General Indie Rock,Urgent/Dark Pop,Medium Tempo/Medium Fast/120s
345438057,José González,Crosses,Veneer,Male/Male,2003,Alternative a Punk/Indie Rock/General Indie Rock,Melancholy/Light Melancholy,Medium Tempo/Medium/60s
313539299,Aura Noctis,Dritte Reise,Itineris I,"",2011,Alternative a Punk/Indie Rock/General Indie Rock,Melancholy/Wistful / Forlorn,Slow Tempo/Very Slow/30s
284039946,Mundtot,Schönster Traum,Schatten,"",2014,Alternative a Punk/Indie Rock/General Indie Rock,Aggressive/Aggressive Power,Medium Tempo/Medium/80s
248812076,Eels,Trouble With Dreams,Blinking Lights And Other Revelations [Disc 1],Male/Male Group,2005,Alternative a Punk/Indie Rock/General Indie Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
209185050,Arcade Fire,Abraham's Daughter,Abraham's Daughter,Mixed/Mixed Group,0,Alternative a Punk/Indie Rock/General Indie Rock,Brooding/Alienated / Brooding,Medium Tempo/Medium/70s
199467625,Eels,Lone Wolf,Shootenanny!,Male/Male Group,2003,Alternative a Punk/Indie Rock/General Indie Rock,Yearning/Sensitive / Exploring,Medium Tempo/Medium Slow/60s
199467061,Eels,Fresh Blood,Hombre Lobo,Male/Male Group,2009,Alternative a Punk/Indie Rock/General Indie Rock,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/90s
199005831,Pete Doherty,I Am The Rain,Grace/Wastelands,Male/Male,2009,Alternative a Punk/Indie Rock/General Indie Rock,Empowering/Idealistic / Stirring,Medium Tempo/Medium Slow/60s
191323510,Foxy Shazam,Ghost Animals,Introducing,Mixed/Mixed Group,2008,Alternative a Punk/Indie Rock/General Indie Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
191323506,Foxy Shazam,Killin' It,Foxy Shazam,Mixed/Mixed Group,2010,Alternative a Punk/Indie Rock/General Indie Rock,Defiant/Heavy Brooding,Fast Tempo/Fast/140s
191323501,Foxy Shazam,I Wanna Be Yours,The Church of Rock and Roll,Mixed/Mixed Group,2012,Alternative a Punk/Indie Rock/General Indie Rock,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/120s
