id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239495,Space Chaser,Judgement Day,Dead Sun Rising,"",2016,Rock/Metal/Heavy Metal,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/100s
456239493,Space Chaser,Xenomorph,Dead Sun Rising,"",2016,Rock/Metal/Heavy Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/90s
456239434,Bloody Hammers,Infinite Gaze To The Sun,Lovely Sort of Death,"",2016,Rock/Metal/Heavy Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/110s
456239433,Bloody Hammers,Messalina,Lovely Sort of Death,"",2016,Rock/Metal/Heavy Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
456239432,Bloody Hammers,The Reaper Comes,The Reaper Comes,"",2016,Rock/Metal/Heavy Metal,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
456239431,Bloody Hammers,Lights Come Alive,Lovely Sort of Death,"",2016,Rock/Metal/Heavy Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/100s
456239430,Bloody Hammers,Bloodletting On The Kiss,Bloodletting On The Kiss,"",2016,Rock/Metal/Heavy Metal,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/90s
456239320,Schwarzer Engel,Sonnenanbeterin,Träume Einer Nacht,"",2012,Rock/Metal/Heavy Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/130s
456239319,Schwarzer Engel,Der Sturm,Apokalypse,"",2012,Rock/Metal/Heavy Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/200s
456239321,Schwarzer Engel,Halb-Gott,Träume Einer Nacht,"",2012,Rock/Metal/Heavy Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/150s
456239227,Mygrain,Xenomorphic,Mygrain,"",2011,Rock/Metal/Heavy Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
456239017,Mountain Witch,The Dead Won't Sleep,Burning Village,"",2016,Rock/Metal/Heavy Metal,Defiant/Heavy Brooding,Fast Tempo/Fast/150s
436532347,Luca Turilli's Rhapsody,Excalibur,Ascending To Infinity,"",2012,Rock/Metal/Heavy Metal,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
425552598,Kivimetsän Druidi,Tuoppein'nostelulaulu,Betrayal Justice Revenge,"",2010,Rock/Metal/Heavy Metal,"",""
422139318,Übermensch,Weine Nicht Um Mich,Der Visionär,"",2013,Rock/Metal/Heavy Metal,"",""
421895251,Redman Of Fire,Suffering Hapyness,Origén,"",2015,Rock/Metal/Heavy Metal,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/90s
420484371,Conquered Mind,You Gave Me Fire,Conqueror,"",2015,Rock/Metal/Heavy Metal,"",""
419963217,Julian Lehmann,Siegfrieds Song,Witchery,"",2015,Rock/Metal/Heavy Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
418300927,Julian Lehmann,Way To Victory,Witchery,"",2015,Rock/Metal/Heavy Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/100s
418299696,Julian Lehmann,Storyteller,Witchery,"",2015,Rock/Metal/Heavy Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/100s
417973890,Tengger Cavalry,金帐领主 / Golden Horde,Cavalry Folk (Sunesu Cavalry),"",2011,Rock/Metal/Heavy Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/190s
415791134,Black Sabbath,Lady Evil,Heaven And Hell,Male/Male Group,1980,Rock/Metal/Heavy Metal,Rowdy/Confident / Tough,Medium Tempo/Medium Fast/120s
408768751,Eindringling,Feuer,Die Welt Geht Unter,"",2015,Rock/Metal/Heavy Metal,"",""
408716756,Human Jail,Lust Or Love ?,The Soul Allegory,"",2011,Rock/Metal/Heavy Metal,"",""
408686766,Hateful Abandon,The Walker,Liars-Bastards,"",2015,Rock/Metal/Heavy Metal,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/120s
408684287,Hateful Abandon,High Rise,Liars-Bastards,"",2015,Rock/Metal/Heavy Metal,Defiant/Hard Dark Excitement,Fast Tempo/Fast/130s
408684280,Hateful Abandon,Culprit,Liars-Bastards,"",2015,Rock/Metal/Heavy Metal,Brooding/Alienated / Brooding,Medium Tempo/Medium/80s
408424569,Térsivel,Those Days Are Gone,For One Pagan Brotherhood,"",2011,Rock/Metal/Heavy Metal,Yearning/Sensitive / Exploring,Medium Tempo/Medium/80s
408216252,Uaral,Sounds Of Pain,Sounds Of Pain,"",2005,Rock/Metal/Heavy Metal,Melancholy/Wistful / Forlorn,Medium Tempo/Medium Slow/60s
408148650,Halgadom,Walkurenritt,Heimstatt,"",2010,Rock/Metal/Heavy Metal,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/60s
386277628,Lost In Tears,On The Way,To No Avail,"",2009,Rock/Metal/Heavy Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/100s
374342714,Luciferian Light Orchestra,Dr. Faust on Capri,Luciferian Light Orchestra,"",2015,Rock/Metal/Heavy Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
374342057,Luciferian Light Orchestra,Church of Carmel,Luciferian Light Orchestra,"",2015,Rock/Metal/Heavy Metal,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/50s
374027674,FAKE IDOLS,My Favourite Game (The Cardigans Cover),Fake Idols,"",2014,Rock/Metal/Heavy Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
373219383,Mantra,Kisa,Kisa,"",2013,Rock/Metal/Heavy Metal,"",""
372579307,Die Verbannten Kinder Evas,Mistrust,Dusk And Void Became Alive,"",2013,Rock/Metal/Heavy Metal,Melancholy/Light Melancholy,Slow Tempo/Slow/40s
368557010,Enditol,Huath,Enditol,"",2010,Rock/Metal/Heavy Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
367531410,S.E.T.,Заря над амбарами,Подъемъ!,"",2005,Rock/Metal/Heavy Metal,Aggressive/Aggressive Power,Fast Tempo/Fast/130s
