id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239531,Tool,Sober,Undertow,Male/Male Group,1993,Rock/Metal/Nu-Metal,Brooding/Alienated / Brooding,Medium Tempo/Medium/70s
456239510,Blood Axis,Follow Me Up to Carlow,Ultimacy,Mixed/Mixed Group,2011,Rock/Metal/Black Metal,Gritty/Strumming Yearning,Medium Tempo/Medium Fast/90s
456239509,Blood Axis,The March of Brian Boru,Ultimacy,Mixed/Mixed Group,2011,Rock/Metal/Black Metal,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/110s
456239495,Space Chaser,Judgement Day,Dead Sun Rising,"",2016,Rock/Metal/Heavy Metal,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/100s
456239493,Space Chaser,Xenomorph,Dead Sun Rising,"",2016,Rock/Metal/Heavy Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/90s
456239460,Kuolemanlaakso,The World's Intolerable Pain,M. Laakso Vol. 1: The Gothic Tapes,Male/Male Group,2016,Rock/Metal/Doom Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/100s
456239459,Kuolemanlaakso,Roll The Dice With The Devil,M. Laakso Vol. 1: The Gothic Tapes,Male/Male Group,2016,Rock/Metal/Doom Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/240s
456239452,Kuolemanlaakso,Deeper Into The Unknown,M. Laakso Vol. 1: The Gothic Tapes,Male/Male Group,2016,Rock/Metal/Doom Metal,Yearning/Sensitive / Exploring,Medium Tempo/Medium Fast/110s
456239451,Kuolemanlaakso,My Last Words,M. Laakso Vol. 1: The Gothic Tapes,Male/Male Group,2016,Rock/Metal/Doom Metal,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/60s
456239450,Kuolemanlaakso,Glastonburyn Lehto,Tulijoutsen,Male/Male Group,2014,Rock/Metal/Doom Metal,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/50s
456239449,Kuolemanlaakso,Where The River Runs Red,M. Laakso Vol. 1: The Gothic Tapes,Male/Male Group,2016,Rock/Metal/Doom Metal,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
456239448,Kuolemanlaakso,She Guides Me In My Dreams,M. Laakso Vol. 1: The Gothic Tapes,Male/Male Group,2016,Rock/Metal/Doom Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
456239441,Tiamat,The Temple Of The Crescent Moon,Amanethes,Male/Male Group,2008,Rock/Metal/Gothic Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/240s
456239445,Hypocrisy,Valley Of The Damned,A Taste Of Extreme Divinity,Male/Male Group,2009,Rock/Metal/Death Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/110s
456239444,Tiamat,Katarraktis Apo Aima,Amanethes,Male/Male Group,2008,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/60s
456239443,Tiamat,Until The Hellhounds Sleep Again,Amanethes,Male/Male Group,2008,Rock/Metal/Gothic Metal,Brooding/Alienated / Brooding,Medium Tempo/Medium Slow/60s
456239442,Tiamat,Equinox Of The Gods,Amanethes,Male/Male Group,2008,Rock/Metal/Gothic Metal,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/120s
456239440,Kuolemanlaakso,Children Of The Night,M. Laakso Vol. 1: The Gothic Tapes,Male/Male Group,2016,Rock/Metal/Doom Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
456239434,Bloody Hammers,Infinite Gaze To The Sun,Lovely Sort of Death,"",2016,Rock/Metal/Heavy Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/110s
456239433,Bloody Hammers,Messalina,Lovely Sort of Death,"",2016,Rock/Metal/Heavy Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
456239432,Bloody Hammers,The Reaper Comes,The Reaper Comes,"",2016,Rock/Metal/Heavy Metal,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
456239431,Bloody Hammers,Lights Come Alive,Lovely Sort of Death,"",2016,Rock/Metal/Heavy Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/100s
456239430,Bloody Hammers,Bloodletting On The Kiss,Bloodletting On The Kiss,"",2016,Rock/Metal/Heavy Metal,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/90s
456239408,Mantus,Wüste,Grenzland,Mixed/Mixed Group,2014,Rock/Metal/Gothic Metal,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/110s
456239407,Mantus,Nihil,Grenzland,Mixed/Mixed Group,2014,Rock/Metal/Gothic Metal,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/100s
456239406,Mantus,Konstrukt,Grenzland,Mixed/Mixed Group,2014,Rock/Metal/Gothic Metal,Brooding/Dreamy Brooding,Medium Tempo/Medium/60s
456239405,Mantus,Genesis,Grenzland,Mixed/Mixed Group,2014,Rock/Metal/Gothic Metal,Somber/Enigmatic / Mysterious,Slow Tempo/Slow/40s
456239401,Mantus,Weg ins Paradies,Weg ins Paradies,Mixed/Mixed Group,2004,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
456239396,Eternal / Thy Grief Eternal / Lord of Putrefaction,Magickal Childe,Pre-Electric Wizard 1989-94,Mixed/Mixed Group,2013,Rock/Metal/Doom Metal,Excited/Euphoric Energy,Fast Tempo/Fast/150s
456239382,Clutch,The Dragonfly,The Elephant Riders,Male/Male Group,1998,Rock/Metal/Nu-Metal,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
456239358,Crematory,Waiting,Act Seven,Mixed/Mixed Group,1999,Rock/Metal/Gothic Metal,Empowering/Powerful / Heroic,Medium Tempo/Medium/70s
456239337,Samsas Traum,Im Ursprung der Schatten Featuring Vic Anselmo,Niemand niemand anderem als dir,Male/Male Group,2013,Rock/Metal/Industrial Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
456239332,Megadeth,Holy Wars...The Punishment Due,Rust In Peace,Male/Male Group,1990,Rock/Metal/Speed Metal,Defiant/Hard Dark Excitement,Fast Tempo/Fast/160s
456239330,Therion,Schwarzalbenheim,Secret Of The Runes,Mixed/Mixed Group,2001,Rock/Metal/Progressive Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Slow/60s
456239329,Therion,Muspelheim,Secret Of The Runes,Mixed/Mixed Group,2001,Rock/Metal/Progressive Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
456239328,Therion,Ginnungagap (Prologue),Live In Midgård [Disc 1],Mixed/Mixed Group,2002,Rock/Metal/Progressive Metal,Aggressive/Aggressive Power,Medium Tempo/Medium/80s
456239325,Sólstafir,Djákninn,Svartir Sandar,Male/Male Group,2011,Rock/Metal/Black Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
456239320,Schwarzer Engel,Sonnenanbeterin,Träume Einer Nacht,"",2012,Rock/Metal/Heavy Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/130s
456239319,Schwarzer Engel,Der Sturm,Apokalypse,"",2012,Rock/Metal/Heavy Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/200s
456239321,Schwarzer Engel,Halb-Gott,Träume Einer Nacht,"",2012,Rock/Metal/Heavy Metal,Aggressive/Heavy Triumphant,Fast Tempo/Fast/150s
456239315,Exodus,Good Day To Die,Force Of Habit,Male/Male Group,1992,Rock/Metal/Thrash Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/190s
456239280,Megadeth,Back In The Day,The System Has Failed,Male/Male Group,2004,Rock/Metal/Speed Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/110s
456239279,Sepultura,Refuse/Resist,Chaos A.D.,Male/Male Group,1993,Rock/Metal/Thrash Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/110s
456239277,Ewigheim,Wir Der Teufel Und Ich,24/7,Male/Male Group,2014,Rock/Metal/Gothic Metal,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/120s
456239276,Ewigheim,Gloria,24/7,Male/Male Group,2014,Rock/Metal/Gothic Metal,Empowering/Powerful / Heroic,Medium Tempo/Medium Slow/60s
456239275,Soilwork,Antidotes In Passing,The Living Infinite [Disc 2],Male/Male Group,2013,Rock/Metal/Death Metal,Defiant/Heavy Brooding,Fast Tempo/Fast/150s
456239271,Theatre Of Tragedy,Aoede,Aegis,Mixed/Mixed Group,1998,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Fast Tempo/Fast/130s
456239270,Therion,Summernight City,Secret Of The Runes,Mixed/Mixed Group,2001,Rock/Metal/Progressive Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/100s
456239268,Tiamat,The Sleeping Beauty,Clouds,Male/Male Group,1992,Rock/Metal/Gothic Metal,Rowdy/Confident / Tough,Medium Tempo/Medium/80s
456239253,Mantus,Welt in Flammen,Refugium,Mixed/Mixed Group,2016,Rock/Metal/Gothic Metal,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/50s
456239252,Mantus,In die Wirklichkeit,Refugium,Mixed/Mixed Group,2016,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
456239251,Mantus,Schande,Refugium,Mixed/Mixed Group,2016,Rock/Metal/Gothic Metal,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
456239250,Shadow Gallery,Ghostship: i) The Gathering The Night Before,Carved In Stone,Male/Male Group,2007,Rock/Metal/Progressive Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/110s
456239247,Shadow Gallery,Floydian Memories,Room V [Bonus Disc],Male/Male Group,2005,Rock/Metal/Progressive Metal,Empowering/Dramatic Emotion,Slow Tempo/Very Slow/30s
456239246,Dawn Of Ashes,Tribe of Chemosh,Theophany,Male/Male Group,2016,Rock/Metal/Industrial Metal,Aggressive/Chaotic / Intense,Fast Tempo/Very Fast/180s
456239245,Katatonia,Shifts,The Fall Of Hearts,Male/Male Group,2016,Rock/Metal/Gothic Metal,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/60s
456239244,Katatonia,Serac,The Fall Of Hearts,Male/Male Group,2016,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
456239240,Mantus,Traurig bin ich sowieso,Refugium,Mixed/Mixed Group,2016,Rock/Metal/Gothic Metal,Gritty/Strumming Yearning,Medium Tempo/Medium/80s
456239239,Mantus,Das Wunder des Lebens,Refugium,Mixed/Mixed Group,2016,Rock/Metal/Gothic Metal,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
456239238,Mantus,Niemals genug,Refugium,Mixed/Mixed Group,2016,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
456239237,Mantus,Zwischen den Nächten,Refugium,Mixed/Mixed Group,2016,Rock/Metal/Gothic Metal,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
456239236,System Of A Down,Science,Toxicity,Male/Male Group,2001,Rock/Metal/Nu-Metal,Rowdy/Wild / Rowdy,Fast Tempo/Very Fast/180s
456239234,Stahlmann,Süchtig,Adamant,Male/Male Group,2013,Rock/Metal/Industrial Metal,Urgent/Dark Pop Intensity,Fast Tempo/Fast/150s
456239235,Mantus,Kampf der Kulturen,Refugium,Mixed/Mixed Group,2016,Rock/Metal/Gothic Metal,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/90s
456239233,Sündenklang,Mach mich glücklich,Tränenreich,"",2014,Rock/Metal/Gothic Metal,Energizing/Arousing Groove,Medium Tempo/Medium Fast/100s
456239231,Mantus,Niemals genug,Refugium,Mixed/Mixed Group,2016,Rock/Metal/Gothic Metal,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
456239227,Mygrain,Xenomorphic,Mygrain,"",2011,Rock/Metal/Heavy Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/120s
456239212,Sólstafir,Ótta,Ótta,Male/Male Group,2014,Rock/Metal/Black Metal,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
456239178,Rotting Christ,Χ Ξ Σ [666],Κατα Τον Δαιμονα Εαυτου,Male/Male Group,2013,Rock/Metal/Black Metal,Yearning/Energetic Dreamy,Medium Tempo/Medium/80s
456239179,Rotting Christ,Iwa Voodoo,Κατα Τον Δαιμονα Εαυτου,Male/Male Group,2013,Rock/Metal/Black Metal,Aggressive/Heavy Triumphant,Fast Tempo/Very Fast/250s
456239151,Dawn Of Ashes,Naildriven,In The Acts Of Violence,Male/Male Group,2006,Rock/Metal/Industrial Metal,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/120s
456239150,Dawn Of Ashes,Diagnosis,In The Acts Of Violence,Male/Male Group,2006,Rock/Metal/Industrial Metal,Fiery/Fiery Groove,Fast Tempo/Fast/130s
456239149,Dawn Of Ashes,Flat-Line,In The Acts Of Violence,Male/Male Group,2006,Rock/Metal/Industrial Metal,Energizing/Edgy / Sexy,Fast Tempo/Fast/130s
456239129,Otep,Possession,Sevas Tra,Mixed/Mixed Group,2002,Rock/Metal/Nu-Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/110s
456239125,Summoning,Bauglir,Oath Bound,Male/Male Group,2006,Rock/Metal/Black Metal,Sophisticated/Dark Playful,Medium Tempo/Medium/80s
456239124,Heidevolk,Deemstering,Uit Oude Grond,Male/Male Group,2012,Rock/Metal/Black Metal,Somber/Enigmatic / Mysterious,Medium Tempo/Medium/60s
456239119,Samael,Diamond Drops,Era One,Male/Male Group,2012,Rock/Metal/Doom Metal,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
456239102,The Eden House,To Believe In Something,Smoke And Mirrors,"",2009,Rock/Metal/Gothic Metal,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/120s
