id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239341,Estampie,Konvulsionslåten,Secrets of the North,Mixed/Mixed Group,2013,Classical/Other Classical/General Classical,Brooding/Energetic Melancholy,Medium Tempo/Medium/70s
456239340,Estampie,Ungersven,Secrets of the North,Mixed/Mixed Group,2013,Classical/Other Classical/General Classical,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/50s
456239339,Estampie,Marmorstener,Secrets of the North,Mixed/Mixed Group,2013,Classical/Other Classical/General Classical,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/60s
456239273,クラウス・テンシュテット/ロンドン・フィルハーモニーアグネス・バルツァ(Cont)クラウス・ケーニヒ(T) (1982.12a1984.8),マーラー 交響曲「大地の歌」 (1908) - 3. Von der Jugend (青春について),マーラー 交響曲全集(テンシュテット 16CD),"",1984,Classical/Other Classical/General Classical,Stirring/Invigorating / Joyous,Medium Tempo/Medium Fast/90s
444321318,Sergei Prokofiev,Prokofiev: Violin Concerto #1 In D Op. 19 - 2. Scherzo: Vivacissimo,Claudio Abbado Conducts Prokofiev [Disc 3],Mixed/Mixed Group,0,Classical/Other Classical/General Classical,Serious/Thrilling,Fast Tempo/Fast/140s
423891795,Randall Wong Wilbur Pauley Meredith Monk Etc.,Monk: Atlas - Part 2: Night Travel: Lonely Spirit,Atlas - An Opera In Three Parts [Disc 2],"",2008,Classical/Other Classical/General Classical,Peaceful/Reverent / Healing,Slow Tempo/Very Slow/20s
415798200,Estampie,Ramunder,Secrets of the North,Mixed/Mixed Group,2013,Classical/Other Classical/General Classical,Gritty/Strumming Yearning,Medium Tempo/Medium/60s
415795403,Estampie,Marmorstener,Secrets of the North,Mixed/Mixed Group,2013,Classical/Other Classical/General Classical,Somber/Enigmatic / Mysterious,Medium Tempo/Medium Slow/60s
415757693,Estampie,Floret Silva,Fin Amor,Mixed/Mixed Group,2002,Classical/Other Classical/General Classical,Fiery/Dark Sparkling Lyrical,Medium Tempo/Medium/60s
397316277,Ансамбль средневековой музыки «Schellen»,Santa Maria Strela Do Dia,Музыка XIII века,"",2015,Classical/Other Classical/General Classical,Serious/Hypnotic Rhythm,Medium Tempo/Medium/60s
397316270,Ансамбль средневековой музыки «Schellen»,Totus Floreo,Музыка XIII века,"",2015,Classical/Other Classical/General Classical,Sophisticated/Smoky / Romantic,Medium Tempo/Medium Slow/60s
373183686,Robert Shaw: Atlanta Symphony Orchestra,Stravinsky: The Firebird Suite,Stravinsky: Firebird Suite Borodin: Polovtsian Dances,Mixed/Mixed Group,1983,Classical/Other Classical/General Classical,Serious/Serious / Cerebral,Medium Tempo/Medium/70s
367524003,Philip Glass Ensemble,Glass: Einstein On The Beach - Act 2/Sc. 2: Night Train,Glass: Einstein On The Beach [Disc 2],Mixed/Mixed Group,1993,Classical/Other Classical/General Classical,Stirring/Focused Sparkling,Fast Tempo/Very Fast/180s
284955023,Георгий Свиридов,Вальс,Георгий Свиридов,Male/Male,2003,Classical/Other Classical/General Classical,Serious/Thrilling,Medium Tempo/Medium/60s
282242966,Harlan D. Parker: Peabody Conservatory Wind Ensemble,"Carmina Burana Suite ""Cantiones profanae"" (arr. J. Krance) - XIII. Fortuna Imperatrix Mundi (Fortune Empress of the World)",Orff: Carmina Burana Suite / Bird: Serenade / Reed: La Fiesta Mexicana,"",2006,Classical/Other Classical/General Classical,Serious/Thrilling,Medium Tempo/Medium/70s
273614713,Фёдор Шаляпин,Эх Ты Ванька,Федор Шаляпин. Часть II,Male/Male,2000,Classical/Other Classical/Classical Vocal,Fiery/Energetic Abstract Groove,Fast Tempo/Very Fast/180s
275310315,Marek Mos Arkadiusz Kubic Etc. Zbigniew Preisner: Sinfonia Varsovia,Preisner: Requiem For My Friend - Part 1: Requiem Lacrimosa,Preisner: Requiem For My Friend,"",1998,Classical/Other Classical/General Classical,"",""
251498098,Различные Исполнители,Метель тройка,Шедевры инструментальной музыки - 1,"",0,Classical/Other Classical/General Classical,Romantic/Dramatic / Romantic,Medium Tempo/Medium/70s
249807000,Георгий Свиридов,Зимняя дорога,Георгий Свиридов,Male/Male,2003,Classical/Other Classical/General Classical,Serious/Thrilling,Medium Tempo/Medium Fast/110s
227639517,Jabberheads,Elaine,Jolene,"",2013,Classical/Other Classical/Opera,"",""
227537327,Jabberheads,Sunshine in Your Eyes,Jolene,"",2013,Classical/Other Classical/Opera,"",""
196918267,Carter Burwell,"""Schubert: 24. Der Leiermann""",In Bruges,Male/Male,2008,Classical/Other Classical/Classical Vocal,Sentimental/Lyrical Sentimental,Slow Tempo/Slow/40s
191500036,Richard Strauss,Also sprach Zarathustra,Zarathustra Don Juan Till Eulenspiegel,Male/Male,1980,Classical/Other Classical/General Classical,Serious/Serious / Cerebral,Fast Tempo/Fast/150s
187490678,Vladimir Ashkenazy Bernard Haitink: Royal Concertgebouw Orchestra,Rachmaninov: Piano Concerto #2 In C Minor Op. 18 - 1. Moderato,Rachmaninov: Piano Concertos [Disc 2],Mixed/Mixed Group,1984,Classical/Other Classical/Classical Solo Instrumental,Serious/Thrilling,Medium Tempo/Medium Fast/90s
187490416,"Государственный Камерный Оркестр ""Виртуозы Москвы""","""Лето"" Из Цикла 4-Х Концертов Для Скрипки С Оркестром ""Времена Года"" Allegro Non Molto",Брависсимо!,Male/Male Group,1999,Classical/Other Classical/General Classical,Tender/Refined / Mannered,Medium Tempo/Medium/80s
166696088,Гос.академический симфон.оркестр под упр.Светланова,"Опера ""Иван Сусанин"". Хор ""Славься"" (эпилог)","""Руслан и Людмила"" ""Иван Сусанин""","",0,Classical/Other Classical/General Classical,"",""
162398134,George Frideric Handel,Sarabande,Love in Bath The Gods Go A'Begging Amaryllis Suite (excerpts),Male/Male,0,Classical/Other Classical/General Classical,Peaceful/Pastoral / Serene,Slow Tempo/Slow/40s
161074585,Various Artists,"Вставайте люди русские (""Александр Невский"")",Классика в рок-обработках,"",2001,Classical/Other Classical/General Classical,"",""
