id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239523,Three Leg Dog,Wolf,Red Sun,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Alienated / Brooding,Fast Tempo/Fast/130s
456239522,Andy Jackson,Lighthouse,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Somber/Creepy / Ominous,Slow Tempo/Slow/40s
456239521,Andy Jackson,Type 2 Error,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium/80s
456239520,Andy Jackson,Ships of Dreams,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Sensual/Dreamy Pulse,Medium Tempo/Medium Slow/50s
456239519,Andy Jackson,Like You,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium/70s
456239518,Andy Jackson,The Gyre,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Evocative / Intriguing,Medium Tempo/Medium/70s
456239517,Andy Jackson,Drownings,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Evocative / Intriguing,Medium Tempo/Medium/70s
456239516,Andy Jackson,Ballooning,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Yearning/Energetic Dreamy,Medium Tempo/Medium Fast/110s
456239515,Andy Jackson,Type 1 Error,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/50s
456239514,Andy Jackson,Legends of Mysterious Apes,73 Days at Sea,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Evocative / Intriguing,Medium Tempo/Medium/80s
456239513,Various Artists,The Haunted Phonograph,A Dark Cabaret 2,"",2011,Rock/Mainstream Rock/General Mainstream Rock,Lively/Showy / Rousing,Medium Tempo/Medium Fast/90s
456239483,Монгол Шуудан,Мама-анархия,Паровоз-анархия,Male/Male Group,2015,Rock/Mainstream Rock/General Mainstream Rock,Rowdy/Ramshackle / Rollicking,Medium Tempo/Medium Fast/90s
456239480,Монгол Шуудан,Винни Пух,Вечная Мерзлота,Male/Male Group,2013,Rock/Mainstream Rock/General Mainstream Rock,Fiery/Fiery Groove,Medium Tempo/Medium Fast/100s
456239468,Tengger Cavalry,Interlude,Mountain Side,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Other,Medium Tempo/Medium/60s
456239454,Blind Dog,Coming To,The Last Adventures of Captain Dog,"",2001,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/70s
456239446,Lost In Kiev,Narcosis,Nuit Noire,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/100s
456239422,Louna,1.9.8.4.,The Best of,Mixed/Mixed Group,2015,Rock/Mainstream Rock/General Mainstream Rock,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/90s
456239421,Deathcamp Project,Rain,Rain,"",2016,Rock/Mainstream Rock/General Mainstream Rock,"",""
456239395,Risin Sabotage,Vultures,Risin Sabotage,"",2015,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Hard Dark Excitement,Fast Tempo/Very Fast/180s
456239393,Plainride,Salt River,Return of the Jackalope,"",2015,Rock/Mainstream Rock/General Mainstream Rock,Aggressive/Chaotic / Intense,Fast Tempo/Fast/130s
456239392,Plainride,Return of the Jackalope,Return of the Jackalope,"",2015,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Heavy Brooding,Fast Tempo/Fast/140s
456239384,Fallen Apart,Out On The Streets,Resistance Dependence Defeat,"",0,Rock/Mainstream Rock/General Mainstream Rock,"",""
456239370,Сплин,Прочь Из Моей Головы,Раздвоение Личности,Male/Male Group,2012,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Heavy Brooding,Medium Tempo/Medium/80s
456239364,Harold Martinez,The Killers Crow,Dead Man,"",2014,Rock/Mainstream Rock/General Mainstream Rock,Urgent/Energetic Anxious,Fast Tempo/Fast/150s
456239362,Harold Martinez,Prison Valley,Dead Man,"",2014,Rock/Mainstream Rock/General Mainstream Rock,Empowering/Dramatic Emotion,Medium Tempo/Medium/70s
456239361,Harold Martinez,Wolf Leathers,Dead Man,"",2014,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Sober / Determined,Medium Tempo/Medium/80s
456239351,Agents Of Oblivion,Endsmouth,Agents of Oblivion,"",2005,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Alienated / Brooding,Medium Tempo/Medium Fast/90s
456239348,Harold Martinez,Dead Man,Dead Man,"",2014,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/60s
456239336,Vic Anselmo,Put Yout Spell On Me,Trapped In A Dream,"",2008,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/90s
456239266,The Dirty Earth,Dead Man's Hand,Autonomic,"",2014,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Alienated / Brooding,Medium Tempo/Medium/70s
456239260,Brandon Purcell,Drunken Whaler,Brandon Purcell,"",2014,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium Fast/120s
456239174,Johnny Hollow,Bogeyman (Album Version (Explicit)),Dirty Hands (Explicit),"",2008,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Alienated / Brooding,Medium Tempo/Medium/80s
456239172,Johnny Hollow,Stranger (Album Version (Explicit)),Dirty Hands (Explicit),"",2008,Rock/Mainstream Rock/General Mainstream Rock,Gritty/Sober / Determined,Medium Tempo/Medium Fast/90s
456239171,Johnny Hollow,Alibi (Album Version (Explicit)),Dirty Hands (Explicit),"",2008,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Dreamy Brooding,Medium Tempo/Medium Slow/50s
456239155,Trust,Bulbform,Trst,Male/Male Group,2012,Rock/Mainstream Rock/General Mainstream Rock,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/110s
456239154,Mr. Bison,Full Moon,Asteroid,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Urgent/Energetic Anxious,Medium Tempo/Medium/80s
456239153,Mr. Bison,Black Crow,Asteroid,"",2016,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Heavy Brooding,Fast Tempo/Fast/150s
456239145,Ivy Hope,Insects,Mary [Single],"",2015,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
279389826,Красные Звезды,Родина,Кругозор,"",1996,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/120s
456239096,Ost+Front,Ein alter Mann,Ave Maria,"",2012,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Dreamy Brooding,Slow Tempo/Slow/40s
456239095,Ost+Front,Ich liebe es,Ave Maria,"",2012,Rock/Mainstream Rock/General Mainstream Rock,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/90s
456239097,Ost+Front,Tschernobyl,Freundschaft,"",2014,Rock/Mainstream Rock/General Mainstream Rock,Brooding/Energetic Melancholy,Medium Tempo/Medium/70s
456239074,Егор Летов,Моя оборона,Русское поле эксперимента (акустика),Male/Male,1998,Rock/Mainstream Rock/General Mainstream Rock,Romantic/Sweet / Sincere,Medium Tempo/Medium/70s
456239067,Sub 7 And The Undead,Vengeance Is Mine,Symphony In Blood,"",2015,Rock/Mainstream Rock/General Mainstream Rock,"",""
456239066,Sub 7 And The Undead,Watching And Waiting,Symphony In Blood,"",2015,Rock/Mainstream Rock/General Mainstream Rock,"",""
456239065,Sub 7 And The Undead,Don't Cry For Me,Symphony In Blood,"",2015,Rock/Mainstream Rock/General Mainstream Rock,"",""
456239064,Sub 7 And The Undead,Ain't No Grave,Symphony In Blood,"",2015,Rock/Mainstream Rock/General Mainstream Rock,"",""
456239063,Sub 7 And The Undead,Christina,Symphony In Blood,"",2015,Rock/Mainstream Rock/General Mainstream Rock,"",""
456239057,Крематорий,Крематорий,Двойной Альбом,Male/Male Group,1998,Rock/Mainstream Rock/General Mainstream Rock,Fiery/Passionate Rhythm,Fast Tempo/Fast/130s
456239053,Hellettrik,Etna Space,Etna Space [Single],"",2015,Rock/Mainstream Rock/General Mainstream Rock,"",""
456239034,The Verbs,You Showed Me,Cover Story,"",2015,Rock/Mainstream Rock/General Mainstream Rock,Sophisticated/Smoky / Romantic,Slow Tempo/Slow/40s
456239021,Various Artists,Тема Дороги,Бумер [Original Soundtrack],Male/Male,2003,Rock/Mainstream Rock/General Mainstream Rock,Fiery/Passionate Rhythm,Medium Tempo/Medium Fast/110s
456239484,Монгол Шуудан,Разведка,Вечная Мерзлота,Male/Male Group,2013,Rock/Mainstream Rock/General Mainstream Rock,Fiery/Passionate Rhythm,Medium Tempo/Medium Fast/100s
440855795,Myrath,Merciless Times,Tales Of The Sands,"",2011,Rock/Mainstream Rock/General Mainstream Rock,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
