id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239337,Samsas Traum,Im Ursprung der Schatten Featuring Vic Anselmo,Niemand niemand anderem als dir,Male/Male Group,2013,Rock/Metal/Industrial Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
456239246,Dawn Of Ashes,Tribe of Chemosh,Theophany,Male/Male Group,2016,Rock/Metal/Industrial Metal,Aggressive/Chaotic / Intense,Fast Tempo/Very Fast/180s
456239234,Stahlmann,Süchtig,Adamant,Male/Male Group,2013,Rock/Metal/Industrial Metal,Urgent/Dark Pop Intensity,Fast Tempo/Fast/150s
456239151,Dawn Of Ashes,Naildriven,In The Acts Of Violence,Male/Male Group,2006,Rock/Metal/Industrial Metal,Energizing/Edgy / Sexy,Medium Tempo/Medium Fast/120s
456239150,Dawn Of Ashes,Diagnosis,In The Acts Of Violence,Male/Male Group,2006,Rock/Metal/Industrial Metal,Fiery/Fiery Groove,Fast Tempo/Fast/130s
456239149,Dawn Of Ashes,Flat-Line,In The Acts Of Violence,Male/Male Group,2006,Rock/Metal/Industrial Metal,Energizing/Edgy / Sexy,Fast Tempo/Fast/130s
456239100,Stahlmann,Der Schmied,Adamant,Male/Male Group,2013,Rock/Metal/Industrial Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Slow/60s
456239099,Stahlmann,Süchtig,Adamant,Male/Male Group,2013,Rock/Metal/Industrial Metal,Urgent/Dark Pop Intensity,Fast Tempo/Fast/150s
456239093,Hämatom,Offline,Wir sind Gott,Male/Male Group,2016,Rock/Metal/Industrial Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
456239092,Hämatom,Tanz aus der Reihe,Wir sind Gott,Male/Male Group,2016,Rock/Metal/Industrial Metal,Defiant/Hard Positive Excitement,Fast Tempo/Fast/160s
432362312,Faun,Andro,Licht,Mixed/Mixed Group,2003,Rock/Metal/Industrial Metal,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/100s
423889476,Samsas Traum,Stromausfall im Herzspital,Utopia,Male/Male Group,2009,Rock/Metal/Industrial Metal,Urgent/Dark Pop,Medium Tempo/Medium Fast/110s
421590229,KMFDM,Quake,Kunst,Mixed/Mixed Group,2013,Rock/Metal/Industrial Metal,Aggressive/Aggressive Power,Fast Tempo/Fast/140s
420828795,Megaherz,Jordan,Erdwärts,Male/Male Group,2015,Rock/Metal/Industrial Metal,Brooding/Alienated / Brooding,Fast Tempo/Fast/140s
