id,artist,title,album_title,artist_type,album_year,genre,mood,tempo
456239531,Tool,Sober,Undertow,Male/Male Group,1993,Rock/Metal/Nu-Metal,Brooding/Alienated / Brooding,Medium Tempo/Medium/70s
456239382,Clutch,The Dragonfly,The Elephant Riders,Male/Male Group,1998,Rock/Metal/Nu-Metal,Urgent/Energetic Anxious,Fast Tempo/Fast/140s
456239236,System Of A Down,Science,Toxicity,Male/Male Group,2001,Rock/Metal/Nu-Metal,Rowdy/Wild / Rowdy,Fast Tempo/Very Fast/180s
456239129,Otep,Possession,Sevas Tra,Mixed/Mixed Group,2002,Rock/Metal/Nu-Metal,Aggressive/Aggressive Power,Medium Tempo/Medium Fast/110s
456239037,System Of A Down,This Cocaine Makes Me Feel Like I'm On This Song,Mezmerize,Male/Male Group,2005,Rock/Metal/Nu-Metal,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/100s
444411181,Ghost,Cirice,Meliora,Male/Male Group,2015,Rock/Metal/Nu-Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
442865734,Otep,Lords Of War,Generation Doom,Mixed/Mixed Group,2016,Rock/Metal/Nu-Metal,Aggressive/Dark Hard Beat,Medium Tempo/Medium Fast/110s
442143336,Clutch,Earth Rocker,Earth Rocker,Male/Male Group,2013,Rock/Metal/Nu-Metal,Defiant/Hard Dark Excitement,Medium Tempo/Medium Fast/100s
439579538,Ghost,Spirit,Meliora,Male/Male Group,2015,Rock/Metal/Nu-Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Slow/60s
423838264,System Of A Down,Streamline,Steal This Album!,Male/Male Group,2002,Rock/Metal/Nu-Metal,Urgent/Energetic Anxious,Fast Tempo/Fast/130s
422139306,Tool,Parabol-Parabola,Lateralus,Male/Male Group,2001,Rock/Metal/Nu-Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/100s
416573058,System Of A Down,Atwa,Toxicity,Male/Male Group,2001,Rock/Metal/Nu-Metal,Urgent/Energetic Anxious,Medium Tempo/Medium Fast/90s
415825949,Clutch,Immortal,Pure Rock Fury,Male/Male Group,2001,Rock/Metal/Nu-Metal,Rowdy/Wild / Rowdy,Medium Tempo/Medium Fast/100s
415822934,Clutch,The Regulator,Blast Tyrant,Male/Male Group,2004,Rock/Metal/Nu-Metal,Defiant/Heavy Brooding,Medium Tempo/Medium Fast/90s
410152346,Clutch,A Quick Death In Texas,Psychic Warfare,Male/Male Group,2015,Rock/Metal/Nu-Metal,Rowdy/Driving Dark Groove,Medium Tempo/Medium Fast/90s
